#
# Full target list for orbit 63, sector 28
# Created Wed Feb  3 18:29:33 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
12621262,1,3,10.06,335.4806,-17.7932
12649449,1,3,10.07,335.5289,-16.8613
12652062,1,3,8.82,335.5836,-16.6859
12652442,1,3,10.28,335.7810,-17.6114
12652642,1,3,9.96,335.8042,-16.8779
12655390,1,3,10.57,335.9758,-17.8014
12655409,1,3,10.74,336.0133,-17.7406
12685901,1,3,14.96,336.1952,-17.0531
12688964,1,3,10.86,336.3863,-17.0327
12688966,1,3,11.39,336.3225,-17.0339
12723842,1,3,8.01,336.7421,-17.7810
12723924,1,3,9.31,336.7464,-17.4240
12723961,1,3,6.80,336.7623,-17.2643
12770031,1,3,10.36,336.8302,-17.8315
24195690,1,4,9.42,318.0198,-22.5439
24231605,1,4,11.10,318.0499,-23.3841
24232150,1,4,9.90,318.1683,-22.9558
24232358,1,4,11.39,318.2894,-22.4369
24265675,1,4,9.60,318.3526,-22.5328
24265684,1,4,7.51,318.3627,-22.5463
24265755,1,4,7.12,318.3551,-22.7619
24265841,1,4,10.80,318.4128,-23.0102
24292625,1,4,11.88,318.6732,-22.2928
24292848,1,4,7.79,318.6375,-22.8782
24292853,1,4,10.88,318.6277,-22.8822
24292878,1,4,11.09,318.5659,-22.9351
24293754,1,4,8.05,318.8002,-22.5270
24293836,1,4,11.51,318.7069,-22.3135
24671951,3,3,11.06,34.6147,-72.4870
24672008,3,3,12.36,34.4371,-72.5755
24672429,3,3,12.81,34.5007,-73.3499
24692702,3,3,10.71,34.5446,-73.8721
24693092,3,3,9.41,34.7212,-75.4494
24693128,3,3,11.28,34.6245,-75.6044
24694003,3,3,9.38,35.0374,-76.7862
24694579,3,3,9.33,34.9978,-74.5631
24695017,3,3,8.53,35.0244,-72.8292
24695044,3,3,10.99,34.8400,-72.7090
24695334,3,1,11.14,25.2590,-66.2378
24696118,3,4,11.44,25.2218,-69.7453
24696134,3,4,11.48,25.0409,-69.8231
24696180,3,4,7.96,25.1383,-69.9870
24703769,3,3,11.86,24.9768,-71.9070
24703973,3,3,10.77,25.4467,-71.3223
24705239,3,1,11.22,25.5735,-66.0290
24705240,3,1,8.01,25.5341,-66.0176
24706089,3,4,8.00,25.7738,-69.5726
24706112,3,4,16.34,25.6485,-69.6375
24706893,3,3,8.21,25.9830,-71.4666
24749459,3,4,10.13,25.9533,-67.7582
24750295,3,4,8.55,26.2248,-67.9748
24750489,3,4,10.07,26.4473,-68.8215
24750501,3,4,11.27,26.2741,-68.8750
24750548,3,4,8.61,26.2187,-69.0904
24751264,3,3,11.96,26.2597,-71.9325
25063986,4,1,10.06,60.0797,-68.9669
25064941,4,1,11.22,60.1091,-65.8821
25065098,4,1,11.16,60.3312,-66.3635
25065471,4,1,10.25,60.3078,-67.5572
25077712,4,1,12.35,60.3659,-67.9058
25078501,4,1,11.42,60.1695,-70.5370
25078597,4,1,11.75,60.3430,-70.8621
25078924,4,1,10.71,60.9310,-65.9728
25079689,4,1,11.15,60.8586,-68.3516
25079777,4,1,11.30,60.9555,-68.5723
25080362,4,1,11.20,60.8211,-70.5031
25080435,4,1,9.66,60.7909,-70.7598
25080961,4,1,12.59,61.3438,-71.2863
25081091,4,1,9.91,61.0590,-70.8758
25081575,4,1,9.96,61.3041,-69.1118
25081629,4,1,14.10,61.1865,-68.9050
25081729,4,1,11.90,61.2292,-68.5373
25092569,1,3,10.14,325.8306,-20.9530
25115741,4,1,10.78,61.0686,-67.9069
25116119,4,1,9.71,61.2768,-66.8058
25116373,4,1,8.07,61.2365,-65.9500
25116423,4,1,11.93,61.5036,-66.0806
25116563,4,1,10.79,61.5051,-66.5541
25116696,4,1,10.14,61.5239,-67.1063
25116870,4,1,11.06,61.6155,-67.7724
25117240,4,1,9.02,61.6571,-69.2615
25117273,4,1,9.19,61.3880,-69.4004
25117645,4,1,11.40,61.4172,-70.8545
25117741,4,1,11.18,61.5951,-71.2161
25117756,4,1,9.88,61.4764,-71.2691
25118639,4,1,10.69,61.7296,-69.6692
25118739,4,1,11.14,61.8705,-69.2569
25118964,4,1,12.03,61.9332,-68.4196
25131718,4,1,11.65,62.1504,-66.5596
25131889,4,1,12.13,62.2076,-67.1806
25131892,4,1,11.42,62.2068,-67.1822
25132222,4,1,9.30,62.0006,-68.3613
25132314,4,1,8.03,62.1285,-68.7022
25132694,4,1,9.21,61.9840,-70.2253
25132720,4,1,11.63,61.9860,-70.3032
25132754,4,1,10.30,62.1378,-70.4345
25132832,4,1,12.62,62.1378,-70.6923
25133604,4,1,13.20,62.3287,-70.0040
25133896,4,1,11.16,62.4537,-68.9505
25134105,4,1,12.62,62.4617,-68.1812
25134376,4,1,8.94,62.4963,-67.3280
25134377,4,1,8.32,62.5145,-67.3262
25134592,4,1,11.22,62.4969,-66.5477
25135549,1,3,8.60,325.9724,-20.7633
25135955,1,3,10.29,325.9834,-21.9634
25135970,1,3,10.43,326.0383,-22.0135
25137423,1,3,14.69,326.1067,-21.7750
25137659,1,3,10.70,326.1670,-21.1624
25137940,1,3,10.18,326.1110,-20.4861
25138034,1,3,10.64,326.1442,-20.2666
25139786,1,3,12.09,326.2728,-20.0325
25139818,1,3,9.09,326.2682,-20.1122
25153041,4,1,9.36,63.1394,-70.6392
25153109,4,1,8.92,63.0169,-70.3890
25153167,4,1,13.57,63.0754,-70.1659
25153316,4,1,11.43,63.0784,-69.6050
25153635,4,1,14.70,62.9738,-68.5590
25153759,4,1,17.32,63.0189,-68.1525
25154301,4,1,11.18,63.1537,-66.1759
25154831,4,1,10.32,63.2604,-67.5395
25155310,4,1,10.61,63.3750,-69.2265
25155464,4,1,11.09,63.3396,-69.7030
25155510,4,1,11.30,63.3749,-69.8852
25155652,4,1,11.77,63.3536,-70.3793
25155654,4,1,11.01,63.3351,-70.3906
25155698,4,1,8.29,63.4129,-70.5068
25165839,1,3,10.38,326.2686,-20.9755
25166417,1,3,6.95,326.2711,-22.5643
25166426,1,3,9.62,326.2492,-22.5908
25167289,1,3,10.93,326.3328,-22.8025
25167330,1,3,9.05,326.3510,-22.6381
25170460,1,3,8.90,326.4741,-21.7489
25194993,4,1,10.79,64.0249,-66.6546
25195258,4,1,12.87,64.0363,-67.6223
25195362,4,1,12.76,63.9583,-67.9233
25195455,4,1,10.80,63.7612,-68.2001
25195623,4,1,8.70,63.7549,-68.7340
25195864,4,1,10.46,63.7537,-69.5367
25198803,1,3,11.05,326.5578,-22.5142
25199563,1,3,11.37,326.6956,-23.2609
25200252,1,3,10.96,326.6915,-21.2967
25202447,1,3,8.78,326.7867,-20.5211
25225879,1,3,11.18,326.8970,-22.9211
25226110,1,3,11.06,326.9639,-22.2583
25227021,1,3,11.33,326.9537,-19.9542
25228598,1,3,11.50,327.0444,-20.2233
25229315,1,3,12.00,327.0779,-22.2768
25229316,1,3,11.28,327.0780,-22.2780
25229493,1,3,11.15,327.0695,-22.7260
25230545,1,3,8.40,327.1770,-22.1256
25230683,1,3,14.90,327.2065,-21.7275
25230728,1,3,11.07,327.1073,-21.6041
