#
# Full target list for orbit 79, sector 36
# Created Mon Mar  1 17:16:21 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
975989,1,4,12.61,165.4091,-4.8897
990903,1,4,3.12,165.4570,-2.4848
990995,1,4,8.66,165.4595,-2.9356
991159,1,4,8.83,165.4193,-3.8141
991162,1,4,11.04,165.4491,-3.8308
991164,1,4,12.47,165.4478,-3.8331
991185,1,4,11.34,165.4670,-3.9258
991441,1,4,12.71,165.4641,-5.1354
991630,1,4,11.34,165.5119,-5.9613
991642,1,4,11.21,165.6289,-5.9168
991858,1,4,11.36,165.5717,-4.7957
992137,1,4,5.99,165.6532,-3.5127
1006543,1,4,11.48,165.6609,-3.2179
1006569,1,4,11.44,165.7164,-3.3517
1006635,1,4,11.21,165.6912,-3.6572
1006824,1,4,11.42,165.7455,-4.5876
1007010,1,4,13.46,165.7495,-5.4453
1007241,1,4,11.15,165.8533,-5.2639
1007434,1,4,10.54,165.8590,-4.3715
1008761,1,4,9.12,165.9474,-2.1768
1008931,1,4,5.15,165.9091,-3.2043
1008972,1,4,11.10,165.8978,-3.4403
1009100,1,4,10.39,165.9752,-4.0577
1009252,1,4,8.75,165.9143,-4.7903
1009300,1,4,10.10,165.9633,-5.0992
1009315,1,4,9.93,165.9736,-5.1961
1025809,1,4,11.17,166.1067,-5.6682
1026097,1,4,10.98,166.1090,-4.2369
1026530,1,4,11.27,166.0341,-1.8381
1026587,1,4,10.27,166.1080,-1.4672
1538794,1,1,12.38,166.7944,-14.6381
1539055,1,1,9.70,166.7521,-14.1930
1539914,1,4,14.08,166.7350,-12.7340
1539972,1,4,10.31,166.7012,-12.6254
1540783,1,4,10.06,169.5862,-12.8173
1541095,1,4,11.47,169.5483,-13.3191
1542151,1,1,10.84,169.5349,-16.4567
1542220,1,1,12.20,169.6234,-16.6818
1542611,1,1,9.04,169.5510,-17.9724
1587141,1,1,10.04,169.7382,-17.2613
1587883,1,4,10.92,169.6974,-14.5783
1588316,1,4,9.65,169.6627,-12.9881
1588469,1,4,8.11,169.6709,-12.4473
1588852,1,4,8.76,170.7327,-12.7817
