#
# Full target list for orbit 81, sector 37
# Created Thu Apr 15 13:19:43 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1627611,1,4,10.67,188.1006,-17.7992
1627709,1,4,9.52,188.1254,-17.4352
1628071,1,4,3.99,188.0150,-16.1964
1628105,1,4,12.99,188.0062,-16.1229
1628320,1,4,8.45,188.0407,-15.2713
1628460,1,4,10.57,188.0900,-14.7855
1630050,1,4,8.74,188.2392,-14.2453
1630157,1,4,12.45,188.2215,-14.5958
1630433,1,4,13.36,188.1841,-15.5163
1650025,1,4,9.40,188.2020,-16.5769
1650051,1,4,10.13,188.2070,-16.6827
1650238,1,4,9.16,188.2293,-17.2385
1651016,1,4,12.12,188.2917,-16.0659
1653065,1,4,16.34,188.4029,-14.4189
1653125,1,4,8.04,188.4958,-14.6388
1653302,1,4,11.14,188.4353,-15.2636
1667539,1,4,12.65,188.4295,-15.8844
1668196,1,4,9.68,188.4663,-16.9885
1668722,1,4,7.68,188.4105,-17.7939
1668887,1,4,13.78,195.5371,-17.8182
1670575,1,4,14.99,195.4763,-15.2869
1671437,1,4,8.21,195.4820,-13.8185
1673435,1,4,10.49,195.6774,-13.3941
1693561,1,4,8.76,195.6815,-16.0243
1693618,1,4,9.43,195.6292,-16.2019
1694042,1,4,11.30,195.6119,-17.4897
1694043,1,4,11.61,195.6158,-17.4903
1695058,1,4,9.09,195.7315,-15.3616
1695088,1,4,9.15,195.7949,-15.2711
1695296,1,4,8.08,195.7243,-14.5870
1726899,1,4,11.52,195.9366,-13.5059
1727447,1,4,10.29,195.8700,-15.3431
1727745,1,4,7.22,195.9119,-16.3367
1727987,1,4,10.73,195.9003,-17.1764
1728144,1,4,13.81,195.8476,-17.7781
1728294,1,4,11.89,196.8791,-17.5502
1729030,1,4,10.24,196.8212,-15.3908
1729080,1,4,10.49,196.8796,-15.2315
1729096,1,4,12.15,196.8853,-15.1892
1729435,1,4,7.29,196.9123,-14.1880
1729584,1,4,11.18,196.8189,-13.7791
1734442,1,4,11.47,197.0005,-14.7769
1735323,1,4,10.70,197.0283,-17.5869
1735435,1,4,9.37,197.1209,-17.9085
1735555,1,4,14.22,197.1377,-17.5099
1735983,1,4,8.60,197.1650,-16.1688
1736495,1,4,11.34,197.1678,-14.4064
1757499,1,4,9.76,197.2166,-14.1499
1758044,1,4,9.77,197.2894,-15.9091
1758607,1,4,8.02,197.2688,-17.6765
2453891,1,4,12.84,193.6735,-16.4547
2454003,1,4,10.59,193.6511,-16.0648
2454121,1,4,9.93,193.6870,-15.6230
2454164,1,4,10.39,193.5954,-15.4666
2454921,1,4,11.47,193.6904,-12.6389
2454972,1,4,11.64,193.6268,-12.4520
