#
# Full target list for orbit 85, sector 39
# Created Mon May 17 12:49:59 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1456691,1,1,9.86,246.1093,-51.5350
1461316,1,1,11.50,245.9791,-50.9219
2323229,1,1,9.92,246.0518,-49.1287
2743109,1,1,7.98,246.2429,-48.6016
2842038,1,1,14.01,243.5259,-40.7394
2930416,1,4,13.65,243.5422,-36.8254
2989120,1,4,13.37,243.7574,-36.1785
3084844,1,1,8.45,243.9047,-41.6498
3157993,1,4,12.15,243.9266,-38.0128
3178733,1,1,9.39,246.2681,-49.7394
3239564,1,1,8.03,244.7416,-41.6660
3241461,1,1,13.48,244.7920,-41.2213
3243257,1,1,8.50,244.8116,-40.8210
3246606,1,1,8.48,244.8422,-40.0874
3325335,1,4,13.87,244.7642,-38.9187
3411281,1,4,13.08,244.9140,-36.4101
3538365,1,1,7.11,244.9986,-40.8189
3591811,2,4,10.02,246.3034,-52.1657
3591885,2,4,11.51,246.2059,-52.2947
3600826,1,1,8.74,246.2332,-51.4288
3601554,2,4,11.24,246.1776,-52.2532
3657908,1,4,14.66,245.0077,-37.5240
3657911,1,4,8.31,245.0090,-37.5231
3662289,1,4,8.45,245.0368,-36.2884
3723412,1,4,14.93,245.2682,-37.1956
3724603,1,4,10.00,245.2519,-37.5656
3824139,1,1,13.26,245.2069,-40.5418
3833282,1,1,12.76,245.4239,-41.3914
3835533,1,1,13.40,245.4129,-40.9071
4030617,2,4,9.71,246.2007,-53.3110
4030832,2,4,9.11,246.1889,-53.4643
4040541,2,4,15.63,246.1914,-53.7366
4152144,1,1,12.67,245.4787,-41.7548
4392712,1,4,5.70,245.7812,-37.4249
4400550,1,4,11.28,245.8916,-39.2295
4471535,1,1,11.21,246.3306,-51.7624
4471586,1,1,8.52,246.3558,-51.8736
4472797,2,4,11.79,246.4665,-53.0335
4534239,1,1,9.10,245.8095,-40.5482
4871550,1,1,8.07,246.3631,-50.6983
5321548,1,1,11.56,246.3663,-49.1447
5331536,1,1,10.74,246.4420,-49.0413
5741908,1,1,8.20,246.6448,-48.1253
5746632,1,1,13.51,246.4882,-48.4819
5751032,1,1,11.63,246.4534,-48.1808
6182702,1,1,13.78,246.6522,-48.6844
6187976,1,1,11.97,246.6853,-49.4127
6621185,1,1,9.49,246.5738,-50.4824
6631253,1,1,9.33,246.6557,-50.7137
