#
# Full target list for orbit 91, sector 42
# Created Thu Aug  5 13:55:50 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
854794,1,3,12.39,327.5548,-9.7468
855581,1,3,11.53,327.6325,-7.5607
856268,1,3,12.21,327.7501,-6.2156
856858,1,3,8.83,327.6571,-7.7871
856860,1,3,9.82,327.7210,-7.7893
857309,1,3,5.46,327.6481,-8.9828
857477,1,3,9.68,327.6627,-9.4938
880307,1,3,6.74,327.7739,-10.0379
881008,1,3,10.94,327.7956,-8.9285
881712,1,3,7.38,327.7649,-7.9074
882271,1,3,11.21,327.7612,-6.9217
882409,1,3,8.99,327.8407,-6.6550
883072,1,3,11.21,327.9502,-6.3555
883086,1,3,11.12,327.8924,-6.3749
883711,1,3,8.07,327.8899,-7.4040
884174,1,3,10.90,327.9202,-8.0936
884337,1,3,11.47,327.9934,-8.3409
884712,1,3,10.14,327.9504,-8.8580
887930,1,3,6.77,328.1237,-9.4181
888331,1,3,9.28,328.0693,-8.9244
910739,1,3,12.62,328.1158,-6.1559
910858,1,3,13.63,328.1671,-6.0817
910949,1,3,8.54,328.2145,-6.3463
911139,1,3,13.08,328.2411,-6.8724
912007,1,3,10.69,328.1541,-9.3249
912417,1,3,11.42,328.1785,-10.5124
912662,1,3,10.89,328.2107,-11.2601
913056,1,3,8.05,328.2459,-11.3286
913070,1,3,10.85,328.3342,-11.2655
913416,1,3,12.84,328.2664,-10.1244
913669,1,3,10.97,328.2468,-9.3797
913970,1,3,9.36,328.2878,-8.4665
914472,1,3,9.28,328.2576,-7.0080
920976,1,3,10.72,328.4078,-7.0553
921058,1,3,11.04,328.4863,-7.3457
921372,1,3,8.27,328.4078,-8.3983
921831,1,3,8.25,328.4271,-9.7761
921986,1,3,6.68,328.4002,-10.3116
922593,1,3,10.64,328.5863,-11.5336
922614,1,3,12.41,328.5109,-11.4858
923002,1,3,10.28,328.5788,-10.1977
923361,1,3,10.30,328.5775,-9.1366
923632,1,3,11.06,328.5118,-8.4270
923878,1,3,9.59,328.5030,-7.7413
924251,1,3,10.75,328.5716,-6.5359
924261,1,3,8.02,328.4893,-6.5152
924374,1,3,13.76,328.5805,-6.1819
924577,1,3,10.21,328.6139,-6.2138
967108,1,3,16.13,328.6313,-9.7917
967114,1,3,16.27,328.6771,-9.8097
967277,1,3,10.23,328.6131,-10.3875
967590,1,3,10.11,328.6977,-11.3349
968062,1,3,10.18,328.7658,-10.9491
968144,1,3,9.52,328.8096,-10.6868
968226,1,3,13.91,328.8213,-10.4174
968307,1,3,10.28,328.8127,-10.2015
968447,1,3,9.61,328.7798,-9.7993
968901,1,3,11.33,328.7783,-8.4375
969630,1,3,9.41,328.7444,-6.3269
970188,1,3,11.09,328.9682,-7.1496
970727,1,3,9.77,328.9024,-8.7318
970891,1,3,10.27,328.9391,-9.3039
970927,1,3,11.34,328.9142,-9.4375
971316,1,3,11.10,328.8827,-10.5059
971444,1,3,11.07,328.8654,-10.9220
993183,1,3,11.46,328.9533,-11.0098
993305,1,3,15.07,328.9557,-11.3653
993345,1,3,11.01,328.9560,-11.5056
993706,1,3,8.58,329.0059,-11.2541
994011,1,3,12.05,329.0806,-10.3396
994065,1,3,10.74,329.0253,-10.1462
994137,1,3,15.46,329.0636,-9.9230
994553,1,3,11.44,329.0010,-8.6868
994655,1,3,12.12,329.0727,-8.4234
995045,1,3,11.38,328.9793,-7.3022
995340,1,3,9.71,329.0911,-6.4443
995446,1,3,9.70,329.0317,-6.1379
996340,1,3,9.17,329.1546,-8.3634
996783,1,3,5.29,329.1038,-9.5859
997166,1,3,9.81,329.1037,-10.7078
997812,1,3,10.38,329.2958,-11.0333
997942,1,3,9.83,329.2786,-10.6229
1021472,1,3,11.94,329.3355,-9.3328
1021552,1,3,11.95,329.3039,-9.0582
1021588,1,3,11.38,329.2393,-8.9454
1022440,1,3,9.65,329.2454,-6.7291
1022708,1,3,9.62,329.2287,-6.0544
1023201,1,3,11.98,329.4402,-7.0731
1023764,1,3,8.59,329.4235,-8.5817
1024051,1,3,12.11,329.4106,-9.4716
2759434,2,4,10.95,356.2602,-12.2233
2759596,2,4,11.24,356.3737,-12.6202
2759628,2,4,10.31,356.3191,-12.7362
2759645,2,4,11.69,356.3885,-12.8454
2759686,2,4,9.85,356.3016,-13.0407
2761238,2,4,9.93,356.4855,-13.5003
2761472,2,4,12.55,356.5815,-11.9461
2761545,2,4,11.40,356.6117,-12.4887
2761664,2,4,11.76,356.6471,-13.1308
2761733,2,4,10.98,356.6545,-13.4681
2835763,2,4,11.18,356.7304,-13.0951
2835867,2,4,8.14,356.7174,-12.4371
2835941,2,4,4.84,356.8160,-11.9117
2835989,2,4,12.56,356.8388,-12.3442
3804928,2,1,8.03,9.4873,-5.9980
3805137,2,1,11.48,9.6030,-7.1409
3806728,2,1,10.87,9.6308,-7.6088
3806756,2,1,11.46,9.6439,-7.4444
3809476,2,1,10.93,9.6644,-6.1872
3811440,2,1,10.36,9.9803,-7.3504
3811504,2,1,9.78,9.9668,-7.0160
3811573,2,1,11.38,9.9432,-6.6526
3811891,2,1,10.15,10.0023,-7.1053
3812051,2,1,11.38,10.0909,-7.9328
3815997,2,1,11.22,10.2134,-7.8773
3816260,2,1,10.10,10.1351,-6.4810
3816310,2,1,10.20,10.2087,-6.2011
3836749,2,1,11.37,10.3770,-7.3900
3836938,2,1,12.58,10.4614,-6.3745
3836983,2,1,11.49,10.4568,-6.0991
3837033,2,1,12.68,10.4914,-6.0204
3837040,2,1,11.25,10.5908,-6.0763
3837071,2,1,8.32,10.5483,-6.2468
3837134,2,1,11.25,10.5074,-6.5733
3886318,2,1,9.42,10.6770,-7.6463
3886485,2,1,8.46,10.6569,-6.8646
3886775,2,1,10.65,10.8195,-6.5021
3886811,2,1,10.93,10.7328,-6.6812
3892040,2,1,11.15,11.0192,-7.0106
3892139,2,1,8.78,10.9875,-7.5346
3894132,2,1,10.57,11.1623,-6.4510
3894237,2,1,11.43,11.1464,-5.9507
3894255,2,1,11.63,11.2700,-5.9021
3894266,2,1,10.54,11.2997,-5.9957
3894294,2,1,17.39,11.2771,-6.1429
3894469,2,1,10.63,11.2924,-7.0680
3899410,2,1,8.14,11.5674,-6.5662
3903888,2,1,11.12,11.6324,-7.0584
3903993,2,1,11.01,11.6630,-6.5940
3921746,2,1,11.64,11.8237,-6.4791
3921749,2,1,10.85,11.8339,-6.4426
3921757,2,1,14.57,11.8499,-6.3771
3921762,2,1,11.43,11.8804,-6.3670
3921888,2,1,10.83,12.0406,-6.1265
3921953,2,1,11.18,11.9986,-6.4327
3924081,2,1,11.39,12.1761,-6.9238
3958670,2,1,11.41,12.3744,-6.2682
3958684,2,1,8.53,12.3115,-6.1701
3964172,2,1,10.41,12.6494,-6.3876
3964218,2,1,8.93,12.5633,-6.1944
3964236,2,1,11.33,12.6504,-6.0796
3964262,2,1,10.35,12.6157,-5.9195
3964295,2,1,11.68,12.7505,-6.0532
3988901,2,1,11.31,12.8845,-6.4658
3989106,2,1,10.81,13.0009,-6.3873
4007712,2,1,8.04,13.0482,-6.0009
4381230,1,1,9.97,345.4511,-10.9906
4381918,1,1,10.76,345.4511,-7.9134
4382022,1,1,16.44,345.4934,-7.4137
4382254,1,1,10.99,345.4434,-6.2401
4382270,1,1,11.26,345.4192,-6.1440
4382455,1,1,4.42,345.6356,-6.5742
