#
# Full target list for orbit 93, sector 43
# Created Fri Sep 10 15:34:37 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1827443,4,1,10.91,78.7243,31.7935
1827590,4,1,10.99,78.5900,31.7413
1827744,4,1,9.78,78.6909,31.6897
1828620,4,1,5.75,78.6642,31.4017
1830614,4,1,8.00,78.6603,30.6715
1830904,4,1,9.92,78.6618,30.5747
1832556,4,1,11.89,78.6077,30.0171
1832935,4,1,11.48,78.8137,29.9851
1840666,4,1,4.82,78.8515,32.6877
1841543,4,1,10.04,78.7935,33.0133
1941904,4,1,10.30,78.9551,34.6996
1942416,4,1,7.18,78.9717,34.4224
1945684,4,1,9.92,78.9396,32.4628
1950843,4,1,12.79,79.0325,30.6524
1950893,4,1,8.16,79.0456,30.6815
2004993,4,1,9.06,79.1259,33.1627
2006984,4,1,5.71,79.0756,34.3126
2008000,4,1,10.97,79.0381,34.9336
2008765,4,1,8.81,79.0846,35.3941
2013258,4,1,12.76,79.2740,33.9915
2014191,4,1,9.20,79.2534,33.4523
2096047,4,1,10.86,79.2797,31.6645
2098122,4,1,11.00,79.2348,30.4259
2098201,4,1,8.63,79.1948,30.3793
2102329,4,1,5.49,79.3793,31.8240
2104696,4,1,8.67,79.3848,33.1246
2105589,4,1,7.97,79.3987,33.5935
2143575,4,1,8.26,79.3461,35.2037
2149979,4,1,3.42,79.5443,33.3706
2151572,4,1,9.90,79.5306,32.8909
2228954,4,1,12.35,79.6143,30.1470
2234692,4,1,12.80,79.6296,33.1463
2234723,4,1,8.19,79.6298,33.1645
2236015,4,1,6.21,79.5788,33.7672
2236662,4,1,12.68,79.6380,34.0654
2237045,4,1,10.13,79.6296,34.2518
2333933,4,1,11.32,79.8263,34.5404
2334539,4,1,9.26,79.8132,34.2432
2335562,4,1,5.52,79.7502,33.7482
2341087,4,1,11.18,79.7902,31.0101
2341744,4,1,11.65,79.7496,30.7082
2342986,4,1,10.44,79.7576,30.1035
2429093,4,1,11.45,79.9459,32.2188
2433001,4,1,6.26,79.8492,33.9853
2436328,4,1,9.60,79.8911,35.5889
2504200,4,1,11.80,80.0808,34.3751
2505046,4,1,4.69,80.0038,33.9580
2507547,4,1,6.48,80.0031,32.7854
2510152,4,1,8.36,80.0724,31.4802
2510963,4,1,11.41,80.0996,31.0506
2513761,4,1,11.12,80.2258,30.0963
2514016,4,1,8.04,80.2339,30.2241
2515421,4,1,15.63,80.1601,30.8059
2593217,4,1,10.81,80.1317,32.6039
2594287,4,1,9.49,80.2254,33.0860
2595273,4,1,11.32,80.1347,33.5257
2596803,4,1,5.85,80.2081,34.2675
2597097,4,1,13.66,80.2600,34.4171
2601692,4,1,12.67,80.3578,35.2706
2603570,4,1,10.28,80.3372,34.3968
2603937,4,1,9.73,80.2662,34.2223
2676497,4,1,8.87,80.3407,33.3854
2678500,4,1,11.34,80.2743,32.4302
2679439,4,1,8.90,80.3885,31.9679
2679752,4,1,10.08,80.3087,31.8211
2684176,4,1,10.69,80.5157,30.2548
2686265,4,1,7.53,80.5386,31.3730
2688613,4,1,6.39,80.4538,32.5111
2689133,4,1,10.27,80.4092,32.7588
2767741,4,1,15.95,80.4325,33.3658
2772825,4,1,8.40,80.4943,35.6815
2776401,4,1,10.02,80.6064,34.5831
2776520,4,1,9.56,80.5922,34.5243
2777700,4,1,10.28,80.6333,33.9977
2778003,4,1,8.01,80.6096,33.8598
2778144,4,1,9.59,80.5808,33.8001
2778177,4,1,9.87,80.5825,33.7862
2778803,4,1,8.79,80.6221,33.5140
2778872,4,1,11.43,80.6688,33.4915
2778879,4,1,12.04,80.6431,33.4891
2778931,4,1,11.43,80.5768,33.4725
2779013,4,1,10.08,80.6833,33.4407
2779096,4,1,13.03,80.6528,33.4109
2779166,4,1,12.50,80.6541,33.3870
2779211,4,1,9.63,80.6653,33.3717
2779347,4,1,8.96,80.6671,33.3193
2847687,4,1,10.39,80.6658,30.6963
2848024,4,1,10.95,80.5862,30.5188
2849758,4,1,10.08,80.7852,30.2244
2850290,4,1,14.12,80.7681,30.4829
2851608,4,1,8.93,80.7738,31.1585
2852467,4,1,11.81,80.7479,31.5693
2852469,4,1,9.77,80.8179,31.5700
2854318,4,1,10.67,80.7866,32.5245
2855970,4,1,10.60,80.8035,33.3153
2856124,4,1,12.28,80.7413,33.3687
2856176,4,1,11.35,80.7176,33.3843
2856211,4,1,11.91,80.7238,33.3921
2856252,4,1,13.10,80.7443,33.4009
2856355,4,1,9.30,80.6938,33.4196
2856436,4,1,12.35,80.7397,33.4334
2856498,4,1,11.14,80.6865,33.4435
2856528,4,1,11.08,80.7065,33.4479
2856693,4,1,9.94,80.6993,33.4761
2856912,4,1,10.98,80.7594,33.5270
2857009,4,1,10.48,80.8098,33.5641
2857080,4,1,11.59,80.7423,33.5964
2857242,4,1,10.12,80.6882,33.6695
2934856,4,1,10.44,80.7481,34.6625
2938831,4,1,10.41,82.0512,35.4311
2939367,4,1,9.34,82.0404,35.2817
2940839,4,1,8.14,81.9683,34.7828
2941693,4,1,10.37,81.9659,34.5133
2941914,4,1,10.66,82.0255,34.4561
2942142,4,1,9.52,82.0296,34.4240
2942298,4,1,9.70,82.0349,34.3959
2944024,4,1,5.94,82.0040,33.7624
2944381,4,1,9.78,81.9600,33.6233
2945216,4,1,10.15,82.0400,33.3131
