#
# Full target list for orbit 101, sector 47
# Created Mon Dec 13 06:23:22 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
3575398,1,4,12.73,126.7988,29.6931
3575432,1,4,8.10,126.7679,29.5737
3575626,1,4,8.53,126.7960,28.9328
3575864,1,4,10.59,126.6983,28.1252
3576220,1,4,5.99,126.6961,26.9355
3576222,1,4,6.10,126.6951,26.9344
3576581,1,4,9.27,126.8127,25.7252
3577943,1,4,11.38,126.9185,26.5013
3578290,1,4,9.20,126.9123,27.5643
3642586,1,4,10.49,126.9348,27.6037
3642664,1,4,9.88,126.9152,27.8416
3642856,1,4,9.23,126.8356,28.4234
3643547,1,4,8.44,126.9646,29.0883
3643702,1,4,11.18,127.0039,28.5536
3644468,1,4,8.02,127.0760,26.1987
3645653,1,4,14.34,127.1538,25.3342
3645667,1,4,11.19,127.0933,25.3815
3645899,1,4,11.12,127.2168,26.1799
3646393,1,4,10.12,127.0962,27.8038
3646548,1,4,9.75,127.1826,28.3106
3647044,1,4,12.27,127.1790,29.9661
3662432,1,4,11.07,127.3277,29.0326
3662543,1,4,10.34,127.3260,28.6370
3662565,1,4,10.88,127.3546,28.5659
3663029,1,4,11.18,127.2687,27.0425
3664898,1,4,10.50,127.4480,26.7723
3665189,1,4,12.23,127.3835,27.6827
3665269,1,4,14.03,127.4071,27.9905
3665321,1,4,11.03,127.4200,28.1661
3665517,1,4,12.54,127.3923,28.7801
3666051,1,4,9.81,127.6133,29.3341
3666233,1,4,13.03,127.5574,28.7708
3666477,1,4,8.23,127.5415,28.0812
3666558,1,4,10.10,127.5208,27.8297
3696356,1,4,9.82,127.7110,25.1516
3697165,1,4,9.78,127.7432,27.7461
3697787,1,4,10.43,127.7373,29.7866
3698174,1,4,10.33,127.7886,28.7758
3698382,1,4,10.76,127.8680,28.0870
3698403,1,4,11.00,127.8029,28.0049
3698647,1,4,11.32,127.7676,27.1861
3698734,1,4,10.47,127.7834,26.9159
3699158,1,4,7.46,127.8160,25.7402
3713657,1,4,10.80,127.9687,25.8526
3714087,1,4,8.31,127.9473,27.1484
3714198,1,4,11.30,127.9863,27.5111
3714529,1,4,13.44,127.9299,28.5410
3714803,1,4,10.32,127.9513,29.3836
3714824,1,4,11.31,128.0047,29.4672
3715063,1,4,8.27,128.0738,29.4670
3715552,1,4,10.28,128.1351,27.7932
3717225,1,4,8.21,128.1591,25.5750
3753598,1,4,8.33,128.2864,28.3811
3753999,1,4,10.83,128.3425,27.0119
3754176,1,4,11.41,128.3448,26.4042
3754247,1,4,11.11,128.3539,26.1419
3756332,1,4,11.12,128.4789,28.3273
