#
# Full target list for orbit 105, sector 49
# Created Mon Feb 28 10:01:14 EST 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1121229,1,2,11.17,168.8460,24.8639
1121536,1,2,10.95,169.0062,24.8984
1125234,1,2,8.25,169.1059,27.4218
1125324,1,2,11.14,169.1538,26.7547
1125484,1,2,10.87,169.0480,25.6565
1125709,1,2,10.66,169.1382,24.3230
1126075,1,2,10.61,169.2372,26.0615
1126948,1,2,13.71,169.4034,27.3597
1127009,1,2,11.03,169.4087,26.9644
1127189,1,2,10.86,169.4297,25.9080
1150750,1,2,10.26,169.5550,24.1961
1150785,1,2,9.98,169.4825,24.4379
1150817,1,2,10.89,169.5050,24.6886
1151290,1,2,10.08,169.5674,27.9553
1152191,1,2,16.37,169.7400,28.6162
1152443,1,1,10.39,187.5347,29.4117
1152510,1,1,12.35,187.5790,28.9620
1152825,1,1,10.15,187.5106,26.6736
1153022,1,1,15.07,187.5587,25.3020
1153082,1,1,11.67,187.5649,24.8652
1153194,1,1,13.28,187.5202,24.0427
3801419,1,3,9.14,169.0445,20.3666
3801457,1,3,10.79,169.0474,20.1499
3801639,1,3,8.06,169.1327,18.8563
3801665,1,3,8.52,169.1254,18.6417
3801855,1,3,14.62,169.2649,18.4327
3801978,1,3,11.14,169.1926,19.2982
3802219,1,3,12.17,169.1760,20.8772
3802280,1,3,7.63,169.2704,21.2932
3802286,1,3,9.82,169.2453,21.3484
3802298,1,3,10.90,169.1911,21.4738
3802453,1,3,11.41,169.2188,22.4174
3802457,1,3,10.03,169.2490,22.4849
3802876,1,3,11.00,169.4152,22.4654
3803517,1,3,10.69,169.3589,18.5337
3803622,1,3,15.38,169.5361,18.1397
3804010,1,3,9.92,169.4294,20.5503
3806888,1,3,8.19,169.4905,21.4688
3807021,1,3,10.85,169.5260,22.4173
3807043,1,3,11.91,169.5085,22.5466
3807096,1,3,11.01,169.5359,23.0071
3807120,1,3,12.26,169.4443,23.1475
3807351,1,3,9.97,169.5791,23.2433
3807867,1,3,13.44,169.6447,19.8297
3808345,1,3,11.43,169.7599,18.9160
3808393,1,3,9.97,169.7171,19.2838
3808421,1,3,11.14,169.7114,19.4714
3808433,1,3,10.72,169.7636,19.5079
3808740,1,3,12.75,169.6898,21.6172
3808886,1,3,10.81,169.7436,22.4899
3808984,1,3,10.36,169.6877,23.0522
3809256,1,3,11.21,169.9111,23.1553
3812151,1,3,11.30,169.8805,22.5164
3812264,1,3,11.24,169.8111,21.8650
3812302,1,3,11.11,169.8928,21.6424
3812476,1,3,11.00,169.8605,20.5952
3812629,1,3,10.00,169.8375,19.5738
3812730,1,3,11.52,169.8060,18.9061
3812756,1,3,11.01,169.8593,18.7304
3812921,1,3,11.16,169.9753,18.2211
3812984,1,3,9.62,169.9898,18.5665
3813653,1,3,8.13,169.9712,23.0352
3813979,1,3,9.56,170.1586,22.7813
3814342,1,3,8.30,170.0617,20.5515
3814454,1,3,12.90,170.1110,19.8876
3814526,1,3,9.10,170.1660,19.4768
3817491,1,3,10.04,170.1221,18.6788
3817616,1,3,8.26,170.2712,17.8714
3817821,1,3,8.98,170.1862,19.2843
3818065,1,3,7.85,170.2461,20.8580
3818137,1,3,11.11,170.2744,21.3515
3818153,1,3,13.74,170.2839,21.4409
3818541,1,2,13.56,170.3811,23.9398
3818851,1,3,8.39,170.3757,21.9875
3819281,1,3,9.82,170.4240,19.4796
3819305,1,3,9.62,170.4340,19.3215
3819392,1,3,11.12,170.3150,18.7754
3819473,1,3,10.57,170.3174,18.2112
3819475,1,3,10.42,170.3954,18.1934
3819571,1,3,7.24,170.4546,18.1894
3819655,1,3,11.07,170.5169,18.7428
3819857,1,3,10.57,170.5396,19.7672
3851875,1,3,10.10,170.4413,22.1503
3852594,1,3,10.17,170.6504,21.2961
3852637,1,3,10.40,170.6074,20.9800
3852659,1,3,9.93,170.6634,20.7785
3852888,1,3,11.49,170.6305,19.5767
3853085,1,3,10.11,170.6809,18.3488
3853116,1,3,9.43,170.6906,18.0939
3853354,1,3,10.90,170.7305,19.2328
3853500,1,3,9.45,170.8155,19.8918
3853553,1,3,11.10,170.8123,20.2084
3853645,1,3,9.04,170.8108,20.7011
3853782,1,3,10.41,170.7694,21.5996
3853973,1,3,9.81,170.6957,22.6629
3854105,1,2,12.80,170.7036,23.7185
3889157,1,3,11.26,170.8981,21.6666
3889550,1,3,9.93,170.8396,19.4961
3889551,1,3,10.05,170.8409,19.4935
3889613,1,3,8.28,170.8526,19.0349
3889651,1,3,10.28,170.8556,18.7765
3890001,1,3,10.11,171.0023,19.0507
3890131,1,3,12.48,171.0557,19.7204
3890133,1,3,9.76,171.0359,19.7336
