#
# Full target list for orbit 109, sector 51
# Created Tue Apr 12 10:01:16 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
3987258,1,2,10.38,218.6947,12.4026
3987311,1,2,9.46,218.7323,12.2368
3987425,1,2,11.45,218.8018,12.2205
3987582,1,2,9.13,218.7987,12.8601
3987587,1,2,11.03,218.8634,12.8892
3992998,1,2,8.68,218.9650,11.9988
3993138,1,2,8.98,219.0130,12.5749
3993274,1,2,8.86,219.0227,13.1206
4025950,2,3,10.48,227.9305,14.1238
4026095,2,3,9.82,227.8281,13.7083
4026621,1,2,9.92,227.9535,11.9680
4027674,2,3,9.17,227.9966,15.4899
4027858,2,3,9.94,227.9960,16.0992
4027966,2,3,12.10,228.0137,16.5372
4027988,2,3,8.73,227.9806,16.6318
4028054,2,3,10.82,228.0022,16.9221
4028084,2,3,11.17,228.0544,17.0222
4028349,2,3,11.10,227.9805,17.9511
4028599,2,3,11.07,228.1412,17.0947
4061556,2,3,10.89,228.1678,13.9418
4062916,2,3,8.18,228.2421,14.8037
4063087,2,3,9.12,228.2901,15.4201
4063220,2,3,9.95,228.2401,15.7690
4063371,2,3,8.65,228.2409,16.3324
4063794,2,3,10.83,228.3536,17.9309
4063866,2,3,11.94,228.4010,17.6502
4064007,2,3,15.71,228.3335,17.1050
4064456,2,3,9.29,228.3231,15.4493
4064734,2,3,9.80,228.3774,14.4253
4064878,2,3,9.71,228.3932,13.9697
4065085,2,3,8.14,228.3412,13.2733
4065306,1,2,8.24,228.3226,12.4571
4065545,1,2,9.29,228.4381,12.2544
4065621,1,2,10.95,228.5168,12.4877
4073527,2,3,8.43,228.4461,14.4483
4073701,2,3,10.87,228.5570,15.0790
4073882,2,3,10.19,228.4747,15.7502
4074399,2,3,8.78,228.5327,17.4096
4074416,2,3,11.03,228.5000,17.4571
4074737,2,3,11.34,228.6249,17.3352
4074926,2,3,9.97,228.6622,16.6499
4075095,2,3,10.78,228.5608,16.0146
4075680,2,3,10.62,228.5931,14.1639
4075988,2,3,9.25,228.6793,13.1496
4075993,1,2,9.25,228.6260,13.1330
5979133,1,3,8.61,213.3807,-6.9581
5993358,1,3,14.76,213.5811,-6.3108
5993547,1,3,12.91,213.6882,-6.3093
6026581,1,3,10.71,213.7583,-6.3102
6029617,1,3,8.26,214.0026,-7.0622
6029705,1,3,10.95,214.0543,-6.7224
6029735,1,3,6.16,214.0888,-6.6216
6029884,1,3,3.60,214.0035,-6.0031
6030194,1,3,9.30,214.1116,-6.8925
6041715,1,3,16.11,214.4975,-6.6687
6095802,1,3,11.25,214.7889,-7.3080
6096316,1,3,12.05,214.8691,-6.4586
6096401,1,3,11.24,214.8523,-6.8204
6096490,1,3,8.21,214.8475,-7.2000
6113376,1,3,9.64,214.9836,-6.8487
6113407,1,3,5.62,214.9711,-6.7463
6113468,1,3,8.60,215.0177,-6.5360
6113492,1,3,11.29,215.0087,-6.4785
6113699,1,3,9.61,215.0717,-6.2025
6121688,1,3,9.36,215.1980,-7.6094
6130991,1,3,9.00,215.4523,-6.7540
6131485,1,3,11.05,215.6217,-7.1473
6131524,1,3,11.06,215.6000,-7.2887
6131638,1,3,8.25,215.6488,-7.7076
6131661,1,3,7.01,215.6612,-7.7690
6131663,1,3,7.02,215.6613,-7.7706
6160620,1,3,11.01,215.7562,-7.5677
6160898,1,3,8.19,215.7986,-6.5225
6161023,1,3,12.55,215.7284,-6.0480
6161134,1,3,11.05,215.8931,-6.2323
6161564,1,3,11.93,215.8254,-7.8416
