#
# Full target list for orbit 111, sector 52
# Created Wed May 11 10:07:32 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
7546165,2,3,8.87,258.5710,45.6523
7548817,2,4,12.04,272.2670,45.3369
7578826,2,4,10.62,272.1910,44.7161
7578878,2,4,9.79,272.1681,44.6296
7581199,2,4,10.14,272.3460,43.2604
7582594,2,4,8.57,272.3966,45.8308
7583152,2,4,11.01,272.3541,46.9626
7584049,2,4,8.50,272.5282,47.0887
7584971,2,4,8.09,272.5415,45.2208
7615976,2,4,9.95,272.5166,43.8029
7617177,2,4,8.59,272.6429,42.0301
7617789,2,4,11.32,272.7938,42.9986
7618785,2,4,5.99,272.7084,44.5982
7619197,2,4,8.08,272.7299,45.3263
7619659,2,4,10.40,272.7744,46.1650
7620095,2,4,8.59,272.6742,46.9816
7620157,2,4,11.72,272.6598,47.1119
7622101,2,4,17.50,272.9312,44.9170
7622188,2,4,9.80,272.8379,44.7469
7622763,2,4,8.11,272.9529,43.6974
7673719,2,4,11.15,272.9555,42.2093
7675859,2,4,16.30,273.0948,43.3524
7676447,2,4,10.01,273.0682,43.8101
7676606,2,4,11.99,272.9687,43.9556
7677776,2,4,11.38,273.1154,44.9576
7679229,2,4,9.70,272.9907,46.2330
7679733,2,4,7.93,273.0208,46.7361
7682924,2,4,11.82,273.2186,45.9999
7686889,2,4,8.10,273.2053,42.6235
7694175,2,4,8.25,273.3483,45.5908
7694690,2,4,8.64,273.4251,46.4835
7717175,2,4,11.15,274.0220,42.2195
7718560,2,4,8.15,274.1082,44.2924
7718876,2,4,10.15,274.1107,44.7650
7719424,2,4,9.73,274.0394,45.6686
7720786,2,1,7.92,274.1726,47.9110
7772664,2,4,12.57,274.1365,46.8573
7772909,2,4,14.88,274.1472,46.3879
7773413,2,4,8.53,274.1294,45.5600
7773681,2,4,12.78,274.2197,45.1253
7775012,2,4,9.84,274.2397,43.0595
7778483,2,4,9.97,274.3945,46.1368
7779502,2,1,12.19,274.8065,47.9050
7800253,2,4,9.53,274.9235,44.4639
7800921,2,4,9.37,274.8280,43.5051
7802067,2,4,10.13,274.8935,42.0270
7802164,2,1,10.28,275.1447,47.9402
7802263,2,1,8.13,275.2519,47.7761
7804980,2,4,11.28,275.2435,43.9967
7849727,2,4,10.00,275.4096,42.1686
7850185,2,4,11.67,275.2771,42.6934
7852048,2,4,10.90,275.3612,45.0933
7852543,2,4,10.11,275.2677,45.7353
7852697,2,4,12.55,275.4172,45.9731
7852929,2,4,10.61,275.2836,46.3427
7854182,2,1,9.06,275.5485,47.5690
7854956,2,4,9.42,275.5291,46.4404
