#
# Full target list for orbit 113, sector 53
# Created Thu Jun 23 09:14:40 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5115485,1,3,9.97,269.4199,13.9791
5116006,1,3,8.51,269.4554,14.3064
5118616,1,3,15.57,269.4053,16.0396
5119786,1,3,8.19,269.4029,16.8813
5204958,1,3,5.45,269.5087,15.4068
5205367,1,3,6.68,269.5289,15.1399
5206639,1,3,15.59,269.5901,14.2903
5260642,1,3,10.01,269.7025,13.4959
5262012,1,3,9.06,269.6298,14.3384
5262805,1,3,6.69,269.6954,14.8427
5262832,1,3,11.34,269.7148,14.8703
5265337,1,3,9.38,269.7219,16.5791
5349203,1,3,16.64,269.7858,14.8585
5351341,1,3,9.83,269.8082,13.4805
5356526,1,3,10.01,269.9744,13.5870
5357747,1,3,9.36,269.9123,14.3220
5358242,1,3,14.01,269.9412,14.6559
5359917,1,3,16.95,269.9826,15.7825
5418435,1,3,8.65,269.8694,16.6286
5421862,1,3,3.65,270.0142,16.7509
5422005,1,3,10.37,270.0687,16.6553
5424189,1,3,11.24,270.0375,15.1916
5425249,1,3,10.62,270.0863,14.4952
5490216,1,3,9.11,270.1298,14.4681
5494171,1,3,5.28,270.1309,17.1032
7620681,2,4,11.23,272.8556,47.7042
7620704,2,4,5.81,272.8927,47.6596
7620720,2,4,14.16,272.8190,47.6383
7622101,2,4,17.50,272.9312,44.9170
7622219,2,4,9.07,272.8499,44.6799
7622763,2,4,8.11,272.9529,43.6974
7675859,2,4,16.30,273.0948,43.3524
7676606,2,4,11.99,272.9687,43.9556
7686889,2,4,8.10,273.2053,42.6235
7694175,2,4,8.25,273.3483,45.5908
7694690,2,4,8.64,273.4251,46.4835
7695147,2,4,14.47,273.3391,47.3509
7718560,2,4,8.15,274.1082,44.2924
7720786,2,4,7.92,274.1726,47.9110
7772664,2,4,12.57,274.1365,46.8573
7772909,2,4,14.88,274.1472,46.3879
7773413,2,4,8.53,274.1294,45.5600
7773681,2,4,12.78,274.2197,45.1253
7779502,2,4,12.19,274.8065,47.9050
7800921,2,4,9.37,274.8280,43.5051
7802067,2,4,10.13,274.8935,42.0270
7802263,2,4,8.13,275.2519,47.7761
7849727,2,4,10.00,275.4096,42.1686
7852697,2,4,12.55,275.4172,45.9731
7854182,2,4,9.06,275.5485,47.5690
7856273,2,4,8.10,275.4568,44.6774
7857074,2,4,8.13,275.4305,43.5883
7857614,2,4,9.45,275.4442,42.9446
7897892,2,4,14.10,275.6785,43.3441
7897957,2,4,11.24,275.5953,43.4196
7900693,2,4,8.83,275.5995,47.0242
7901767,2,4,15.61,275.8743,47.2931
7988331,1,4,10.81,278.6407,18.0167
7988665,1,4,11.00,278.6800,18.1178
7988895,1,4,15.39,278.6221,18.1837
8084400,1,4,12.82,278.7406,21.8011
8088752,1,4,8.60,278.6806,23.4859
8180177,1,4,13.51,278.7895,19.0048
8181167,1,4,9.73,278.7801,18.7077
8182781,1,4,5.77,278.8026,18.2034
8264993,1,4,8.10,278.9914,19.8835
