#
# Full target list for orbit 117, sector 55
# Created Fri Jul 15 09:17:20 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
856268,1,4,12.21,327.7501,-6.2156
883086,1,4,11.12,327.8924,-6.3749
910858,1,4,13.63,328.1671,-6.0817
910949,1,4,8.54,328.2145,-6.3463
924374,1,4,13.76,328.5806,-6.1819
995446,1,4,9.70,329.0317,-6.1379
10757069,3,1,9.11,303.6667,41.8408
10849114,3,1,9.19,303.7389,39.9650
10855755,3,1,9.37,303.6580,38.9248
10856385,3,1,14.00,303.6648,38.8383
10861742,3,1,8.38,303.7359,38.1384
10981293,3,1,8.98,303.6483,37.5808
10982979,3,1,8.20,303.7603,37.3900
10983000,3,1,9.95,303.6293,37.3882
10983075,3,1,8.96,303.7291,37.3783
10983289,3,1,6.80,303.6267,37.3538
10987644,3,1,9.61,303.7305,36.8535
10988057,3,1,4.79,303.6340,36.8067
10988549,3,1,5.39,303.6651,36.7521
11111668,3,1,9.25,303.8566,36.6247
11111899,3,1,9.70,303.8248,36.6518
11113164,3,1,10.34,303.9089,36.7935
11113493,3,1,9.31,303.8940,36.8318
11114789,3,1,13.65,303.9163,36.9868
11116617,3,1,16.74,303.9040,37.1897
11117282,3,1,8.72,303.7887,37.2664
11119600,3,1,11.39,303.8232,37.5289
11210189,3,1,9.45,303.7792,39.5074
11218613,3,1,10.08,303.8176,40.9383
11264288,2,2,13.72,297.8845,29.0993
11344866,3,1,10.38,303.9975,41.0586
11345334,3,1,7.91,304.0575,40.9633
11354382,3,1,11.31,304.0477,39.3220
11365252,2,2,11.70,297.9725,29.8214
11367235,2,2,9.23,298.0815,29.8340
11469657,3,1,6.30,304.0143,38.8978
11469862,3,1,9.76,304.0581,38.8716
11479883,3,1,9.88,304.0356,37.5564
11480287,3,1,11.03,303.9865,37.5085
11480757,3,1,11.57,303.9830,37.4543
11498256,2,2,5.61,298.0652,28.2517
11499710,2,2,7.62,298.0193,28.0998
