#
# Full target list for orbit 119, sector 56
# Created Fri Sep  2 12:48:17 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
10549341,2,4,13.47,340.1192,30.1530
10550659,2,4,8.08,340.2007,31.7943
10551067,2,4,11.87,340.1240,32.3202
10591414,2,4,11.72,340.3181,32.9626
10592740,2,4,17.34,340.2843,31.3082
10593027,2,4,4.81,340.3808,30.9659
10593490,2,4,8.25,340.3105,30.4016
10593551,2,4,11.18,340.2579,30.3300
10595436,2,4,10.06,340.5102,31.8731
10596267,2,4,11.41,340.3936,32.9386
10596269,2,4,10.43,340.3942,32.9406
10597183,2,4,8.02,340.4971,34.0069
10655213,2,4,9.22,340.5893,35.6506
10660045,2,4,11.41,340.5760,31.2786
10662523,2,4,2.14,340.7507,30.2211
10663735,2,4,9.99,340.7491,31.0467
10664460,2,4,11.13,340.6938,31.5561
10665133,2,4,9.61,340.7048,32.0423
10665786,2,4,11.10,340.7802,32.4464
10677424,2,4,8.41,340.7718,35.3299
10680526,2,4,11.93,340.9478,32.8672
10680561,2,4,5.55,340.8970,32.8220
10680819,2,4,10.56,340.8238,32.5026
10681474,2,4,9.10,340.8642,31.6526
10681850,2,4,12.69,340.9024,31.1046
10681979,2,4,14.58,340.9197,30.9222
10682215,2,4,10.55,340.8803,30.5955
10682576,2,4,7.39,340.9204,30.0927
10682946,2,4,9.67,341.0373,30.2559
10683308,2,4,9.73,341.0094,30.7875
10684342,2,4,11.91,340.9711,32.2252
10684412,2,4,10.62,341.0538,32.3322
10728054,2,4,9.70,341.0641,35.3208
15104511,2,3,8.80,321.8245,29.2826
15201442,2,3,9.88,322.0855,29.4321
15298476,2,3,5.81,322.3139,28.5821
15298798,2,3,8.00,322.3431,28.8752
15422557,2,3,9.00,322.9310,27.9098
15452873,2,3,9.74,323.0806,29.4882
15454909,2,3,9.73,322.9579,27.5326
15462112,2,3,9.73,323.1131,27.8890
15514858,2,3,9.46,323.0982,28.3455
15515259,2,3,8.20,323.1945,28.7215
16494648,2,3,11.39,326.5231,25.2077
16537218,2,3,12.03,326.4217,24.8513
16538469,2,3,13.76,326.5664,24.6745
16538942,2,3,11.22,326.5490,25.2812
16539178,2,3,5.24,326.6009,25.5638
16539463,2,3,10.17,326.6446,25.9236
16540137,2,3,7.93,326.6340,26.7538
16602098,2,3,9.25,326.7102,24.7675
16603615,2,3,10.55,326.8200,25.0179
16604390,2,3,9.73,326.8931,25.9464
16608085,2,3,10.02,326.9916,29.8748
16609260,2,3,8.09,326.9855,28.6464
16651502,2,3,9.92,327.0622,27.9240
16653929,2,3,8.19,327.0651,24.9801
16654317,2,3,8.41,326.9404,24.4808
16654329,2,3,5.71,327.0452,24.4641
16656061,2,3,10.21,327.1430,25.7226
16659526,2,3,8.23,327.2031,29.7890
16660070,2,3,9.74,327.2247,29.5046
16745974,2,3,9.10,327.3289,24.1921
16746325,2,3,5.90,327.4282,24.0892
16747557,2,3,13.38,327.3427,25.6324
16750287,2,3,7.75,327.3996,28.9926
16783095,2,3,14.68,327.4791,28.2827
16783423,2,3,9.63,327.5779,27.8938
16785006,2,3,8.13,327.5558,25.8937
16786686,2,3,11.09,327.6892,24.2373
16786779,2,3,9.01,327.6563,24.3588
16786818,2,3,11.71,327.6100,24.4082
16808769,2,3,9.26,327.6960,29.0269
17035907,3,1,11.70,308.1086,41.4942
17036308,3,1,12.54,307.9849,41.5514
17038893,3,1,6.28,308.2138,41.9013
17040689,3,1,9.80,308.2624,41.5733
17125275,3,1,10.31,308.1156,41.4812
17125425,3,1,13.69,308.1762,41.4638
17125695,3,1,9.29,308.1893,41.4271
17125844,3,1,10.32,308.2465,41.4071
17450377,3,1,8.96,308.4129,41.3239
17451075,3,1,12.40,308.3531,41.3679
17451194,3,1,11.20,308.2937,41.3729
17453934,3,1,10.27,308.3564,41.5574
17456038,3,1,10.93,308.2719,41.7268
17865401,2,3,16.49,328.8132,28.4638
17865622,2,3,10.95,328.9114,28.1795
17866648,2,3,8.48,328.8366,26.7989
17867290,2,3,8.02,328.8647,25.9328
17920894,2,3,9.23,328.8600,25.2978
17920897,2,3,9.09,328.8321,25.2917
17921957,2,3,9.87,328.9994,24.0533
17922767,2,3,11.48,328.9907,25.1866
17923293,2,3,8.35,329.0105,25.8945
17925102,2,3,8.47,328.9487,28.1317
17926176,2,3,8.50,328.9394,29.4264
17994826,2,3,8.03,329.0901,26.4484
17995126,2,3,10.86,329.1863,26.0528
17995932,2,3,8.52,329.1087,24.8860
17997256,2,3,10.93,329.2620,24.9118
17997525,2,3,5.82,329.2422,25.2677
17999169,2,3,8.91,329.3051,27.4543
18000541,2,3,8.10,329.2408,29.1201
18001691,2,3,9.42,329.3978,29.3325
18022975,2,3,9.01,329.4549,26.8536
18023226,2,3,10.39,329.3709,26.5521
18024591,2,3,9.29,329.3308,24.6640
18025022,2,3,10.68,329.3834,24.0222
18025316,2,3,9.17,329.5815,24.3202
18025320,2,3,9.88,329.5719,24.3267
18025633,2,3,8.19,329.4760,24.7482
