#
# Full target list for orbit 121, sector 57
# Created Sat Oct  1 13:11:22 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
12711731,3,2,5.97,342.8730,62.9719
12715032,3,2,11.20,342.7993,61.7600
12715240,3,2,5.69,342.8456,61.6970
12790306,3,2,6.86,343.1907,60.9162
12794506,3,2,8.56,343.1406,62.3132
12795612,3,2,9.28,343.1217,62.6860
12797703,3,2,8.33,343.2091,63.4134
12865936,3,2,12.46,343.0376,65.1714
12868098,3,2,12.54,343.3140,65.5037
12870392,3,2,8.34,343.4523,64.4389
12876844,3,2,8.53,343.3150,62.1458
12876890,3,2,8.23,343.3783,62.1349
12958037,3,2,4.36,343.2659,60.1011
12962152,3,2,18.48,343.5854,60.9932
12962163,3,2,10.38,343.5804,60.9946
12965184,3,2,16.67,343.6922,62.0824
13028893,3,2,7.93,343.5973,64.1151
13037534,3,2,10.00,343.8759,64.0086
13099953,3,2,11.97,343.9202,63.8615
13105061,3,2,9.02,343.8722,62.2392
13111800,3,2,14.12,344.0354,59.9084
13208879,3,2,8.14,344.1537,61.5189
13211109,3,2,4.77,343.9936,62.4323
13211274,3,2,13.31,344.1584,62.4966
13211704,3,2,8.08,344.1773,62.6249
13276487,3,2,8.06,344.3706,65.6228
13283038,3,2,7.87,344.2779,63.0323
13285318,3,2,8.28,344.3869,62.3578
13287237,3,2,13.22,344.3111,61.5749
13287834,3,2,15.32,344.4168,61.3735
13379576,3,2,8.63,344.6544,60.0294
13385270,3,2,11.79,344.5661,61.7406
13389059,3,2,7.08,344.6658,63.0771
13822031,1,1,13.34,11.6845,29.7224
13822330,1,1,13.77,11.5867,28.6847
13824611,1,1,8.33,11.7400,27.3133
13827064,1,3,3.12,11.8340,24.2667
13829713,1,1,11.04,12.1090,27.7583
13829932,1,1,10.23,12.1886,27.0174
13830264,1,4,8.80,12.1752,25.8632
13862266,1,1,8.54,12.2807,28.4302
13863424,1,1,5.91,12.4709,27.7107
13863427,1,1,5.97,12.4722,27.7102
13864767,1,1,8.41,12.6718,29.6304
13886432,1,4,14.94,12.7239,24.9797
13886484,1,4,10.07,12.6400,24.8165
13887003,1,4,12.49,12.8741,24.7137
13887159,1,4,12.80,12.8094,25.2404
13887808,1,1,8.26,12.8309,27.3577
13889301,1,1,10.85,13.0135,27.8145
13916646,1,4,14.29,12.9968,25.3284
13916814,1,4,11.12,12.9317,24.7641
13917381,1,4,11.64,13.1404,24.8546
13917791,1,4,9.27,13.0678,26.2735
13918140,1,1,17.65,13.0915,27.3606
13920563,1,4,11.19,13.2073,24.8564
13920914,1,4,9.98,13.2924,24.1162
13935789,1,4,8.19,13.4039,24.9326
13935926,1,4,10.20,13.3901,25.4385
13937166,1,1,5.90,13.4041,29.4891
13938671,1,4,10.91,13.4913,25.5958
13938727,1,4,8.78,13.4231,25.3964
13939610,1,4,7.99,13.5694,25.3941
13939715,1,4,8.07,13.5993,25.7145
13959624,1,1,9.38,13.6148,28.8542
13960421,1,1,9.78,13.7768,28.6893
13960713,1,1,8.47,13.7998,27.6434
13960751,1,1,12.10,13.7028,27.5178
13961554,1,4,13.27,13.7198,24.7241
13961601,1,4,3.86,13.8113,24.5570
13961725,1,4,6.82,13.7457,24.0991
13962155,1,4,10.60,13.8226,25.1933
13962455,1,4,11.83,13.9185,26.2228
13997228,1,4,10.87,14.0141,26.5944
13997454,1,4,11.91,13.9933,26.0331
13998021,1,4,8.94,14.0643,24.2919
13998201,1,4,15.76,14.0861,24.1523
13998645,1,4,11.45,14.0892,25.7231
13998870,1,4,5.09,14.1858,26.3400
14005686,1,4,11.98,14.2458,25.7796
14005700,1,4,8.74,14.2981,25.7342
14005825,1,4,7.92,14.3272,25.2927
