#
# Full target list for orbit 123, sector 58
# Created Mon Oct  3 17:49:24 EDT 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5613228,1,3,9.85,31.9955,29.4515
5613431,1,3,8.77,31.9512,28.8483
5613442,1,3,12.80,31.9589,28.8207
5613477,1,3,9.88,31.9368,28.6999
5613490,1,3,11.57,31.8758,28.6656
5613706,1,3,12.43,31.9404,27.9450
5614008,1,3,12.75,31.9701,26.8775
5614020,1,3,10.00,32.0046,26.8466
5615053,1,3,11.56,32.0579,24.7997
5615060,1,3,4.88,32.0711,24.8193
5615694,1,3,11.33,32.0958,26.8790
5615764,1,3,12.55,32.1304,27.0758
5615827,1,3,9.36,32.1315,27.2719
5615846,1,3,12.69,32.0276,27.3332
5615907,1,3,11.05,32.0412,27.5415
5615973,1,3,10.27,32.1278,27.7158
5616073,1,3,12.05,32.0376,28.0134
5616138,1,3,12.33,32.1171,28.2283
5616167,1,3,9.56,32.1012,28.3032
5616170,1,3,9.18,32.1013,28.3089
5635724,1,3,12.57,32.1817,28.2760
5635764,1,3,10.86,32.1698,28.1439
5635852,1,3,9.03,32.2743,27.8386
5635985,1,3,13.92,32.1970,27.4261
5636049,1,3,11.69,32.2478,27.1967
5636209,1,3,9.10,32.1897,26.7016
5636539,1,3,11.69,32.1876,25.6075
5636651,1,3,13.43,32.1997,25.2353
5636984,1,3,9.87,32.2432,23.9837
5637590,1,3,4.63,32.3561,25.9397
5637828,1,3,11.50,32.2755,26.7429
5637971,1,3,11.86,32.3293,27.2144
5638008,1,3,8.29,32.4020,27.3684
5638068,1,3,9.73,32.3188,27.5922
5638268,1,3,12.85,32.2798,28.1776
5638374,1,3,17.59,32.3742,28.5413
5638536,1,3,9.69,32.3143,29.0153
5642882,1,3,10.33,32.4635,27.8687
5642930,1,3,11.39,32.5355,27.7306
5643077,1,3,11.88,32.5106,27.3000
5643102,1,3,10.91,32.4545,27.1966
5643238,1,3,10.01,32.4308,26.7796
5643267,1,3,9.77,32.4107,26.7035
5643323,1,3,8.01,32.4623,26.4845
5644430,1,3,8.15,32.5763,25.3982
5644842,1,3,10.89,32.5693,26.7363
5645028,1,3,12.44,32.5832,27.2173
5645131,1,3,10.08,32.6280,27.5524
5646848,1,3,13.16,32.7981,27.1275
5646849,1,3,10.81,32.7981,27.1258
5646887,1,3,11.68,32.7434,27.0320
5646955,1,3,11.16,32.6894,26.7780
5670647,1,3,4.81,32.8002,25.9369
5671350,1,3,8.98,32.8471,24.3288
5671391,1,3,7.84,32.8504,24.5229
5672234,1,3,8.65,32.8265,27.0950
5672399,1,3,12.73,32.8243,27.5663
