#
# Full target list for orbit 125, sector 59
# Created Mon Nov  7 12:06:35 EST 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1827744,1,4,9.78,78.6909,31.6897
1828620,1,4,5.75,78.6642,31.4017
1840666,1,4,4.82,78.8515,32.6877
1942416,1,4,7.18,78.9717,34.4224
1942969,1,4,12.82,78.9323,34.0923
1947463,1,4,14.07,78.8831,31.3566
1950843,1,4,12.79,79.0325,30.6524
1950893,1,4,8.16,79.0456,30.6815
2006984,1,4,5.71,79.0756,34.3126
2008765,1,4,8.81,79.0846,35.3941
2014191,1,4,9.20,79.2534,33.4523
2102329,1,4,5.49,79.3793,31.8240
2104696,1,4,8.67,79.3848,33.1246
2105589,1,4,7.97,79.3987,33.5935
2143575,1,4,8.26,79.3461,35.2037
2149979,1,4,3.42,79.5443,33.3706
2152411,1,4,13.37,79.5144,32.6563
2234723,1,4,8.19,79.6298,33.1645
2236015,1,4,6.21,79.5789,33.7672
2237045,1,4,10.13,79.6296,34.2518
2334539,1,4,9.26,79.8132,34.2432
2334836,1,4,10.92,79.7856,34.0934
2335562,1,4,5.52,79.7502,33.7482
2433001,1,4,6.26,79.8492,33.9853
2436328,1,4,9.60,79.8911,35.5889
2437302,1,4,13.58,80.0718,35.7953
2437320,1,4,4.96,80.0341,35.7859
2505046,1,4,4.69,80.0038,33.9580
2507547,1,4,6.48,80.0031,32.7854
2508013,1,4,9.64,80.0466,32.5644
2510152,1,4,8.36,80.0724,31.4802
2515421,1,4,15.63,80.1601,30.8059
2593217,1,4,10.81,80.1317,32.6039
2594287,1,4,9.49,80.2254,33.0860
2595273,1,4,11.32,80.1347,33.5257
2595960,1,4,14.02,80.2504,33.8608
2596803,1,4,5.85,80.2081,34.2675
2597097,1,4,13.66,80.2601,34.4169
2603937,1,4,9.73,80.2662,34.2223
2676497,1,4,8.87,80.3407,33.3854
2678500,1,4,11.34,80.2743,32.4302
2685481,1,4,10.22,80.4984,30.9487
2686265,1,4,7.53,80.5386,31.3730
2776401,1,4,10.02,80.6064,34.5831
2776520,1,4,9.56,80.5922,34.5243
2778003,1,4,8.01,80.6096,33.8598
2778144,1,4,9.59,80.5808,33.8001
2778177,1,4,9.87,80.5825,33.7862
2778803,1,4,8.79,80.6221,33.5140
2778879,1,4,12.04,80.6431,33.4891
2778931,1,4,11.43,80.5768,33.4725
2779013,1,4,10.08,80.6833,33.4407
2779166,1,4,12.50,80.6541,33.3870
2779211,1,4,9.63,80.6653,33.3717
2779347,1,4,8.96,80.6671,33.3193
2846517,1,4,11.05,80.6094,31.3034
2854318,1,4,10.67,80.7866,32.5245
2855970,1,4,10.60,80.8035,33.3153
2856124,1,4,12.28,80.7413,33.3687
2856176,1,4,11.35,80.7176,33.3843
2856211,1,4,11.91,80.7238,33.3921
2856355,1,4,9.30,80.6938,33.4196
2856436,1,4,12.35,80.7397,33.4334
2856498,1,4,11.14,80.6865,33.4435
2856528,1,4,11.08,80.7065,33.4479
2856912,1,4,10.98,80.7594,33.5270
2857009,1,4,10.48,80.8098,33.5641
2934856,1,4,10.44,80.7481,34.6625
2938831,1,4,10.41,82.0512,35.4311
2940839,1,4,8.14,81.9683,34.7828
2941914,1,4,10.66,82.0255,34.4561
2942142,1,4,9.52,82.0296,34.4239
2942298,1,4,9.70,82.0349,34.3959
2944024,1,4,5.94,82.0041,33.7624
2944381,1,4,9.78,81.9600,33.6233
2945216,1,4,10.15,82.0400,33.3131
3030849,1,4,9.84,82.1423,31.7232
3032519,1,4,4.88,82.2204,32.4774
3033448,1,4,8.00,82.1470,32.8657
3033649,1,4,11.09,82.1773,32.9441
3034524,1,4,16.51,82.1420,33.3060
3093327,1,4,10.56,82.1254,34.3358
3095329,1,4,5.72,82.1101,34.6974
3097389,1,4,9.10,82.1773,35.0137
3211507,1,4,9.96,82.2891,32.5597
3224605,1,4,11.99,82.3849,33.2468
3308690,1,4,8.33,82.4663,34.0462
3311237,1,4,5.97,82.4319,35.1086
3311476,1,4,9.54,82.4964,35.2027
3311515,1,4,10.29,82.4440,35.2172
3311888,1,4,6.89,82.4277,35.3750
3316641,1,4,9.38,82.6357,34.5931
3364732,1,4,13.14,82.5603,31.1817
3365218,1,4,8.12,82.5876,30.9294
3370567,1,4,5.33,82.6498,31.5110
3457576,1,4,16.30,82.7076,35.9124
3461758,1,4,11.23,82.8628,34.2471
3462120,1,4,10.89,82.8596,34.1861
3465772,1,4,11.75,82.8303,32.6143
3542277,1,4,8.27,82.8391,31.9480
3572791,1,4,7.55,82.9397,34.8819
3572937,1,4,8.82,83.0471,34.9401
3574292,1,4,8.12,82.9307,35.4912
8254416,2,3,13.57,65.3411,57.8295
8254591,2,3,8.38,65.3880,57.7451
8256894,2,3,5.76,65.2649,56.7122
8257576,2,3,12.35,65.2072,56.4004
8295096,2,3,7.51,65.2628,55.5312
8296034,2,3,8.75,65.3210,55.1880
8300246,2,3,11.07,65.5270,54.4485
8300380,2,3,9.10,65.5036,54.5120
8304956,2,3,5.81,65.4657,56.5064
8400842,2,3,9.44,65.4696,57.8172
8405211,2,3,6.10,65.7419,59.6159
8408445,2,3,16.36,65.8067,57.7559
8408507,2,3,14.40,65.6808,57.7299
8410246,2,3,10.74,65.6493,56.8954
8485155,2,3,9.09,65.8135,55.9476
8485272,2,3,9.19,65.7237,55.8985
8565328,2,3,8.66,65.9242,58.4927
8567241,2,3,13.33,65.8338,59.6360
8567816,2,3,17.21,66.1346,59.8793
