#
# Full target list for orbit 127, sector 60
# Created Fri Dec  2 10:48:58 EST 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
4076535,1,4,8.18,114.1300,35.4236
4077588,1,4,8.06,114.1496,33.2029
4077772,1,4,7.44,114.0582,32.8354
4132133,1,4,8.06,114.2070,31.2411
4132769,1,4,13.71,114.2925,32.5843
4134996,1,4,13.16,114.3903,34.2580
4136259,1,4,7.86,114.3796,31.6136
4161582,1,4,13.84,114.4844,31.2795
4162799,1,4,7.87,114.5411,33.7074
4163109,1,4,9.66,114.5830,34.4504
4164118,1,4,4.79,114.6372,35.0487
4164713,1,4,7.61,114.6257,33.7117
4164940,1,4,5.75,114.5864,33.1866
4165850,1,4,10.19,114.6394,31.3945
4194999,1,4,4.49,114.7911,34.5836
4196732,1,4,9.81,114.8981,33.4615
4196781,1,4,9.04,114.9160,33.3772
4197458,1,4,5.80,114.9752,32.0094
4197629,1,4,10.71,114.9877,31.6562
4197800,1,4,11.48,114.9829,31.3044
4247397,1,4,8.20,115.3273,30.5554
4247738,1,4,14.54,115.3283,31.2428
4248151,1,4,8.97,115.3542,32.0761
4248278,1,4,14.19,115.3909,32.3273
4248829,1,4,9.13,115.3834,33.4084
4282896,1,4,8.39,115.5201,35.7274
4284744,1,4,16.75,115.5555,31.9507
4285916,1,4,5.50,115.5805,30.1678
4286321,1,4,11.91,115.6069,30.9330
4286322,1,4,11.90,115.5991,30.9338
4287299,1,4,8.04,115.6234,32.9171
4287805,1,4,5.61,115.6808,34.0002
4298631,1,4,10.35,115.8039,31.3398
4298978,1,4,12.00,115.7551,30.7303
4299199,1,4,9.66,115.7073,30.3370
4299486,1,4,9.56,115.9521,30.0760
4299830,1,4,11.23,115.9748,30.7477
4300064,1,4,11.04,115.9102,31.1972
4300927,1,4,5.21,115.8741,32.4468
4303048,1,4,8.59,115.8654,34.6983
4303365,1,4,12.04,115.9712,35.0189
4373827,1,4,14.94,116.1464,30.3524
4375457,1,4,8.20,116.1393,33.5652
4376623,1,4,10.88,116.3197,35.8375
4385083,1,4,11.61,116.3212,31.8581
4385494,1,4,11.57,116.3960,30.9743
4386949,1,4,10.15,116.4460,31.5879
4388056,1,4,15.17,116.5139,33.7436
4390067,1,4,16.04,116.5548,33.5521
4429921,1,4,10.49,116.8281,35.2596
4430000,1,4,8.85,116.8782,35.0439
4430718,1,4,3.50,116.8762,33.4155
4431490,1,4,8.22,116.8668,31.7407
4488436,1,4,17.54,117.0493,35.1081
4488446,1,4,10.45,117.0058,35.1364
4488715,1,4,8.81,117.0485,35.7530
4488824,1,4,11.51,117.1354,35.8507
4489078,1,4,11.79,117.1155,35.2277
4491131,1,4,14.25,117.2325,30.7130
4513643,1,4,10.71,117.3933,35.8477
4555425,1,4,8.54,117.5657,33.1995
4555874,1,4,8.22,117.6298,34.2949
4557666,1,4,5.93,117.7597,33.2337
4557781,1,4,8.59,117.8044,32.9800
4559038,1,4,16.49,117.7772,30.2906
4560045,1,4,8.48,117.8443,31.6511
4560428,1,4,8.25,117.8458,32.4835
4604077,1,4,11.21,118.0382,35.6953
4604435,1,4,9.88,118.0286,34.8721
4605387,1,4,10.72,118.0217,32.6651
4605389,1,4,11.82,117.9629,32.6627
4605846,1,4,13.45,118.0600,31.6469
4606456,1,4,8.13,117.9586,30.2463
4621918,1,4,11.13,118.2440,34.5876
4622906,1,4,7.87,118.3075,32.2009
4623151,1,4,9.59,118.2657,31.6281
4624167,1,4,7.63,118.3933,30.5933
4625659,1,4,14.38,118.4921,34.1524
9151337,1,3,10.43,105.0780,37.1989
9152143,1,3,8.61,105.0159,38.4800
9152621,1,3,8.64,105.0948,39.2142
9153664,1,3,8.58,105.0811,41.0136
9154151,1,3,7.31,104.9900,41.8665
9154354,1,1,8.75,116.7890,41.4463
9154935,1,4,14.61,116.7211,39.7529
9155032,1,4,11.90,116.7204,39.5267
9155085,1,4,11.84,116.7811,39.4005
9155094,1,4,11.80,116.7000,39.3851
9155136,1,4,11.60,116.6979,39.2429
9155152,1,4,12.20,116.6912,39.1921
9155187,1,4,11.46,116.7163,39.0944
9155622,1,4,9.10,116.7330,38.0078
9155716,1,4,11.05,116.7365,37.7320
9155792,1,4,3.36,116.6639,37.5175
9167662,1,4,11.98,116.8582,37.9031
9168188,1,4,10.95,116.9245,39.3123
9168199,1,4,11.91,116.8263,39.3336
9168246,1,4,12.48,116.8954,39.4801
9168274,1,4,11.70,116.9160,39.5480
9168335,1,4,11.98,116.9011,39.6888
9168341,1,4,10.71,116.8001,39.7033
9169938,1,4,8.31,116.9584,39.6177
9169960,1,4,13.26,117.0052,39.5688
9170107,1,4,12.01,116.9546,39.1444
9170919,1,4,8.13,116.9536,36.9916
9170973,1,4,12.36,117.0654,36.8635
9171089,1,4,11.87,116.9496,36.6010
9171372,1,4,10.69,117.0031,35.9678
9171711,1,4,8.90,117.1931,36.6702
9226260,1,4,11.85,117.1859,39.1225
9226294,1,4,9.84,117.1981,39.1988
9226443,1,4,9.95,117.1244,39.4316
9229526,1,4,11.24,117.3264,39.5732
9229535,1,4,14.11,117.3769,39.5556
9229666,1,4,10.28,117.3681,39.3869
9229742,1,4,11.80,117.3603,39.2911
9229855,1,4,12.43,117.2833,39.1139
9229953,1,4,11.72,117.3007,38.9714
9233162,1,4,11.23,117.5052,39.0657
9233299,1,4,10.26,117.4301,39.4834
9262364,1,1,11.95,117.5238,41.5440
9264019,1,4,4.81,117.5562,39.7706
9264376,1,4,11.41,117.5897,39.3034
9264408,1,4,12.50,117.6762,39.2690
9264458,1,4,12.79,117.6353,39.1880
9264468,1,4,10.57,117.6166,39.1737
9267120,1,4,11.56,117.8338,36.2143
9267264,1,4,8.37,117.7007,36.4071
9267734,1,4,5.05,117.8139,37.0819
9269257,1,4,10.71,117.7246,39.0078
9269281,1,4,11.04,117.8019,39.0326
9269341,1,4,11.79,117.8350,39.1088
9269597,1,4,11.59,117.7932,39.4873
9269599,1,4,12.04,117.8243,39.4879
9880482,1,4,9.05,110.4361,40.3974
9880496,1,4,14.50,110.4166,40.3805
9880516,1,4,11.23,110.3959,40.3453
9880598,1,4,10.86,110.4472,40.2071
9880604,1,4,11.99,110.3760,40.1997
9880702,1,4,11.22,110.4416,39.9663
9880728,1,4,11.64,110.3829,39.9083
9880749,1,4,10.28,110.3894,39.8577
9881558,1,4,8.71,110.4574,38.1686
9881718,1,4,11.24,110.3512,37.8808
9881823,1,4,5.97,110.3787,37.6621
9882031,1,4,13.78,110.3519,37.2329
9883136,1,4,4.14,110.5101,36.7604
9883270,1,4,8.38,110.6038,36.9863
9884226,1,4,9.93,110.6290,38.9538
9884242,1,4,5.35,110.5558,38.9956
9884725,1,4,11.24,110.6112,40.0623
9884802,1,4,11.45,110.5030,40.2464
9884855,1,4,14.16,110.5757,40.3811
9884868,1,4,11.63,110.5844,40.4165
9906260,1,4,11.46,110.7758,40.4152
9906270,1,4,12.80,110.6905,40.4013
9906351,1,4,11.47,110.7217,40.2344
9906376,1,4,12.73,110.7447,40.1841
9906399,1,4,14.86,110.7676,40.1396
9906417,1,4,14.01,110.6529,40.0969
9906442,1,4,10.88,110.7598,40.0433
9906487,1,4,8.82,110.6919,39.9459
9906910,1,4,8.30,110.6947,38.9717
9907513,1,4,11.96,110.6896,37.6674
9908607,1,4,8.50,110.8411,36.3052
9910206,1,4,12.31,110.8183,39.6382
9910390,1,4,11.60,110.9448,40.0658
9910436,1,4,11.64,110.8835,40.1554
9910537,1,4,11.59,110.8899,40.3414
9910665,1,4,9.59,110.9265,40.6514
9957346,1,4,4.20,111.0352,40.6723
9957519,1,4,11.55,110.9546,40.2634
9957539,1,4,12.28,111.0052,40.2385
9957581,1,4,15.18,110.9760,40.1602
9958131,1,4,15.89,111.0892,38.9418
9958224,1,4,11.95,111.0192,38.7157
9958381,1,4,12.69,111.0783,38.3493
9958382,1,4,12.13,111.0844,38.3480
9958492,1,4,11.76,110.9766,38.1389
9959104,1,4,11.91,110.9603,36.9142
9959127,1,4,11.63,111.0923,36.8715
9961540,1,4,11.87,111.1132,39.9149
9961601,1,4,11.37,111.2340,40.0696
9961603,1,4,9.72,111.1489,40.0759
9963104,1,4,15.75,111.3081,40.2646
9963154,1,4,10.72,111.2998,40.1617
9963207,1,4,11.33,111.2621,40.0350
9963266,1,4,11.01,111.3526,39.9024
9988604,1,4,9.43,111.3223,38.4136
9989136,1,4,8.54,111.2557,37.2312
9991721,1,4,9.60,111.5002,39.9451
9991788,1,4,10.42,111.4780,40.1081
9991797,1,4,11.67,111.5289,40.1389
9991802,1,4,11.63,111.4768,40.1442
9991894,1,4,11.91,111.4453,40.3326
9992733,1,1,8.78,123.2761,41.5611
10022750,1,1,8.01,123.3945,41.4484
10022956,1,1,11.56,123.6391,41.7718
10053348,1,1,8.74,124.2532,41.9387
11490123,2,3,8.31,96.6297,58.7266
11490327,2,3,3.75,96.7036,58.4174
11490384,2,3,11.70,96.7799,58.3353
11490940,2,3,9.96,96.6628,57.4860
11491822,2,3,5.34,96.6074,56.2852
11491838,2,3,11.04,96.6842,56.2647
11492165,2,3,11.60,96.6190,55.8712
11492324,2,3,11.01,96.5944,55.6710
11495864,2,3,11.60,96.7868,56.7693
11495928,2,3,14.19,96.9081,56.8612
11497615,2,3,11.15,96.9836,59.3603
11547232,2,3,14.24,97.0778,58.6721
11548580,2,3,11.54,97.1858,56.6224
11550004,2,3,16.58,97.0546,54.6581
11551291,2,3,7.04,98.0825,54.8528
11552152,2,3,15.82,98.1496,55.9836
11553426,2,3,12.11,98.1536,57.8309
11589529,2,3,12.11,98.1607,58.7295
11592208,2,3,14.25,98.3958,56.9366
11594728,2,3,16.04,99.7335,54.4946
11595883,2,3,12.73,99.7668,56.2312
11638346,2,3,11.99,99.6740,57.8528
11639577,2,3,14.74,100.0441,59.7513
11639769,2,3,12.28,100.0804,59.4109
11640558,2,3,11.94,100.0083,58.0706
11640564,2,3,15.87,100.0004,58.0648
11642505,2,3,8.94,100.0691,54.8149
11642894,1,2,9.37,100.0463,54.2715
11643250,2,3,9.24,100.3650,59.7080
11643607,2,3,11.82,100.3441,59.0092
11667104,2,3,9.72,100.4136,55.1214
11670448,2,3,11.85,100.8988,55.5565
11670502,2,3,5.00,100.7297,55.4742
11671200,2,3,14.71,100.7531,54.4327
11671388,1,2,12.96,100.7536,54.1245
11671395,1,2,7.36,100.8129,54.1128
11671410,1,2,11.83,100.8496,54.0950
11671472,1,2,8.29,100.8240,53.9928
11671758,1,2,16.97,101.0339,54.3242
11672688,2,3,7.91,101.0875,55.8675
11673333,2,3,5.01,101.1029,56.9329
11731963,2,3,11.87,101.0929,57.8771
