#
# Full target list for orbit 129, sector 61
# Created Wed Jan 18 20:49:08 EST 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
686654,2,4,13.27,119.6667,-16.5370
687783,2,4,11.79,119.6240,-15.9040
757030,2,4,12.34,119.7438,-12.5204
758285,2,4,7.97,119.7161,-13.3161
816569,1,3,11.91,134.8322,-1.6303
816793,1,3,15.54,134.8048,-0.9793
816939,1,3,8.04,134.7754,-0.6239
817766,1,3,12.08,134.9458,-1.4591
817776,1,3,12.02,134.8688,-1.4896
817797,1,3,13.13,134.8612,-1.5454
817823,1,3,8.53,134.9238,-1.6121
820148,1,2,8.09,135.0688,-4.9368
821535,1,3,9.45,134.9588,-1.5804
821536,1,3,8.44,134.9649,-1.5773
821838,1,3,11.94,135.0627,-0.9182
823128,2,4,8.23,123.8517,-16.6438
827160,2,4,5.17,123.8897,-13.6243
829147,1,1,8.22,123.7945,-11.9309
859251,1,3,9.08,135.0934,-1.1608
859318,1,3,15.54,135.1817,-1.3350
859348,1,3,10.90,135.1630,-1.4185
859708,1,3,11.81,135.1838,-2.3401
860871,1,2,11.08,135.1408,-5.1915
861705,1,2,11.93,135.2230,-4.8695
862228,1,2,9.85,135.2640,-3.6637
863036,1,3,15.18,135.2303,-1.7180
863069,1,3,9.67,135.2979,-1.6338
863078,1,3,10.36,135.3114,-1.6032
863102,1,3,11.37,135.3030,-1.5485
863145,1,3,10.28,135.2410,-1.4475
863166,1,3,11.28,135.2276,-1.4025
863395,1,3,10.71,135.2073,-0.8893
863860,1,3,8.13,135.5781,-0.1506
864120,1,3,10.55,135.6314,-0.8793
864375,1,3,9.53,135.6188,-1.4815
864384,1,3,11.83,135.6533,-1.5158
864403,1,3,10.04,135.5941,-1.5558
864443,1,3,14.08,135.6640,-1.6548
864521,1,3,12.48,135.6565,-1.8119
864524,1,3,11.62,135.6203,-1.8166
872755,2,2,8.11,130.5393,-28.6816
874892,2,2,8.34,130.4431,-29.9513
877333,2,4,8.18,123.9218,-15.4009
885808,2,3,8.18,127.0842,-16.7207
889317,2,3,11.53,127.0915,-14.9493
889655,2,3,7.83,127.0697,-14.5889
890643,2,3,17.70,127.0517,-13.5670
890962,1,2,8.39,127.0433,-13.2339
891503,1,2,7.97,127.0865,-12.6668
892138,1,2,11.92,135.5647,-4.0926
892149,1,2,13.48,135.5721,-4.1154
893576,1,3,9.37,135.8086,-1.5949
893645,1,3,14.01,135.8171,-1.7521
915142,1,2,8.29,135.8473,-5.9391
916550,1,3,10.91,135.9378,-2.8661
916708,1,3,11.52,136.0061,-2.5052
917236,1,3,11.59,135.9905,-1.3072
918428,1,3,14.66,136.1586,-1.6681
918470,1,3,10.96,136.0523,-1.7995
918475,1,3,15.94,136.0666,-1.8083
918524,1,3,10.74,136.1061,-1.9031
918893,1,3,15.71,136.0557,-2.8757
919245,1,2,8.19,136.0754,-3.7485
920454,1,2,10.88,136.2649,-5.1939
926898,1,2,16.08,127.1386,-13.1553
927579,2,3,13.12,127.1299,-13.8726
933650,2,3,9.19,130.2140,-16.3482
971691,1,2,9.28,136.2679,-4.1713
