#
# Full target list for orbit 133, sector 63
# Created Wed Mar 22 13:44:10 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1539203,1,4,8.99,166.6965,-13.9457
1539207,1,4,12.58,166.7572,-13.9393
1539225,1,4,11.00,166.7833,-13.9194
1539255,1,4,11.69,166.7829,-13.8821
1539268,1,4,13.85,166.6879,-13.8742
1539292,1,4,11.45,166.7271,-13.8294
1541682,1,4,14.69,169.6082,-14.8065
1541697,1,4,15.76,169.6115,-14.8767
1541741,1,4,15.75,169.5815,-15.0340
1541746,1,4,9.87,169.5585,-15.0488
1541768,1,4,11.95,169.5369,-15.0908
1541770,1,4,11.19,169.6102,-15.1011
1541824,1,4,15.77,169.5819,-15.2960
1542611,1,1,9.04,169.5510,-17.9724
1587678,1,4,12.47,169.7449,-15.3826
1587739,1,4,14.24,169.7464,-15.1136
1587758,1,4,12.99,169.6656,-15.0234
1587766,1,4,11.52,169.7191,-14.9977
1587779,1,4,13.12,169.6929,-14.9442
1587780,1,4,14.40,169.7537,-14.9384
1587786,1,4,14.40,169.7078,-14.9234
1588469,1,4,8.11,169.6709,-12.4473
1588852,1,4,8.76,170.7327,-12.7817
1589571,1,4,12.26,170.7491,-15.3565
1589573,1,4,12.46,170.7531,-15.3603
1589575,1,4,11.48,170.6585,-15.3668
1589605,1,4,15.98,170.6847,-15.4722
1589640,1,4,12.00,170.7289,-15.6204
1589648,1,4,15.47,170.7087,-15.6504
1591424,1,4,11.32,170.8872,-15.9174
1591432,1,4,11.72,170.8796,-15.8944
1591498,1,4,14.45,170.8802,-15.7569
1591557,1,4,15.45,170.8542,-15.6581
1591565,1,4,11.61,170.8869,-15.6429
1591587,1,4,11.18,170.8921,-15.6104
1591670,1,4,12.84,170.8729,-15.4736
1595409,1,4,8.17,170.9517,-13.5763
1596649,1,4,16.68,170.9309,-14.9316
1597397,1,4,11.70,170.9301,-15.6865
1597580,1,4,15.36,170.9469,-15.8783
1628071,1,3,3.99,188.0148,-16.1964
1628320,1,3,8.45,188.0407,-15.2713
1628988,1,3,16.88,188.0612,-13.2047
1629601,1,3,8.23,188.1876,-12.7849
1629931,1,3,5.39,188.1490,-13.8595
1630050,1,3,8.74,188.2392,-14.2453
1630433,1,3,13.36,188.1840,-15.5164
1630438,1,3,9.89,188.1353,-15.5230
1630690,1,3,10.05,188.1919,-16.4387
1650025,1,3,9.40,188.2020,-16.5769
1650234,1,3,7.22,188.1711,-17.2206
1652548,1,3,4.82,188.3926,-12.8299
1653065,1,3,16.34,188.4028,-14.4189
1668722,1,3,7.68,188.4106,-17.7939
5158796,2,1,8.51,142.3542,-41.7823
5471000,2,1,7.79,142.8675,-41.9043
5471796,2,1,11.35,143.0112,-41.6206
5471801,2,1,12.35,143.0173,-41.6154
5531392,1,1,11.01,163.4859,-23.5435
5546608,2,1,4.61,143.0804,-40.6494
5548244,2,1,14.19,143.0677,-41.4701
5576756,1,1,8.07,166.0405,-22.3004
5577274,1,1,8.10,165.9801,-20.7521
5595193,1,1,15.75,166.1962,-18.6206
5596578,1,1,7.50,166.1565,-22.7827
5597639,1,1,12.59,166.2781,-22.2168
5628326,1,3,10.29,178.7798,-18.8670
5628346,1,3,12.38,178.8196,-18.9180
5628396,1,3,11.77,178.8345,-19.0473
5630042,1,2,16.25,178.9281,-23.5659
5630425,1,2,13.34,178.9260,-22.4175
5630507,1,2,6.50,178.9795,-22.1841
5647171,1,3,15.83,178.9043,-19.1067
5647200,1,3,13.61,178.9588,-19.0238
5647236,1,3,12.46,178.9143,-18.9245
5647251,1,3,11.60,178.9381,-18.9108
5647295,1,3,11.64,178.8686,-18.7895
5647296,1,3,13.53,178.9310,-18.7867
5647324,1,3,14.28,178.8867,-18.7168
5647913,1,3,14.96,178.9888,-19.0355
5647921,1,3,13.66,179.0919,-19.0628
5649509,1,2,15.63,179.0627,-23.8627
5713435,1,3,12.60,179.2161,-19.1687
5713445,1,3,15.22,179.2241,-19.1860
5797560,1,3,8.94,187.2755,-22.7289
5797561,1,3,14.96,187.1739,-22.7171
5797645,1,3,11.39,187.1773,-22.5024
5797663,1,3,15.57,187.2345,-22.4319
5816844,1,3,14.71,187.3468,-18.1355
5818164,1,3,10.08,187.3866,-22.1298
5818289,1,3,15.48,187.3532,-22.4839
5819195,1,3,10.98,187.4493,-22.9613
5819364,1,3,9.69,187.4152,-22.5838
5820523,1,3,10.86,187.4208,-19.3431
5850860,2,1,8.11,143.8730,-40.1984
5867270,1,3,11.78,187.5951,-19.4076
5867325,1,3,14.63,187.6044,-19.5914
5868372,1,3,15.31,187.5755,-22.5730
5869755,1,3,8.10,187.6968,-21.6422
5870216,1,3,8.10,187.7616,-20.3143
5877537,1,3,8.71,187.8008,-18.9965
5881491,1,3,8.53,188.1510,-18.3494
5972817,2,1,8.81,144.0753,-41.0419
14614418,1,2,13.39,173.9574,-29.1561
14616122,1,2,8.86,173.8479,-24.5706
14661267,1,2,8.10,174.0382,-29.1778
14661418,1,2,12.48,174.0099,-29.5434
14661617,1,2,8.10,174.1661,-29.8282
14663544,1,2,5.65,174.1898,-24.4393
14664559,1,2,8.76,174.3531,-26.4756
14679411,1,2,9.55,174.2459,-28.8237
14680532,1,2,12.80,174.3712,-28.1619
14683365,1,2,8.42,174.5176,-27.3323
14684028,1,2,14.75,174.6198,-29.1153
14715294,1,2,13.12,174.7522,-29.8421
14715718,1,2,14.34,174.7091,-28.7075
14717198,1,2,5.62,174.7521,-24.7227
14717912,1,2,14.31,174.7926,-25.3488
20318757,2,4,10.21,167.1331,-29.6531
20319492,1,1,5.41,167.1828,-28.0808
20320928,1,1,8.30,167.1091,-24.5347
20322965,1,1,9.48,167.3208,-28.8980
20324098,1,1,7.94,167.3641,-28.2936
20324259,1,1,8.97,167.3948,-27.8524
20324921,1,1,16.96,167.3770,-26.0190
20324932,1,1,8.01,167.3770,-25.9912
20325044,1,1,12.20,167.4501,-25.6276
20325159,1,1,9.62,167.4396,-25.3459
20325431,1,1,8.34,167.3749,-24.6015
20325775,1,1,12.01,167.4723,-24.2492
20326200,1,1,12.95,167.5425,-25.4726
20326244,1,1,12.03,167.4785,-25.5837
20326247,1,1,11.98,167.5870,-25.5900
20326276,1,1,15.65,167.5412,-25.6564
20326643,1,1,8.47,167.4726,-26.6732
20374960,2,4,5.65,167.4944,-29.7942
20375215,2,4,8.84,167.6082,-29.4145
20377837,1,1,12.70,167.7217,-25.4078
20416870,1,1,6.35,168.0069,-26.1371
20417152,1,1,5.63,167.9908,-26.8060
20423655,2,4,5.42,168.0791,-29.7825
20425473,1,1,8.02,168.2021,-25.7886
20427136,1,1,7.00,168.3019,-26.4650
20446899,1,1,10.41,168.4273,-26.4740
20448010,1,1,12.87,168.5918,-24.3582
20488899,1,1,8.08,168.7053,-28.5028
20489905,1,1,4.71,168.6578,-26.0754
20497740,1,1,8.15,168.9423,-29.5574
20498843,1,1,8.01,168.9631,-26.9119
20500188,1,1,8.04,169.1549,-24.4939
20501510,1,1,11.14,169.1533,-27.9605
22324403,1,3,11.89,177.8058,-18.8476
22324477,1,3,12.49,177.7157,-18.7400
22324508,1,3,12.92,177.7428,-18.6910
22325159,1,3,12.20,177.8509,-18.3791
22325163,1,3,10.92,177.9378,-18.3829
22325334,1,3,10.24,177.8805,-18.7269
22325378,1,3,10.49,177.9489,-18.8536
22325439,1,3,11.36,177.9562,-18.9570
22326444,1,2,9.86,177.9468,-20.8951
22326881,1,2,7.14,177.8866,-21.6357
22328132,1,2,9.07,177.8817,-23.8108
22329409,1,3,8.20,178.0835,-19.9710
22329836,1,3,15.92,178.0543,-18.3941
22330121,1,3,11.88,178.0941,-18.5053
22330122,1,3,12.86,178.1864,-18.5058
22330361,1,3,9.12,178.1626,-19.2733
22331205,1,2,8.30,178.1565,-22.1782
22342120,1,3,9.06,178.3333,-18.7669
22342155,1,3,12.72,178.3168,-18.6671
22342204,1,3,14.63,178.2184,-18.4669
22342536,1,3,10.85,178.3541,-18.5636
22342545,1,3,12.65,178.3470,-18.6019
22342576,1,3,10.98,178.3629,-18.7574
22345537,1,3,14.87,178.4761,-18.8414
22345559,1,3,9.89,178.5715,-18.7536
22345566,1,3,10.67,178.5900,-18.7279
22345569,1,3,12.70,178.5778,-18.7203
22345579,1,3,14.00,178.4957,-18.6917
22392622,1,3,12.21,178.6441,-18.7931
22392641,1,3,12.11,178.6280,-18.8682
22392664,1,3,10.95,178.6396,-18.9267
22392665,1,3,11.81,178.6459,-18.9267
22393981,1,2,7.59,178.7006,-23.5501
22394547,1,3,11.67,186.1989,-22.2914
22394712,1,3,8.01,186.2518,-21.6633
22394932,1,3,8.48,186.1903,-20.7981
22395174,1,3,8.19,186.2261,-19.8706
22395591,1,3,8.23,186.2146,-18.2532
22395594,1,3,9.14,186.2262,-18.2572
22442334,1,3,12.06,186.3659,-22.1380
