#
# Full target list for orbit 139, sector 66
# Created Thu May 18 17:06:02 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1461133,1,1,15.49,246.1010,-51.0012
1881185,1,1,11.83,246.0568,-49.3165
2323229,1,1,9.92,246.0518,-49.1287
2743109,1,1,7.98,246.2429,-48.6016
3178733,1,1,9.39,246.2681,-49.7394
3181884,1,1,16.83,246.2414,-50.8946
3591811,1,1,10.02,246.3034,-52.1657
4030832,2,4,9.11,246.1889,-53.4644
4040541,2,4,15.63,246.1913,-53.7366
4471586,1,1,8.52,246.3558,-51.8736
4871550,1,1,8.07,246.3631,-50.6983
5741908,1,1,8.20,246.6448,-48.1253
5746632,1,1,13.51,246.4881,-48.4820
6631253,1,1,9.33,246.6557,-50.7137
7038369,1,1,9.54,246.5881,-51.7990
7475132,2,4,5.87,246.5944,-53.4324
8380346,1,1,8.94,246.7115,-49.6067
9247779,1,1,8.61,246.8911,-48.7608
10536200,2,4,9.66,246.9534,-53.5348
11856757,1,1,11.81,247.1755,-49.4144
12752549,1,1,12.23,247.2452,-48.7349
13173449,1,1,5.85,247.3445,-51.5685
13182985,1,1,8.17,247.3657,-50.0353
16264917,1,1,13.45,247.6431,-49.4142
16674733,1,1,13.13,247.6848,-51.0251
17502788,1,2,8.21,264.5701,-44.9033
17524877,1,1,8.15,247.8232,-53.0805
17528840,1,1,10.19,247.9204,-51.8301
18411626,1,1,8.75,247.9517,-48.6094
19727094,1,1,8.76,248.0732,-50.5420
21046708,1,1,8.20,248.2936,-51.4556
21249978,1,2,7.05,267.5788,-47.2306
21466698,1,3,5.81,267.7154,-42.3305
21467597,1,3,8.21,267.6848,-42.4615
21527567,1,1,5.73,248.3012,-49.5893
21668153,1,2,8.39,267.6530,-47.9261
21702220,1,2,8.76,267.8152,-45.4027
21771787,1,2,8.46,267.7515,-44.3333
21938862,1,1,16.01,248.1816,-48.1604
21997420,1,2,13.21,268.0523,-45.1783
21999706,1,2,5.29,267.9358,-45.6008
22000951,1,2,11.27,268.0680,-45.8395
22001079,1,2,11.11,268.0578,-45.8630
22186226,1,2,10.62,268.1981,-45.0828
22295632,1,3,5.68,268.2203,-41.9978
22306518,1,2,8.07,268.2629,-43.4038
22351385,1,1,11.28,248.4188,-48.9689
22497848,1,2,8.48,268.4522,-46.3901
22579190,1,2,8.59,268.4135,-44.8374
22825907,1,1,8.03,248.4132,-51.2627
22885111,1,2,9.28,268.7138,-47.5588
23211639,1,2,13.72,268.9743,-44.8249
23240296,1,1,8.24,248.3580,-52.5907
23240716,1,1,5.83,248.3997,-53.2005
23257970,1,1,9.89,248.3298,-52.1346
23321922,1,2,7.38,269.0558,-46.7022
23322116,1,2,9.83,269.1100,-46.6667
23406439,1,2,10.23,269.1574,-44.7365
23408630,1,2,3.82,269.1975,-44.3424
23482015,1,2,13.24,269.1552,-43.2172
23712542,1,2,10.10,269.2493,-46.1090
23712557,1,2,10.33,269.2473,-46.1117
23817498,1,2,8.12,269.4196,-46.6978
23826956,1,2,7.80,269.4897,-44.7927
23828604,1,2,8.84,269.4552,-44.4819
23829470,1,2,13.74,269.4424,-44.3226
23932954,1,3,8.55,269.5870,-42.3632
24014740,1,2,8.76,269.5864,-43.8095
24486352,1,2,10.50,269.9750,-45.2895
24486370,1,2,10.97,269.9737,-45.2933
24489849,1,2,12.23,269.9713,-46.0229
24694003,3,4,9.38,35.0376,-76.7862
