#
# Full target list for orbit 141, sector 67
# Created Tue May 30 17:04:35 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
6350754,1,1,11.03,283.3038,-48.3516
6400274,1,1,9.17,283.5208,-51.5160
6402339,1,1,12.80,283.5986,-49.9191
6402381,1,1,6.48,283.6352,-49.8793
6404965,1,1,11.98,283.6649,-47.9945
6406215,1,1,8.16,283.7918,-48.7066
6406550,1,1,7.21,283.6916,-48.9478
6408097,1,1,12.83,283.7379,-50.0550
6408204,1,1,8.64,283.6797,-50.1302
6476331,1,1,11.47,283.9085,-51.9604
6478277,1,1,11.36,283.8963,-50.3920
6521751,1,1,9.03,283.9744,-48.6013
6523078,1,1,9.34,284.1489,-48.1742
6524232,1,1,5.91,284.1334,-48.9925
6525415,1,1,10.67,284.1360,-49.8709
6526871,1,1,8.02,284.1709,-51.0276
6593243,1,1,14.04,284.1440,-53.7965
6594108,1,1,9.90,284.2827,-53.2562
6595696,1,1,9.48,284.3645,-51.8426
6600638,1,1,10.82,284.2285,-48.0442
6663331,1,1,13.29,284.3998,-49.1385
6667908,1,1,10.00,284.4045,-52.8505
6669806,1,1,8.20,284.6724,-53.2787
6670156,1,1,4.91,284.6159,-52.9387
6720642,1,1,8.19,284.7016,-50.8600
6725846,1,1,5.55,284.7208,-48.5059
6725969,1,1,11.70,284.7530,-48.4079
6726422,1,1,11.93,284.6305,-48.0792
6726681,1,1,11.38,284.8385,-47.9467
6726903,1,1,9.51,284.9150,-48.0986
6726940,1,1,9.48,284.7778,-48.1185
6727073,1,1,11.19,284.7855,-48.2157
6727178,1,1,8.94,284.7826,-48.2777
6727179,1,1,11.11,284.8222,-48.2764
6727254,1,1,12.79,284.7827,-48.3352
6727271,1,1,9.91,284.8714,-48.3515
6727696,1,1,11.92,284.7760,-48.6448
6727829,1,1,9.79,284.9094,-48.7269
6728786,1,1,13.33,284.9012,-49.4528
6728857,1,1,8.25,284.8173,-49.5033
6728909,1,1,12.03,284.9176,-49.5433
6728960,1,1,10.45,284.8514,-49.5838
6729067,1,1,12.66,284.9039,-49.6597
6729087,1,1,9.56,284.9319,-49.6719
6729210,1,1,11.46,284.8690,-49.7688
6729237,1,1,12.61,284.9195,-49.7825
6729567,1,1,10.27,284.9156,-50.0344
6730329,1,1,9.22,284.7940,-50.5960
6763669,1,1,11.92,285.1162,-50.6612
6763817,1,1,10.39,285.0912,-50.5436
6764109,1,1,12.65,285.0423,-50.2911
6764171,1,1,10.27,285.1067,-50.2355
6764247,1,1,14.43,284.9820,-50.1713
6764450,1,1,10.86,284.9888,-50.0254
6764458,1,1,11.16,284.9997,-50.0198
6764884,1,1,10.74,285.0917,-49.6870
