#
# Full target list for orbit 145, sector 69
# Created Sat Jul 22 19:41:23 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
2733150,1,3,11.62,356.0834,-12.8547
2733409,1,3,7.57,356.1195,-14.4202
2733520,1,3,9.29,356.0985,-14.9829
2733611,1,3,11.19,356.1305,-15.5198
2733719,1,3,16.10,356.0838,-16.1799
2758565,1,3,12.36,356.2830,-17.4493
2758909,1,3,10.52,356.2392,-15.3973
2759596,1,3,11.24,356.3737,-12.6202
2759628,1,3,10.31,356.3191,-12.7363
2760102,1,3,15.43,356.3614,-15.4774
2760219,1,3,11.44,356.3752,-16.1141
2760232,1,3,11.13,356.3776,-16.1759
2760710,1,3,13.84,356.5272,-16.6916
2761023,1,3,5.98,356.4683,-14.7548
2761472,1,3,12.55,356.5816,-11.9462
2761597,1,3,8.08,356.6461,-12.7586
2762118,1,3,11.34,356.6032,-15.7022
2762148,1,3,12.64,356.6008,-15.9914
2762652,1,3,8.57,356.7810,-17.0995
2763180,1,3,12.16,356.7721,-14.1032
2835763,1,3,11.18,356.7305,-13.0951
2835867,1,3,8.14,356.7174,-12.4371
2835941,1,3,4.84,356.8160,-11.9117
2835989,1,3,12.56,356.8386,-12.3443
2836713,1,3,7.82,356.9005,-15.9811
5611068,1,4,13.22,346.0338,-17.1341
5611236,1,4,11.87,345.9982,-16.2041
5611268,1,4,9.22,346.0547,-16.0374
5632856,1,4,9.05,346.2335,-17.2108
5632933,1,4,12.61,346.1758,-17.6740
5633132,1,4,4.93,346.3033,-17.0795
5633483,1,4,7.71,346.3510,-15.4316
5634788,1,4,12.35,346.3808,-14.5752
5639386,1,4,8.35,346.3880,-15.0640
5639530,1,4,9.68,346.4625,-15.7902
5640278,1,4,12.92,346.5137,-16.4104
5641821,1,4,8.85,346.6601,-14.6044
5642039,1,4,8.75,346.7119,-15.6134
5642268,1,4,8.54,346.6726,-16.6404
5655357,1,4,9.76,346.9162,-16.1185
5655899,1,4,8.22,347.0659,-17.0600
5656272,1,4,11.16,347.0476,-15.4116
5656273,1,4,9.21,347.0822,-15.4101
5676443,1,4,11.77,347.2198,-15.8893
5716512,1,4,6.43,347.4567,-14.5106
5716636,1,4,8.70,347.4758,-15.0412
