#
# Full target list for orbit 147, sector 70
# Created Mon Sep  4 09:44:23 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
2733409,1,1,7.57,356.1195,-14.4202
2733520,1,1,9.29,356.0985,-14.9829
2761023,1,1,5.98,356.4683,-14.7548
2761597,1,1,8.08,356.6461,-12.7586
2763180,1,1,12.16,356.7721,-14.1032
2835867,1,1,8.14,356.7174,-12.4371
2835941,1,1,4.84,356.8160,-11.9118
3804928,2,4,8.03,9.4873,-5.9980
3805444,2,4,9.12,9.5739,-8.8699
3811994,2,4,6.90,10.1026,-7.6573
3816082,2,4,9.62,10.1332,-7.4545
3816118,2,4,6.46,10.1979,-7.2332
3816260,2,4,10.10,10.1351,-6.4810
3816804,2,4,16.84,10.2349,-8.1550
3836541,2,4,9.04,10.3951,-8.4894
3837071,2,4,8.32,10.5484,-6.2468
3837491,2,4,9.08,10.5639,-8.5505
3837495,2,4,9.74,10.5738,-8.5652
3886485,2,4,8.46,10.6569,-6.8647
3888769,2,4,8.47,10.9373,-7.5848
3894294,2,4,17.39,11.2772,-6.1433
3899410,2,4,8.14,11.5675,-6.5662
3899738,2,4,8.17,11.5546,-8.3316
3903969,2,4,7.89,11.6153,-6.6851
3921576,2,4,8.90,11.9334,-7.1541
3921746,2,4,11.64,11.8236,-6.4793
3921749,2,4,10.85,11.8340,-6.4426
3923889,2,4,16.77,12.1662,-8.0096
3958684,2,4,8.53,12.3115,-6.1701
3959220,2,4,8.03,12.4956,-8.0995
4007712,2,4,8.04,13.0482,-6.0009
4382022,1,4,16.44,345.4934,-7.4137
4382318,1,3,12.50,345.6131,-5.8678
4382682,1,4,8.22,345.5467,-7.7247
4382875,1,4,9.85,345.5785,-8.6882
4383421,1,4,8.57,345.5422,-11.3282
4383513,1,4,16.88,345.5984,-11.8031
4384095,1,4,12.02,345.6533,-9.1588
4407775,1,4,9.03,345.7706,-9.5709
4424088,1,4,5.16,346.2913,-7.6938
4424376,1,4,12.76,346.3450,-9.1839
4425752,1,4,8.54,346.3958,-8.0979
4464022,1,4,12.26,346.5928,-9.2015
4464061,1,4,8.95,346.5409,-9.3863
4464307,1,4,8.72,346.5109,-10.3755
4517876,1,4,8.06,347.4542,-7.0900
4519115,1,4,7.71,347.4895,-10.5166
4519150,1,4,12.53,347.5073,-10.6884
4520113,1,4,8.42,347.7921,-9.2066
4552048,1,4,8.75,347.8698,-10.5098
4554994,1,4,11.68,348.2913,-9.3587
4579916,1,4,8.21,348.4076,-11.7494
4580320,1,4,8.03,348.3734,-9.9293
4580595,1,4,8.12,348.4293,-8.7935
4581150,1,4,8.23,348.3767,-6.3258
4581792,1,4,7.83,348.5330,-8.3876
4581907,1,4,7.02,348.5349,-8.9246
4582788,1,4,4.71,348.6673,-10.6890
4600989,1,4,15.55,348.6800,-7.5718
4601217,1,4,15.17,348.6027,-6.5478
4601325,1,4,2.56,348.5809,-6.0503
4601721,1,4,5.30,348.7070,-7.7029
4610441,1,4,3.32,348.9754,-9.0878
4610717,1,4,8.15,348.9791,-10.3680
4610830,1,4,11.50,348.9490,-10.8498
4611407,1,4,7.48,349.1179,-10.2122
4611546,1,4,8.74,349.0846,-9.5425
4611834,1,4,8.23,349.1136,-8.1592
4612049,1,4,8.44,349.1618,-7.0180
4618835,1,4,2.65,349.2121,-7.7266
4619242,1,4,13.02,349.2890,-9.4360
5533976,4,1,11.48,49.1334,18.9433
5534006,4,1,15.76,49.1765,18.8409
5534035,4,1,12.62,49.1210,18.7711
5534040,4,1,14.71,49.1279,18.7560
5534050,4,1,13.81,49.2354,18.7356
5534068,4,1,11.70,49.2317,18.6523
5534074,4,1,11.51,49.1612,18.6315
5534539,4,1,14.26,49.3167,18.6922
5534606,4,1,15.60,49.3217,18.9105
5534650,4,1,12.98,49.3164,19.0493
5534656,4,1,11.88,49.3157,19.0655
5535312,4,1,11.46,49.3636,20.9371
5535791,4,1,8.37,49.3563,22.2830
5536423,4,1,8.50,49.4064,23.8942
5536454,4,1,12.91,49.4087,23.8106
5536869,4,1,7.36,49.4575,22.8319
5549887,4,1,15.72,49.4957,19.0705
5549897,4,1,12.31,49.4770,19.0300
5549898,4,1,12.49,49.4135,19.0283
5549907,4,1,15.12,49.4127,19.0064
5550007,4,1,15.03,49.5024,18.7777
5550070,4,1,9.79,49.4387,18.6164
5550208,4,1,14.36,49.4430,18.2217
5550585,4,1,15.96,49.8554,18.7563
5550659,4,1,11.94,49.8564,18.9763
5550874,4,1,8.02,49.8716,19.7204
5552081,4,1,9.95,49.8777,23.3246
5577525,4,1,15.15,50.1817,23.9356
5578677,4,1,5.76,50.2145,20.5093
5579130,4,1,15.27,50.1564,19.2400
5579179,4,1,10.74,50.2243,19.1125
5579209,4,1,9.29,50.1919,19.0046
5579228,4,1,9.60,50.2179,18.9198
5579232,4,1,14.35,50.2513,18.9046
5579895,4,1,12.25,50.3848,19.1745
5579902,4,1,11.44,50.3467,19.1970
5579910,4,1,14.76,50.3292,19.2132
5611236,1,4,11.87,345.9982,-16.2041
5611268,1,4,9.22,346.0547,-16.0374
5612096,4,1,5.37,50.3070,21.1469
5612334,4,1,14.74,50.3124,21.8595
5615060,3,4,4.88,32.0711,24.8193
5615126,3,4,8.90,32.1381,25.0601
5631575,1,4,8.72,346.0554,-12.7908
5632856,1,4,9.05,346.2335,-17.2108
5633132,1,4,4.93,346.3033,-17.0795
5633483,1,4,7.71,346.3510,-15.4316
5634788,1,4,12.35,346.3808,-14.5752
5640278,1,4,12.92,346.5137,-16.4104
5640851,1,4,9.02,346.5942,-13.6650
5641051,1,4,9.09,346.5766,-12.9626
5641821,1,4,8.85,346.6601,-14.6044
