#
# Full target list for orbit 149, sector 71
# Created Thu Sep 21 14:33:22 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1755406,3,1,11.73,78.6122,32.8009
1827744,3,1,9.78,78.6909,31.6897
1828620,3,1,5.75,78.6642,31.4016
1840666,3,1,4.82,78.8514,32.6877
1942969,3,1,12.82,78.9323,34.0923
1947463,3,1,14.07,78.8831,31.3566
1950736,3,1,10.07,79.0429,30.5849
1950893,3,1,8.16,79.0456,30.6815
2014191,3,1,9.20,79.2534,33.4523
2098201,3,1,8.63,79.1948,30.3793
2102329,3,1,5.49,79.3793,31.8240
2104696,3,1,8.67,79.3848,33.1246
2105589,3,1,7.97,79.3987,33.5935
2149979,3,1,3.42,79.5443,33.3705
2152411,3,1,13.37,79.5144,32.6563
2234692,3,1,12.80,79.6297,33.1462
2234723,3,1,8.19,79.6299,33.1645
2236015,3,1,6.21,79.5789,33.7672
2334539,3,1,9.26,79.8132,34.2432
2334836,3,1,10.92,79.7856,34.0934
2335562,3,1,5.52,79.7502,33.7482
2433001,3,1,6.26,79.8492,33.9853
2505046,3,1,4.69,80.0038,33.9580
2507547,3,1,6.48,80.0031,32.7853
2508013,3,1,9.64,80.0466,32.5644
2512256,3,1,8.62,80.0032,30.5106
2513761,3,1,11.12,80.2258,30.0963
2514016,3,1,8.04,80.2339,30.2241
2515421,3,1,15.63,80.1601,30.8058
2593217,3,1,10.81,80.1317,32.6039
2594287,3,1,9.49,80.2254,33.0860
2595273,3,1,11.32,80.1347,33.5257
2595960,3,1,14.02,80.2504,33.8608
2596803,3,1,5.85,80.2081,34.2675
2603937,3,1,9.73,80.2662,34.2223
2676497,3,1,8.87,80.3407,33.3854
2678500,3,1,11.34,80.2743,32.4302
2685481,3,1,10.22,80.4984,30.9487
2686265,3,1,7.53,80.5386,31.3730
2767741,3,1,15.95,80.4326,33.3658
2778003,3,1,8.01,80.6096,33.8598
2778144,3,1,9.59,80.5808,33.8001
2778177,3,1,9.87,80.5825,33.7862
2778803,3,1,8.79,80.6221,33.5140
2778879,3,1,12.04,80.6431,33.4891
2778931,3,1,11.43,80.5768,33.4725
2779013,3,1,10.08,80.6833,33.4407
2779166,3,1,12.50,80.6541,33.3870
2779211,3,1,9.63,80.6653,33.3717
2779347,3,1,8.96,80.6671,33.3193
2848024,3,1,10.95,80.5862,30.5188
2852657,3,1,8.69,80.7495,31.6597
2854318,3,1,10.67,80.7866,32.5245
2855970,3,1,10.60,80.8035,33.3153
2856124,3,1,12.28,80.7413,33.3687
2856176,3,1,11.35,80.7176,33.3843
2856211,3,1,11.91,80.7238,33.3921
2856355,3,1,9.30,80.6938,33.4196
2856436,3,1,12.35,80.7397,33.4334
2856498,3,1,11.14,80.6865,33.4435
2856528,3,1,11.08,80.7065,33.4479
2856912,3,1,10.98,80.7594,33.5270
2857009,3,1,10.48,80.8098,33.5641
2941914,3,1,10.66,82.0255,34.4561
2942142,3,1,9.52,82.0296,34.4239
2942298,3,1,9.70,82.0349,34.3959
2944024,3,1,5.94,82.0041,33.7623
2944381,3,1,9.78,81.9600,33.6233
2945216,3,1,10.15,82.0400,33.3131
3025237,3,1,13.63,81.9786,30.8158
3027250,3,1,8.43,82.1032,30.0205
3027456,3,1,9.44,82.1778,30.1216
3027681,3,1,13.30,82.2151,30.2275
3030327,3,1,18.36,82.2317,31.4898
3030849,3,1,9.84,82.1423,31.7232
3032519,3,1,4.88,82.2204,32.4774
3033448,3,1,8.00,82.1470,32.8657
3033649,3,1,11.09,82.1773,32.9441
3034524,3,1,16.51,82.1420,33.3060
3093327,3,1,10.56,82.1254,34.3358
3211507,3,1,9.96,82.2891,32.5597
3224605,3,1,11.99,82.3849,33.2468
3308218,3,1,16.83,82.3992,33.8532
3308690,3,1,8.33,82.4663,34.0462
3364732,3,1,13.14,82.5603,31.1817
3365218,3,1,8.12,82.5876,30.9294
3370567,3,1,5.33,82.6498,31.5110
3461758,3,1,11.23,82.8628,34.2471
3462120,3,1,10.89,82.8596,34.1861
3465772,3,1,11.75,82.8303,32.6143
3542277,3,1,8.27,82.8391,31.9480
3544794,3,1,10.63,82.8588,30.6989
3546077,3,1,8.12,82.9007,30.0330
3547397,3,1,14.85,82.9963,30.4458
3576220,4,4,5.99,126.6961,26.9355
3576222,4,4,6.10,126.6951,26.9344
3576767,4,4,8.80,126.8087,25.1568
3644468,4,4,8.02,127.0760,26.1987
3645125,4,4,11.91,127.0044,24.1588
3645269,4,4,5.82,127.1531,24.1446
3645653,4,4,14.34,127.1538,25.3342
3662563,4,4,8.13,127.2994,28.5802
3664898,4,4,10.50,127.4474,26.7720
