#
# Full target list for orbit 151, sector 72
# Created Mon Oct 16 10:34:57 EDT 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
990206,4,2,8.15,165.2954,-1.0503
991159,4,3,8.83,165.4193,-3.8141
991162,4,3,11.04,165.4490,-3.8308
991164,4,3,12.47,165.4477,-3.8331
991806,4,3,9.78,165.5969,-5.0505
992137,4,3,5.99,165.6532,-3.5127
992800,4,2,7.06,165.6382,-0.0935
1008153,4,2,5.87,165.8105,-0.7531
1008254,4,2,9.40,165.8249,-0.2893
1008348,4,2,4.93,165.9021,-0.0008
1008352,4,2,7.30,166.0061,-0.0311
1008931,4,3,5.15,165.9091,-3.2043
1009252,4,3,8.75,165.9143,-4.7903
1711128,4,2,8.64,155.7606,-0.3557
1713395,4,2,8.67,155.8943,-1.1493
1713457,4,2,5.64,155.8686,-0.9025
1730647,4,2,15.46,156.0749,-3.1772
1732081,4,2,8.03,156.1471,-2.6203
1732730,4,2,7.55,156.2128,-0.4020
1732827,4,2,10.08,156.2429,-0.8630
3370567,1,3,5.33,82.6498,31.5110
3453531,1,3,9.58,82.7498,34.2589
3461758,1,3,11.23,82.8628,34.2471
3462120,1,3,10.89,82.8596,34.1861
3465772,1,3,11.75,82.8303,32.6143
3542277,1,3,8.27,82.8391,31.9480
3544794,1,3,10.63,82.8588,30.6989
3546077,1,3,8.12,82.9007,30.0330
3547397,1,3,14.85,82.9963,30.4458
3576220,2,2,5.99,126.6961,26.9355
3576222,2,2,6.10,126.6951,26.9344
3644468,2,2,8.02,127.0760,26.1987
3645125,2,2,11.91,127.0044,24.1588
3645269,2,2,5.82,127.1531,24.1446
3645392,2,2,8.38,127.1261,24.5412
3645653,2,2,14.34,127.1538,25.3342
3662563,2,2,8.13,127.2994,28.5802
3664898,2,2,10.50,127.4473,26.7719
3666844,2,2,15.68,127.4987,26.9493
3699722,2,2,5.41,127.8766,24.0808
3714087,2,2,8.31,127.9473,27.1484
3715063,2,2,8.27,128.0737,29.4670
3716738,2,2,5.49,128.2500,24.0845
3717225,2,2,8.21,128.1591,25.5750
3753598,2,2,8.33,128.2864,28.3811
3755225,2,2,8.64,128.4494,24.7790
3797909,2,2,8.14,128.5488,27.4129
3800877,2,2,8.22,128.7992,29.7824
4077772,2,3,7.44,114.0582,32.8354
4132133,2,3,8.06,114.2070,31.2411
4136259,2,3,7.86,114.3796,31.6136
4165850,2,3,10.19,114.6394,31.3945
4197116,2,3,8.45,114.8872,32.6800
4197458,2,3,5.80,114.9752,32.0094
4247397,2,3,8.20,115.3273,30.5554
4247738,2,3,14.54,115.3283,31.2428
4247945,2,3,16.61,115.3320,31.6367
4248151,2,3,8.97,115.3542,32.0761
4284744,2,3,16.75,115.5554,31.9507
4285916,2,3,5.50,115.5805,30.1678
4299199,2,3,9.66,115.7073,30.3370
4299830,2,3,11.23,115.9748,30.7477
4300907,2,3,17.46,115.9693,32.4297
4300927,2,3,5.21,115.8741,32.4468
4426490,2,3,12.16,116.5786,30.7767
4427855,2,3,12.12,116.8088,31.9268
4427861,2,3,8.10,116.7926,31.9365
4431490,2,3,8.22,116.8668,31.7407
4487288,2,3,18.72,117.0362,32.4368
4491044,2,3,8.22,117.1848,30.9098
4491131,2,3,14.25,117.2325,30.7130
4516697,2,3,18.12,117.6181,30.6819
4517368,2,3,8.36,117.6164,32.1019
4559038,2,3,16.49,117.7772,30.2906
4605846,2,3,13.45,118.0600,31.6469
4606456,2,3,8.13,117.9586,30.2463
4622906,2,3,7.87,118.3075,32.2009
4624167,2,3,7.63,118.3935,30.5929
6860644,2,1,9.02,125.3732,14.9862
6890482,2,1,8.28,125.3677,17.6615
6890541,2,1,8.68,125.3017,17.8449
6891620,2,1,13.93,125.4725,15.2344
6892385,2,1,11.21,125.4203,13.4975
6892407,2,1,12.94,125.4474,13.4541
6893274,2,1,17.76,125.5579,12.2438
6893353,2,1,14.96,125.5352,12.4130
6893824,2,1,15.19,125.5496,13.5223
6893917,2,1,9.02,125.6173,13.7353
6894441,2,1,4.81,125.6053,14.9920
6894990,2,1,5.68,125.6327,16.1624
6895319,2,1,15.13,125.5186,17.0664
6895355,2,1,12.42,125.5575,17.1435
6895773,2,1,7.78,125.7010,17.6348
6923159,2,1,8.55,125.7339,12.5304
6923909,2,1,16.13,125.8237,13.1155
6924252,2,1,15.22,125.8275,13.8931
6924729,2,1,14.50,125.7909,15.0443
6925517,2,1,9.01,125.7754,16.8198
6925553,2,1,8.40,125.8033,16.8939
6951150,2,1,13.69,125.9217,12.3431
6951998,2,1,8.23,126.0816,13.5060
6952009,2,1,16.69,126.0288,13.5227
6953165,2,1,17.40,126.1104,16.3625
6953493,2,1,16.75,126.1212,17.3960
6953740,2,1,15.22,126.1375,17.7619
6953932,2,1,6.58,126.1892,17.1809
6992156,2,1,12.39,126.3424,12.2861
6992808,2,1,13.32,126.2564,13.8571
6993275,2,1,10.14,126.3614,15.0348
6994247,2,1,16.89,126.3070,17.6125
6994415,2,1,7.74,126.4783,17.8334
6994727,2,1,5.67,126.4565,17.0453
