#
# Full target list for orbit 153, sector 73
# Created Sun Nov 12 19:12:00 EST 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1750268,1,3,12.08,78.5877,35.8203
1755406,1,3,11.73,78.6122,32.8009
1827744,1,3,9.78,78.6909,31.6897
1828620,1,3,5.75,78.6642,31.4016
1840666,1,3,4.82,78.8514,32.6877
1942416,1,3,7.18,78.9717,34.4223
1942969,1,3,12.82,78.9323,34.0923
1947463,1,3,14.07,78.8831,31.3566
1950736,1,3,10.07,79.0429,30.5849
1950893,1,3,8.16,79.0456,30.6815
2006984,1,3,5.71,79.0756,34.3126
2008765,1,3,8.81,79.0846,35.3941
2014191,1,3,9.20,79.2534,33.4523
2102329,1,3,5.49,79.3793,31.8240
2104696,1,3,8.67,79.3848,33.1246
2105589,1,3,7.97,79.3987,33.5935
2143575,1,3,8.26,79.3461,35.2037
2149979,1,3,3.42,79.5443,33.3705
2152411,1,3,13.37,79.5144,32.6563
2234692,1,3,12.80,79.6297,33.1462
2234723,1,3,8.19,79.6299,33.1645
2236015,1,3,6.21,79.5789,33.7672
2237045,1,3,10.13,79.6296,34.2518
2334539,1,3,9.26,79.8132,34.2432
2334836,1,3,10.92,79.7856,34.0933
2335562,1,3,5.52,79.7502,33.7482
2433001,1,3,6.26,79.8492,33.9853
2436328,1,3,9.60,79.8911,35.5889
2437320,1,3,4.96,80.0341,35.7859
2505046,1,3,4.69,80.0038,33.9580
2507547,1,3,6.48,80.0031,32.7853
2508013,1,3,9.64,80.0466,32.5644
2510152,1,3,8.36,80.0724,31.4802
2515421,1,3,15.63,80.1601,30.8058
2593110,1,3,9.65,80.1431,32.5493
2593217,1,3,10.81,80.1317,32.6039
2594287,1,3,9.49,80.2254,33.0860
2595273,1,3,11.32,80.1347,33.5257
2595960,1,3,14.02,80.2504,33.8608
2596803,1,3,5.85,80.2081,34.2675
2603937,1,3,9.73,80.2662,34.2223
2676497,1,3,8.87,80.3407,33.3854
2678500,1,3,11.34,80.2743,32.4302
2685481,1,3,10.22,80.4984,30.9487
2686265,1,3,7.53,80.5386,31.3730
2767741,1,3,15.95,80.4326,33.3658
2776401,1,3,10.02,80.6064,34.5831
2776520,1,3,9.56,80.5922,34.5243
2778003,1,3,8.01,80.6096,33.8598
2778144,1,3,9.59,80.5808,33.8001
2778177,1,3,9.87,80.5825,33.7862
2778803,1,3,8.79,80.6221,33.5140
2778879,1,3,12.04,80.6431,33.4891
2778931,1,3,11.43,80.5768,33.4725
2779013,1,3,10.08,80.6833,33.4407
2779166,1,3,12.50,80.6541,33.3870
2779211,1,3,9.63,80.6653,33.3717
2779347,1,3,8.96,80.6671,33.3193
2854318,1,3,10.67,80.7866,32.5245
2855970,1,3,10.60,80.8035,33.3153
