#
# Full target list for orbit 155, sector 74
# Created Mon Dec  4 12:13:15 EST 2023 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
7548287,4,2,14.09,272.1770,46.3306
7548817,4,2,12.04,272.2671,45.3369
7578878,4,2,9.79,272.1681,44.6296
7583660,4,2,12.02,272.5377,47.8757
7584049,4,2,8.50,272.5283,47.0887
7584971,4,2,8.09,272.5415,45.2209
7617177,4,2,8.59,272.6429,42.0301
7618785,4,2,5.99,272.7084,44.5982
7619197,4,2,8.08,272.7299,45.3263
7620095,4,2,8.59,272.6742,46.9816
7620479,4,2,9.76,272.7208,47.7797
7620704,4,2,5.81,272.8927,47.6596
7622101,4,2,17.50,272.9312,44.9170
7622763,4,2,8.11,272.9530,43.6974
7675859,4,2,16.30,273.0948,43.3524
7679733,4,2,7.93,273.0207,46.7361
7681574,4,2,12.48,273.2403,47.3362
7686889,4,2,8.10,273.2053,42.6235
7694175,4,2,8.25,273.3483,45.5908
7694184,4,2,15.44,273.3733,45.6046
7694690,4,2,8.64,273.4251,46.4835
7718560,4,2,8.15,274.1082,44.2924
7800921,4,2,9.37,274.8280,43.5051
7802263,4,2,8.13,275.2519,47.7761
7802513,4,2,9.95,275.2494,47.3917
7849727,4,2,10.00,275.4096,42.1686
7850781,4,2,8.56,275.3860,43.4644
7851729,4,2,10.98,275.2582,44.6452
7854182,4,2,9.06,275.5485,47.5691
7854325,4,2,16.16,275.5746,47.3792
7856273,4,2,8.10,275.4568,44.6774
7897892,4,2,14.10,275.6786,43.3441
7900693,4,2,8.83,275.5995,47.0242
7901767,4,2,15.61,275.8743,47.2931
11253352,4,4,15.10,297.8796,28.1870
11365252,4,4,11.70,297.9725,29.8214
11367235,4,4,9.23,298.0815,29.8340
11371347,4,4,11.87,298.0397,29.3928
11498256,4,4,5.61,298.0652,28.2516
11499710,4,4,7.62,298.0193,28.0998
11500106,4,4,9.07,298.0421,28.0607
11978361,4,4,8.04,298.2168,28.3456
11982614,4,4,10.64,298.1946,28.7813
12076316,4,4,13.06,298.3748,28.7108
14399796,1,3,8.40,127.8225,57.9381
