#
# Full target list for orbit 157, sector 75
# Created Tue Jan  2 08:59:17 EST 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
10150706,1,4,7.58,174.7377,41.1428
10150714,1,4,8.40,174.7185,41.0695
10166545,1,4,6.47,175.4435,41.2373
10167479,1,4,5.87,175.9050,41.7224
10777186,4,3,7.62,297.7697,27.7169
10846159,4,3,10.50,303.6444,40.4433
10847282,4,3,14.42,303.6900,40.2574
10849114,4,3,9.19,303.7389,39.9650
10852981,4,3,17.10,303.6757,39.3316
10855755,4,3,9.37,303.6580,38.9248
10861742,4,3,8.38,303.7359,38.1384
10983075,4,3,8.96,303.7291,37.3783
10983289,4,3,6.80,303.6267,37.3538
10987644,4,3,9.61,303.7305,36.8535
10988057,4,3,4.79,303.6340,36.8068
10988549,4,3,5.39,303.6651,36.7521
10989407,4,3,9.59,303.6673,36.6465
10994342,4,3,8.10,303.6210,36.0353
11111668,4,3,9.25,303.8566,36.6247
11111899,4,3,9.70,303.8248,36.6518
11113164,4,3,10.34,303.9089,36.7935
11113493,4,3,9.31,303.8940,36.8318
11114205,4,3,10.82,303.8135,36.9156
11114823,4,3,17.04,303.8114,36.9900
11116617,4,3,16.74,303.9040,37.1897
11117282,4,3,8.72,303.7887,37.2664
11119600,4,3,11.39,303.8232,37.5289
11119800,4,3,11.11,303.7876,37.5515
11210189,4,3,9.45,303.7792,39.5074
11253352,4,3,15.10,297.8796,28.1870
11348006,4,3,17.25,303.9236,40.4280
11365252,4,3,11.70,297.9725,29.8214
11367235,4,3,9.23,298.0815,29.8340
11371347,4,3,11.87,298.0397,29.3928
11469657,4,3,6.30,304.0143,38.8978
11469862,4,3,9.76,304.0581,38.8716
11479883,4,3,9.88,304.0356,37.5564
11480287,4,3,11.03,303.9865,37.5085
11480757,4,3,11.57,303.9830,37.4543
11498256,4,3,5.61,298.0652,28.2516
11499710,4,3,7.62,298.0193,28.0998
11500106,4,3,9.07,298.0421,28.0607
11574526,4,3,16.02,304.0623,36.2412
11586059,4,3,6.50,304.1173,37.0564
11695763,4,3,7.66,304.1308,37.6420
11695776,4,3,9.45,304.1243,37.6431
11695801,4,3,8.63,304.1352,37.6450
11695830,4,3,11.30,304.1211,37.6478
11696039,4,3,10.20,304.1300,37.6673
11696159,4,3,10.62,304.1878,37.6786
11696250,4,3,9.17,304.1530,37.6869
11698190,4,3,9.02,304.1217,37.9225
11701779,4,3,16.83,304.2061,38.3526
11704852,4,3,11.93,304.1124,38.7613
11705892,4,3,8.04,304.1683,38.8993
11793436,4,4,8.50,304.2814,41.9573
11835330,1,4,8.40,176.3044,53.9479
11853722,4,3,15.14,298.1701,27.8547
11890727,1,4,11.80,176.4794,47.9036
11890733,1,4,10.82,176.4363,47.9279
11891052,1,4,9.05,176.4470,49.8643
11893110,1,4,5.42,177.7103,51.4128
11893637,1,4,10.30,177.7249,48.3709
11893837,1,4,8.96,177.9905,53.2507
11894306,1,4,5.94,178.0595,49.9319
11894425,1,4,18.15,178.0657,49.2449
11894893,1,4,8.45,178.2258,49.3958
11915139,4,3,6.63,304.3549,39.5935
11929884,4,3,6.55,304.3448,38.2356
11931839,4,3,9.96,304.3003,38.0786
