#
# Full target list for orbit 159, sector 76
# Created Tue Feb 13 06:10:44 EST 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
4750638,1,4,14.22,189.2302,35.3688
4750718,1,4,12.72,189.3131,35.8222
4750725,1,4,9.09,189.3058,35.7466
5080084,1,4,8.66,190.9090,35.3106
5081800,1,4,8.31,191.2044,35.6430
5083635,1,4,16.67,191.3557,34.5630
9429562,1,3,12.63,182.6357,39.4059
9453959,1,3,17.30,182.8307,41.9321
9454086,1,3,9.05,182.9495,40.8255
9454344,1,3,7.95,182.9717,38.7674
9455056,1,3,8.14,183.1829,39.4036
10166545,1,3,6.47,175.4435,41.2373
10167479,1,3,5.87,175.9050,41.7224
10184905,1,3,9.65,185.8801,36.6447
10185341,1,3,8.28,185.8670,39.7962
10185676,1,3,8.94,186.0614,41.6809
10200471,1,3,5.70,185.9745,40.7196
10201594,1,3,7.46,186.1862,38.3192
10219321,1,3,17.72,186.4359,38.2681
10219457,1,3,4.21,186.4616,39.0184
10220438,1,3,14.90,186.5195,37.9738
10220686,1,3,9.25,186.5435,36.3589
10729459,1,1,6.42,211.9844,48.2107
10747470,1,1,9.73,212.2527,51.0865
10747908,1,1,8.53,212.2999,47.9819
11939686,1,3,9.05,179.2146,48.6453
11941835,1,3,8.85,179.7983,48.0096
17035907,4,3,11.70,308.1086,41.4942
17038893,4,3,6.28,308.2138,41.9015
17040689,4,3,9.80,308.2624,41.5733
17125844,4,3,10.32,308.2465,41.4071
17450377,4,3,8.96,308.4129,41.3239
17451075,4,3,12.40,308.3531,41.3679
17451194,4,3,11.20,308.2937,41.3729
17453934,4,3,10.27,308.3564,41.5574
17456038,4,3,10.93,308.2719,41.7268
17654683,1,4,5.70,192.5440,37.5171
17655028,1,4,8.66,192.5306,39.8932
17656138,1,4,9.02,192.7699,37.3872
17656164,1,4,15.22,192.7561,37.1804
17663753,1,4,14.36,193.2658,40.7115
17663756,1,4,13.92,193.2893,40.7048
