#
# Full target list for orbit 165, sector 79
# Created Wed May  1 01:00:13 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5119786,1,4,8.19,269.4029,16.8813
7548287,2,4,14.09,272.1770,46.3306
7548817,2,4,12.04,272.2671,45.3369
7578878,2,4,9.79,272.1681,44.6296
7583660,2,1,12.02,272.5377,47.8757
7584971,2,4,8.09,272.5415,45.2209
7617177,2,4,8.59,272.6429,42.0301
7618785,2,4,5.99,272.7084,44.5982
7619197,2,4,8.08,272.7299,45.3263
7620704,2,1,5.81,272.8927,47.6596
7622101,2,4,17.50,272.9312,44.9170
7622763,2,4,8.11,272.9530,43.6974
7675859,2,4,16.30,273.0948,43.3524
7679301,2,4,8.67,272.9721,46.3102
7681574,2,1,12.48,273.2403,47.3362
7686889,2,4,8.10,273.2053,42.6235
7694184,2,4,15.44,273.3733,45.6046
7718560,2,4,8.15,274.1082,44.2924
7800921,2,4,9.37,274.8280,43.5051
7802263,2,1,8.13,275.2519,47.7761
7802513,2,1,9.95,275.2494,47.3917
7849727,2,4,10.00,275.4096,42.1686
7851729,2,4,10.98,275.2582,44.6452
7854182,2,1,9.06,275.5485,47.5691
7854325,2,1,16.16,275.5746,47.3792
7856273,2,4,8.10,275.4568,44.6774
7857074,2,4,8.13,275.4305,43.5883
7897892,2,4,14.10,275.6786,43.3441
7900693,2,1,8.83,275.5995,47.0242
7901767,2,1,15.61,275.8743,47.2931
8309970,1,2,9.60,245.1136,33.5421
8347068,1,2,5.68,245.1457,34.6276
8347074,1,2,15.82,245.2156,34.6376
8347908,1,2,8.08,245.3131,34.6360
8348911,1,2,13.50,245.2802,31.5771
8395677,1,2,4.03,245.5235,30.8927
8395801,1,2,9.14,245.4833,31.2087
8396093,1,2,8.25,245.4197,32.0483
8396828,1,2,18.14,245.5519,34.1962
8398131,1,2,3.42,245.5893,33.7988
8398137,1,2,12.00,245.5692,33.7897
8398178,1,2,3.94,245.6217,33.7038
8399874,1,2,5.30,245.7712,30.8502
8412225,1,2,6.34,245.7356,32.3330
8413490,1,2,17.63,245.8729,35.9076
8444713,1,2,10.28,246.1577,34.9567
8445177,1,2,16.77,246.1825,33.6399
8445641,1,2,15.79,246.2042,32.2838
8445665,1,2,16.74,246.1540,32.2141
8448962,1,2,16.96,246.4926,35.1766
8481418,1,2,8.37,246.4515,30.2646
8484425,1,2,8.44,246.7619,34.0021
8484602,1,2,9.93,246.7555,33.4751
8499834,1,2,8.29,246.8346,32.3525
8502091,1,2,8.24,246.9765,33.1966
8502290,1,2,5.94,246.9903,32.6994
8542957,1,2,8.68,247.1238,30.6248
8544602,1,2,8.75,247.1776,35.1072
8578224,1,2,8.37,247.6297,32.7406
8578906,1,2,16.18,247.5842,30.8820
8579668,1,2,6.64,247.7298,30.9409
8589330,1,2,4.65,247.7615,35.2250
8591994,1,2,8.64,247.9978,30.2763
8592033,1,2,9.99,248.0230,30.3859
8592244,1,2,9.29,247.9601,31.0160
8592642,1,2,9.38,247.9412,32.1288
8593371,1,2,8.30,248.0373,34.2990
8623751,1,2,7.52,248.3022,30.9076
8624617,1,2,11.35,248.2818,33.5237
8625175,1,2,7.54,248.2196,35.0749
8669451,1,2,8.95,248.4115,32.0122
8669966,1,2,6.65,248.3710,30.4990
8670333,1,2,12.91,248.5502,30.2618
8670969,1,2,8.41,248.6007,32.0191
8671649,1,2,16.84,248.5226,33.8461
8673277,1,2,7.44,248.7585,33.2130
8674013,1,2,8.02,248.7779,31.0830
9462784,1,2,8.69,258.2215,30.5691
9464138,1,2,13.16,258.2341,33.5219
9470954,1,2,17.00,258.2284,35.9875
9471805,1,2,17.00,258.3758,33.9284
9473243,1,2,10.56,258.3974,30.7100
9530168,1,2,8.34,258.7974,34.1743
9531173,1,2,9.99,258.9254,35.4182
9531502,1,2,5.73,258.9086,34.7075
9531654,1,2,15.19,258.9179,34.3822
9596048,1,1,8.02,259.4791,30.5593
9621911,1,1,16.86,259.4486,30.4401
9701368,1,1,13.20,259.9791,31.5148
9702632,1,1,8.97,259.8706,33.9964
9728611,1,1,4.79,260.1660,32.4607
9732569,1,1,8.22,260.3884,31.8607
9732882,1,1,6.40,260.3111,31.2570
9733952,1,1,8.24,260.4918,30.4453
9779230,1,1,7.72,260.5209,31.9878
9781213,1,1,7.07,260.4114,35.8240
9781916,1,1,8.45,260.6315,34.6192
9783192,1,1,17.07,260.6437,32.2107
9783922,1,1,15.74,260.6664,30.8813
9822067,1,1,7.87,260.7614,33.7988
9824479,1,1,8.63,260.9385,33.4522
9825731,1,1,11.14,260.9332,31.2986
9827580,1,1,16.16,261.0493,31.6464
9828416,1,1,9.82,261.0964,33.2051
9879140,1,1,9.37,261.0602,34.5724
9879461,1,1,9.12,260.9683,35.2058
10267251,1,1,18.21,267.0242,34.0670
10267410,1,1,7.63,267.0841,33.8000
10290020,1,1,8.36,267.3506,33.1379
10357755,1,1,8.16,267.4708,34.3003
10359164,1,1,7.80,267.5965,35.4375
10359202,1,1,8.03,267.6375,35.3904
10363182,1,1,8.58,267.6348,29.9672
10363353,1,1,5.77,267.7230,30.0951
10393493,1,1,12.11,267.7361,33.5458
10467747,1,1,10.10,268.0396,32.1299
10473978,1,1,8.05,268.1661,31.3841
10474531,1,1,5.51,268.1198,30.7427
10491567,1,1,8.10,268.3358,34.2473
10492169,1,1,18.71,268.3459,35.2009
10492491,2,4,5.97,268.3827,35.6723
10494697,1,1,14.01,268.4670,33.1065
10583539,1,1,10.00,268.5995,32.8805
10588679,1,1,9.62,268.7445,31.7884
10792081,4,3,10.02,29.1988,65.7701
11057523,4,3,7.43,29.4028,65.4101
11061881,4,3,8.75,29.6643,65.1438
11333775,4,3,13.21,30.2258,64.9449
11997346,4,3,6.56,31.1671,65.1033
12554500,4,3,8.42,33.4033,65.4264
12555973,4,3,15.01,33.4931,65.8397
12824209,4,3,14.91,33.8315,65.4836
12906503,4,3,15.87,34.4109,65.6830
12906712,4,3,7.02,34.5610,65.5941
18115720,1,1,8.01,264.0849,32.8090
18116966,1,1,5.92,264.1533,30.7851
18120076,1,1,8.20,264.2818,33.7466
18120103,1,1,14.90,264.2838,33.7967
18178866,1,1,8.10,264.2036,35.9680
18178958,1,1,7.04,264.3371,35.7993
18181353,1,1,8.06,264.3456,31.8149
18181831,1,1,9.13,264.4287,31.0471
18184224,1,1,16.04,264.4967,32.3891
18228140,1,1,8.16,264.7083,34.8164
18228230,1,1,16.88,264.7434,34.6761
18229450,1,1,5.77,264.7064,32.7393
18231597,1,1,6.77,264.8164,30.2531
18232709,1,1,5.81,264.7892,31.8861
18269802,1,1,10.71,264.8357,35.7028
18271803,1,1,9.54,264.9034,32.9465
18272971,1,1,4.34,264.9896,31.2025
18316986,1,1,5.38,265.1711,31.2870
18318288,1,1,12.41,265.3701,30.3038
18319090,1,1,11.02,265.3386,31.4153
18319134,1,1,8.46,265.4408,31.4896
18380422,1,1,8.91,265.5225,35.3618
18381347,1,1,8.04,265.5264,33.8896
18385743,1,1,8.21,265.7131,32.2744
18430150,1,1,8.28,265.7482,30.3568
18433724,1,1,11.55,265.9725,31.5300
18470221,1,1,16.98,266.0537,35.5473
18475181,1,1,7.64,266.2115,31.1319
18532769,1,1,5.66,266.2071,35.2178
18534050,1,1,8.24,266.4103,34.5976
18534775,1,1,11.17,266.3003,33.4526
18536157,1,1,6.21,266.4177,31.5047
18562771,1,1,8.33,266.6588,35.2801
18564991,1,1,8.80,266.6135,32.2475
18631875,1,1,8.30,266.7638,33.6378
18633335,2,4,8.27,266.7504,35.7028
18634735,1,1,6.75,266.9669,34.2778
18636142,1,1,10.64,266.8689,32.3574
18637438,1,1,8.21,266.9780,30.7216
18637750,1,1,5.46,266.9536,30.3532
21015661,2,1,8.63,272.7471,50.6326
21028309,2,1,8.32,272.9794,49.9203
21028503,2,1,12.42,272.9995,49.6206
21030338,2,1,9.37,273.1858,49.5904
21032363,2,1,8.16,273.1811,53.5575
21032446,2,1,8.76,273.2810,53.7011
21101556,2,1,11.39,274.4220,52.5722
21121180,2,1,7.22,274.7485,48.5715
21122035,2,1,8.24,274.7628,49.9686
21126323,2,1,10.99,274.9242,50.1773
21126741,2,1,9.82,274.8312,49.4382
21126758,2,1,11.06,274.8384,49.4213
21148816,2,1,5.37,274.9832,51.3475
21149394,2,1,15.93,275.1305,51.7547
21162252,2,1,6.24,275.9502,53.3008
21187072,2,1,16.34,276.5251,48.4869
21189253,2,1,9.84,276.4632,52.0533
21226105,2,1,11.17,276.8166,50.0236
21227177,2,1,8.12,276.8694,51.7237
21279791,2,1,12.48,277.2918,48.0599
21279930,2,1,9.97,277.2255,48.2124
21280719,2,1,9.78,277.2982,49.4087
21625347,1,2,8.23,255.2290,35.4714
21633216,1,2,12.80,255.2598,30.2954
21633235,1,2,15.12,255.2836,30.2594
21633694,1,2,8.66,255.4826,30.5628
21634379,1,2,8.18,255.3883,32.0399
21635088,1,2,5.29,255.4015,33.5683
21664200,1,2,17.33,255.5554,32.4982
21665479,1,2,5.45,255.5715,31.8842
21680594,1,2,12.42,255.7331,34.7834
21682866,1,2,13.06,255.8389,35.8138
21683403,1,2,3.72,255.8761,35.4138
21684788,1,2,5.64,255.8591,34.3835
21687917,1,2,17.11,255.8504,32.1648
21720215,1,2,9.91,256.0541,31.5653
21721790,1,2,5.92,255.9727,34.7902
21723735,1,2,8.48,256.1088,33.0433
21742552,1,2,15.82,256.3133,35.4718
21744120,1,2,11.73,256.3463,33.0122
21744559,1,2,8.17,256.3650,32.0960
21744632,1,2,12.07,256.3551,31.9703
21744691,1,2,16.50,256.4462,31.8360
21745087,1,2,8.15,256.4249,31.1192
21830119,1,2,8.01,256.7664,33.9071
21830973,1,2,8.64,256.8668,35.7737
21831056,1,2,5.09,257.0084,35.9351
21831633,1,2,8.09,256.9211,34.6872
21832928,1,2,6.68,256.9813,32.1052
21833365,1,2,5.38,257.0029,31.2061
21834095,1,2,16.20,257.0945,30.0267
21856856,1,2,8.05,257.1493,31.5509
21858579,1,2,12.44,257.1586,35.0007
21858586,1,2,5.79,257.1316,35.0346
21858882,1,2,15.29,257.0504,35.6503
21860382,1,2,16.01,257.2169,33.2152
21860383,1,2,8.12,257.2052,33.2143
21897561,1,2,6.73,257.3924,33.3544
21959965,1,2,8.03,257.8687,32.9373
21961030,1,2,7.67,257.8005,30.9566
21981925,1,2,8.16,258.0820,35.3822
22040779,1,1,8.51,269.1994,35.0155
22042352,1,1,16.87,269.2061,32.7184
22110165,1,1,8.23,269.2265,31.5175
22113313,1,1,10.43,269.2633,32.2747
22114516,1,1,5.62,269.3507,33.7927
22116905,1,1,17.77,269.4704,34.7131
22127552,1,1,3.92,269.6256,30.1893
22129510,1,1,6.23,269.5206,32.6479
22129580,1,1,14.42,269.6456,32.7504
22200486,1,1,8.37,269.7231,33.3470
22202863,1,1,8.94,269.7123,30.3586
22203201,1,1,11.43,269.7323,29.9005
22206706,1,1,9.68,269.9190,34.5642
22207742,2,4,15.96,270.0554,35.7581
22226183,1,1,16.52,270.0464,32.8703
22227239,1,1,15.52,270.0303,31.5770
22231411,1,1,4.51,270.1515,33.2135
22233480,2,4,11.27,270.3173,35.5935
22309875,1,1,8.01,270.2473,31.7439
22315801,1,1,9.40,270.6092,30.0498
22333688,1,1,12.01,270.6342,30.4497
22333801,1,1,6.18,270.6442,30.5561
22336061,1,1,8.29,270.7449,33.3800
22338057,2,4,9.62,271.2331,35.8157
22340016,1,1,7.13,271.2185,33.2710
22415754,1,1,4.74,271.4569,32.2305
22479118,2,4,5.10,271.7977,34.8252
22513851,1,1,11.12,271.7950,33.6252
22514683,1,1,8.70,271.8211,32.5815
22516402,1,1,4.56,271.7558,30.5625
22517713,1,1,8.13,271.9904,30.6523
22518578,1,1,8.34,272.0111,31.5079
39200298,1,1,5.87,261.1636,32.6705
39200363,1,1,10.86,261.2438,32.7986
39201666,1,1,8.73,261.2067,35.4578
39264787,1,1,9.19,261.3587,32.7507
39265477,1,1,8.10,261.2696,31.5535
39268137,1,1,9.02,261.4293,32.9773
39301355,1,1,16.96,261.5670,31.2033
39302649,1,1,8.36,261.7791,30.8626
39302840,1,1,6.70,261.6916,31.2184
39302993,1,1,8.93,261.8089,31.5042
39303998,1,1,8.39,261.7649,33.2312
39304744,1,1,5.97,261.6920,34.6961
39305998,1,1,8.15,261.8168,34.6304
39306912,1,1,15.42,261.8365,32.8190
