#
# Full target list for orbit 167, sector 80
# Created Sat May 25 15:44:54 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1217789,1,3,10.08,273.4828,-4.9828
1223566,1,3,12.49,273.4696,-4.4383
1296034,1,2,9.02,273.4915,-3.6540
1299270,1,2,9.29,273.4702,-2.6718
1303740,1,2,8.95,273.4685,-1.4392
1304814,1,2,10.53,273.5279,-1.1492
1378892,1,2,9.15,273.6129,-2.6256
1506919,1,3,7.89,273.6244,-5.5758
1601487,1,3,9.94,273.6880,-4.8627
1603996,1,3,9.02,273.6953,-4.6837
1615151,1,2,5.01,273.6530,-2.6027
1706750,1,2,12.45,273.7735,-0.3182
1782344,1,2,12.62,273.7798,-2.7804
1895022,1,3,10.24,273.7913,-5.3957
1899921,1,3,10.02,273.9384,-5.8001
1900601,1,3,10.55,273.9606,-5.7069
1906469,1,3,10.63,273.9076,-4.8744
1981698,1,2,6.34,273.9914,-3.6180
1987617,1,2,8.75,273.9565,-1.9809
2073028,1,2,9.66,273.9279,-0.0590
2073517,1,2,9.24,273.9047,0.0522
2076088,1,2,10.11,274.0166,-0.4738
2078707,1,2,11.05,274.0587,-1.1054
2180213,1,2,10.22,274.0433,-3.6480
2270606,1,3,8.34,274.1388,-5.3778
2272729,1,3,10.21,274.1555,-5.0727
2382387,1,2,5.19,274.2214,-3.0093
2870276,1,4,15.87,289.6044,-10.4550
2877598,1,4,15.25,289.6646,-8.7965
2885952,1,4,8.08,289.6141,-7.0649
3073982,1,4,7.67,289.7195,-10.8934
3074122,1,4,8.16,289.7462,-10.9300
3197834,1,4,8.13,289.8241,-8.9460
3396651,1,4,5.08,290.0117,-6.6281
3399307,1,4,14.60,289.9925,-7.1820
3409107,1,4,7.86,289.9996,-9.3258
3473481,1,4,11.08,289.9457,-11.4725
3480663,1,4,4.25,290.1029,-10.5604
3564624,1,4,8.33,290.1424,-8.2693
3567346,1,4,12.30,290.1451,-7.6678
3672093,1,4,8.12,290.1914,-5.8901
3680800,1,4,11.03,290.2369,-7.8302
3770318,1,4,6.00,290.2154,-11.3009
4663902,1,3,9.72,278.9228,-9.5902
4665760,1,3,8.44,278.8842,-9.4856
4947157,1,3,9.32,278.8418,-6.7667
5112471,2,3,8.88,269.3759,12.0950
5112924,2,3,9.18,269.4409,12.3640
5113027,2,3,10.71,269.4760,12.4205
5116006,2,3,8.51,269.4554,14.3064
5119786,2,3,8.19,269.4029,16.8813
5204958,2,3,5.45,269.5087,15.4068
5205367,2,3,6.68,269.5289,15.1399
5206639,2,3,15.59,269.5897,14.2900
5208361,2,3,10.98,269.5978,13.1723
5208700,2,3,8.60,269.6034,12.9571
5208751,2,3,10.58,269.5697,12.9204
5209011,2,3,11.25,269.5945,12.7599
5210163,2,3,10.40,269.5547,12.0063
5211713,2,3,9.71,269.7187,12.8571
5262805,2,3,6.69,269.6953,14.8426
5308696,1,3,10.21,278.9886,-9.4724
5312169,1,3,10.53,279.0354,-9.7506
5321354,1,3,9.13,278.9869,-10.5308
5349203,2,3,16.64,269.7857,14.8585
5351818,2,3,9.97,269.7952,13.2063
5352828,2,3,8.87,269.8070,12.5833
5353652,2,3,7.45,269.8270,12.0860
5354720,2,3,10.13,269.9784,12.5128
5355234,2,3,5.84,269.9713,12.8149
5358242,2,3,14.01,269.9412,14.6559
5421862,2,3,3.65,270.0142,16.7508
5433058,1,3,7.87,279.0393,-10.8920
5445064,1,3,10.63,279.0955,-11.7768
5486759,2,3,13.11,270.1978,12.4147
5487089,2,3,12.78,270.1977,12.6079
5494171,2,3,5.28,270.1309,17.1032
5555857,1,3,9.70,279.1904,-11.0580
6063610,1,3,10.26,267.3143,-5.9640
6065062,1,3,13.90,267.3825,-6.4099
6073056,1,3,10.11,267.2740,-8.4503
6074508,1,3,9.44,267.3695,-8.8235
6149523,1,3,10.62,267.3607,-10.3092
6257199,1,3,9.03,267.4225,-10.9417
6258049,1,3,16.61,267.4618,-10.7552
6259211,1,3,8.33,267.4408,-10.4752
6261896,1,3,13.24,267.4269,-9.8875
6336219,1,4,8.23,287.9373,-14.0307
6346165,1,3,8.56,267.5393,-6.1432
6348255,1,3,9.46,267.5548,-6.7080
6348560,1,3,8.06,267.5529,-6.7906
6384843,1,4,9.99,287.8871,-13.7963
6394787,1,4,16.57,287.8734,-11.5780
6455265,1,3,8.69,267.6242,-7.2822
6458241,1,3,10.29,267.5837,-8.0442
6488530,1,4,5.70,287.9795,-14.5845
6488954,1,4,8.95,287.9901,-14.6774
6537737,1,3,9.34,267.6447,-11.7960
6641899,1,3,12.16,267.7181,-9.1200
6642604,1,3,8.53,267.6447,-8.9679
6732131,1,3,9.01,267.7533,-6.8955
6737561,1,3,8.54,267.6416,-6.0512
6746892,1,3,13.44,267.8738,-7.0427
6798785,1,4,4.19,288.3148,-12.2828
6800200,1,4,9.37,288.2208,-12.5829
6808015,1,3,9.76,267.8190,-8.5544
6820829,1,3,8.83,267.8521,-11.1861
7004136,1,3,8.10,267.9294,-7.5043
7070798,1,4,17.40,288.3767,-12.9581
7076583,1,4,8.12,288.5342,-12.0860
7078536,1,4,9.47,288.5657,-12.4994
7159137,1,4,5.73,288.5002,-14.0391
7160677,1,4,8.35,288.5058,-14.3909
7189824,1,3,8.50,268.0040,-9.9783
7203016,1,3,10.55,268.1436,-11.5116
7302777,1,1,9.06,288.1395,-1.5642
7377839,1,3,9.73,268.1818,-7.9531
7377864,1,3,9.19,268.1833,-7.9487
7378003,1,3,7.16,268.2439,-7.9213
7385410,1,3,4.43,268.1612,-6.1436
7386277,1,3,5.66,268.3141,-5.9291
7451311,1,3,12.37,268.3242,-7.7927
7451689,1,3,13.90,268.2561,-7.8840
7456158,1,3,8.26,268.2759,-8.8610
7459864,1,3,11.14,268.2539,-9.6054
7548287,3,4,14.09,272.1770,46.3306
7548817,3,4,12.04,272.2671,45.3369
7563423,1,3,7.39,268.2980,-10.3721
7566222,1,3,5.19,268.2651,-10.8998
7572103,1,3,8.79,268.3491,-11.9458
