#
# Full target list for orbit 171, sector 82
# Created Sun Jul  7 15:01:49 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
10757069,3,1,9.11,303.6667,41.8408
10847282,3,1,14.42,303.6900,40.2574
10849114,3,1,9.19,303.7389,39.9650
10852981,3,1,17.10,303.6757,39.3316
10855755,3,1,9.37,303.6580,38.9248
10861742,3,1,8.38,303.7359,38.1384
10987644,2,2,9.61,303.7305,36.8535
10988057,2,2,4.79,303.6341,36.8068
10988549,2,2,5.39,303.6651,36.7521
10989407,2,2,9.59,303.6673,36.6465
10994342,2,2,8.10,303.6210,36.0353
11111668,2,2,9.25,303.8566,36.6247
11111899,2,2,9.70,303.8248,36.6518
11113164,2,2,10.34,303.9089,36.7935
11113493,2,2,9.31,303.8939,36.8318
11114205,2,2,10.82,303.8135,36.9156
11114823,2,2,17.04,303.8114,36.9900
11116617,2,2,16.74,303.9040,37.1897
11117282,2,2,8.72,303.7887,37.2664
11210189,3,1,9.45,303.7792,39.5074
11345334,3,1,7.91,304.0575,40.9633
11348006,3,1,17.25,303.9236,40.4280
11469657,3,1,6.30,304.0143,38.8978
11469862,3,1,9.76,304.0581,38.8716
11480757,2,2,11.57,303.9830,37.4543
11574526,2,2,16.02,304.0623,36.2412
11586059,2,2,6.50,304.1173,37.0564
11695763,3,1,7.66,304.1308,37.6420
11695776,3,1,9.45,304.1243,37.6431
11695801,3,1,8.63,304.1352,37.6450
11695830,3,1,11.30,304.1211,37.6478
11696039,3,1,10.20,304.1300,37.6673
11696159,3,1,10.62,304.1878,37.6786
11696250,3,1,9.17,304.1530,37.6869
11698190,3,1,9.02,304.1217,37.9225
11705892,3,1,8.04,304.1683,38.8993
11788343,3,1,7.22,304.1481,40.8856
11793436,3,1,8.50,304.2814,41.9573
11798617,3,1,8.07,304.2495,40.8437
11910626,3,1,3.78,304.2304,40.3651
11915139,3,1,6.63,304.3549,39.5935
11929884,3,1,6.55,304.3448,38.2356
12017514,3,1,7.34,304.2453,37.6814
12021634,2,2,7.72,304.2374,37.1902
12029932,2,2,9.28,304.3491,36.1268
12030487,2,2,7.73,304.2936,36.0521
12139534,2,2,9.83,304.3822,36.8688
12143153,2,2,8.51,304.3737,37.3086
12149245,3,1,4.26,304.4466,38.0329
12149788,3,1,10.37,304.3758,38.0990
12149905,3,1,10.84,304.4110,38.1129
12152451,3,1,8.87,304.4981,38.4260
12153830,3,1,8.97,304.4293,38.6028
12249117,3,1,10.56,304.4318,39.3434
12249164,3,1,9.72,304.4258,39.3495
12253230,3,1,8.85,304.4541,40.0315
12259118,3,1,8.96,304.4989,41.1304
12360225,3,1,17.32,304.4590,41.8722
12365967,3,1,6.04,304.5291,40.7320
12370872,3,1,7.56,304.5652,39.8849
12375245,3,1,17.10,304.6525,39.1975
12486276,3,1,8.46,304.6237,38.8776
12489796,3,1,9.38,304.5690,38.6533
12496954,3,1,10.55,304.5379,38.0224
12505193,2,2,5.58,304.6197,36.9999
12525309,2,2,7.62,304.6148,36.2542
12578537,3,1,7.05,304.8404,40.8879
12579743,3,1,8.65,304.8863,40.6538
12580749,3,1,9.07,304.8663,40.4617
12583644,3,1,8.18,304.9022,39.9116
12670497,3,1,8.41,304.8805,39.0573
12671002,3,1,10.35,304.9334,38.9820
12672166,3,1,9.26,304.8791,38.8189
12673083,3,1,16.15,304.9403,38.6948
12673851,3,1,8.36,304.9470,38.5958
12675678,3,1,7.18,304.9549,38.3427
12675729,3,1,8.19,304.9114,38.3358
12683166,2,2,9.56,304.8842,37.2876
12684336,2,2,6.58,304.9514,37.1325
12807599,2,2,9.36,304.9052,36.2171
12810761,2,2,8.36,305.0480,36.1029
12915099,2,2,7.93,305.0372,37.8309
12915124,2,2,11.34,304.9870,37.8353
12915918,2,2,17.81,305.1073,37.9649
12918057,3,1,15.70,305.0423,38.2716
12920495,3,1,11.14,305.0441,38.6256
12920729,3,1,9.79,305.0770,38.6582
12920741,3,1,8.77,305.0399,38.6589
12920834,3,1,10.09,305.0262,38.6711
12921082,3,1,8.97,305.0891,38.6999
12923201,3,1,9.57,305.0284,38.9808
12926024,3,1,6.30,305.0634,39.4030
12928126,3,1,11.86,305.0265,39.8350
13002588,3,1,8.37,305.1719,41.4744
13002932,3,1,9.59,305.1177,41.3643
13006895,3,1,14.06,305.2360,40.3932
13116289,3,1,8.27,305.1874,39.3657
13118749,3,1,9.19,305.2556,39.0144
13120899,3,1,10.59,305.1888,38.7213
13121072,3,1,11.09,305.1186,38.6992
13123990,3,1,17.05,305.1393,38.2690
13127530,2,2,8.06,305.2309,37.7321
13248512,2,2,9.07,305.2766,36.8085
13249293,2,2,8.64,305.3822,36.9202
13249363,2,2,4.74,305.3412,36.9321
13252071,2,2,10.24,305.3815,37.3448
13252288,2,2,10.63,305.3535,37.3800
13252343,2,2,9.66,305.3302,37.3902
13252446,2,2,6.93,305.3140,37.4086
13252478,2,2,10.00,305.3899,37.4143
13252500,2,2,10.29,305.4153,37.4182
13252516,2,2,9.12,305.4111,37.4209
13252522,2,2,10.13,305.4087,37.4214
13325866,2,2,5.09,305.4106,37.5330
13332665,3,1,11.33,305.3566,38.5905
13332837,3,1,9.41,305.3963,38.6132
13336035,3,1,7.53,305.2814,39.0315
13337180,3,1,16.00,305.4131,39.1987
13340937,3,1,6.85,305.3863,39.8293
13415581,3,1,4.67,305.4009,40.4472
13416465,3,1,14.02,305.4104,40.6532
13418870,3,1,6.77,305.3576,41.1943
13419950,3,1,9.65,305.2894,41.4624
13424053,3,1,12.18,305.5174,41.2551
13424469,3,1,5.45,305.5128,41.1321
13425057,3,1,7.01,305.5227,40.9856
13431346,3,1,1.89,305.5571,40.2567
13434305,3,1,8.01,305.5089,39.8329
13470446,2,4,7.06,320.1487,28.8331
13473824,2,4,5.87,320.1588,26.2499
13499636,2,4,10.60,320.2021,28.0559
13500804,2,4,16.83,320.2221,28.6647
13543144,3,1,8.67,305.4837,39.4591
13549299,3,1,8.01,305.4622,38.6294
13553066,2,2,10.28,305.5180,38.1210
13557651,2,2,10.16,305.4472,37.4422
13557667,2,2,11.42,305.4996,37.4400
13574009,2,4,10.50,320.4505,23.9264
13574820,2,4,8.05,320.4680,24.6723
13574905,2,4,10.30,320.5204,24.7434
13576069,2,4,8.47,320.5348,25.7543
13653690,2,4,8.62,320.5818,29.1066
13658517,2,4,16.43,320.5850,25.0742
13684720,2,2,12.46,305.5384,36.0649
13691974,2,2,8.31,305.7115,36.9109
13720863,2,4,12.21,320.7766,29.0250
13721076,2,4,9.86,320.6961,29.1828
13721658,2,4,7.26,320.7883,29.6383
13721739,2,4,9.58,320.8260,29.7007
13722489,2,4,8.32,320.9534,29.6327
13723927,2,4,8.23,320.9098,28.5126
13724627,2,4,15.03,320.9143,27.9328
13779328,2,2,7.92,305.6889,37.9615
13780417,2,2,7.37,305.6482,38.1293
13780749,2,2,9.93,305.6743,38.1770
13784783,3,1,8.42,305.5873,38.7248
13785212,3,1,10.02,305.6164,38.7810
13786188,3,1,9.59,305.6010,38.9055
13792315,3,1,17.52,305.6817,39.7910
13794506,2,4,8.34,320.8817,26.9608
13796784,2,4,7.97,320.8618,24.9595
13798141,2,4,5.40,320.9961,24.2743
13799337,2,4,6.20,321.0313,25.3125
13800376,2,4,13.63,321.0921,26.2464
13803336,2,4,9.39,320.9660,28.7805
13867573,3,1,6.94,305.6865,40.7146
13869140,3,1,15.66,305.5727,40.9892
13869331,3,1,4.35,305.6887,41.0257
13875852,3,1,13.97,305.7604,40.9818
13876370,3,1,7.41,305.7949,40.8749
13876732,3,1,10.84,305.8278,40.8106
13876799,3,1,11.01,305.8191,40.8005
13877006,3,1,9.45,305.7815,40.7691
13877064,3,1,9.99,305.7456,40.7609
13877074,3,1,5.84,305.8257,40.7590
13880268,3,1,8.55,305.8451,40.1562
13966711,3,1,8.76,305.7650,39.4972
13967727,3,1,8.56,305.7562,39.3446
13968858,3,1,8.92,305.7951,39.1623
13970315,3,1,7.58,305.8596,38.9391
13971092,3,1,10.04,305.7779,38.8210
13972612,3,1,10.46,305.8585,38.6040
13973539,3,1,8.87,305.7620,38.4558
13974582,2,2,11.47,305.7385,38.3068
13976604,2,2,10.89,305.8405,38.0018
14101482,2,2,8.83,305.9584,36.5225
14106718,2,2,8.28,305.8877,37.3072
14200511,2,2,6.12,305.9349,37.4764
14206948,3,1,8.58,305.9792,38.4663
14207008,3,1,11.03,305.9285,38.4759
14207082,3,1,10.52,305.9795,38.4855
14207175,3,1,8.08,305.9415,38.5008
14207176,3,1,11.25,305.9537,38.5010
14207237,3,1,12.06,305.9896,38.5096
14207262,3,1,8.13,306.0054,38.5137
14207366,3,1,9.44,305.9981,38.5300
14208188,3,1,11.08,306.0094,38.6605
14209654,3,1,8.03,305.8977,38.8823
14211160,3,1,8.69,305.9966,39.1043
14212879,3,1,9.34,305.8689,39.3497
14312409,3,1,10.51,305.8906,40.7555
14408667,3,1,17.04,306.1126,38.9275
14410717,3,1,7.93,306.0194,38.5381
14411033,3,1,8.12,306.0272,38.4925
14416875,2,2,8.08,306.0753,37.5754
14541657,2,2,8.77,306.2789,37.4656
14617089,2,2,11.94,306.3157,37.5549
14620829,2,2,13.52,306.2179,38.1692
14621767,2,2,10.44,306.2098,38.3096
14627618,3,1,8.60,306.2416,39.4583
14630689,3,1,5.58,306.2034,40.1537
14739595,3,1,13.90,306.3474,40.5156
14741325,3,1,7.97,306.3422,40.2170
14741340,3,1,9.01,306.3704,40.2150
14830370,3,1,8.22,306.4407,39.5714
14833493,3,1,8.62,306.3931,38.9031
14834053,3,1,9.93,306.3432,38.7904
14842303,2,2,10.35,306.3777,37.4300
14842608,2,2,8.34,306.4192,37.3741
14844585,2,2,11.41,306.4097,37.0529
14906983,2,4,5.36,321.1421,26.1746
14908517,2,4,5.46,321.0967,24.5283
14956304,2,2,14.67,306.5093,36.2153
14976740,2,4,14.26,321.2420,28.4337
15039353,2,4,8.54,321.5849,24.8627
15040115,2,4,11.93,321.5877,25.6576
15065085,2,2,4.90,306.4918,38.3521
15072015,3,1,8.29,306.5871,39.6694
15095526,2,4,15.83,321.6280,27.4414
15100125,2,4,17.13,321.8768,25.1293
15104511,2,4,8.80,321.8245,29.2826
15126043,3,1,7.72,306.4795,41.3366
15126246,3,1,6.35,306.5897,41.3793
15132927,3,1,8.11,306.7117,40.9963
15176872,2,4,5.40,321.9172,27.6087
15178449,2,4,14.73,321.9031,26.0735
15181144,2,4,5.25,322.0740,24.6347
15181987,2,4,8.02,322.1463,25.5970
15199985,2,4,8.08,322.0250,28.0844
15200064,2,4,9.58,322.1163,28.1640
15206274,2,4,5.43,322.1763,25.9212
15249848,2,2,13.88,306.6963,38.4965
15295189,2,4,13.20,322.4102,25.4677
15296200,2,4,8.21,322.3691,26.4891
15298476,2,4,5.81,322.3139,28.5820
15298798,2,4,8.00,322.3431,28.8752
15300006,2,4,14.34,322.3357,29.9686
15321734,2,4,8.03,322.6829,24.9815
15385997,2,2,12.89,306.8626,35.9845
15388352,2,2,14.43,306.8796,36.4007
15389320,2,2,5.71,306.7838,36.5519
15419838,2,4,17.42,322.8669,25.1143
15422557,2,4,9.00,322.9311,27.9098
15454909,2,4,9.73,322.9579,27.5325
15460993,2,4,12.55,323.2056,26.8461
15462531,2,2,5.60,306.8925,38.4399
15470366,3,1,7.08,306.8479,39.7303
15470435,3,1,9.22,306.8232,39.7424
15515259,2,4,8.20,323.1945,28.7215
15561759,3,1,8.95,307.0644,40.6388
15562024,3,1,9.10,306.9317,40.5954
15569935,3,1,17.47,307.0629,39.1007
15682927,2,2,12.39,306.9888,37.1463
15688248,2,2,8.20,307.0413,36.2663
15788257,2,2,4.92,307.1189,37.7893
15791001,2,2,8.73,307.0741,38.3560
15888421,3,1,4.60,307.2108,39.9817
15891208,3,1,17.61,307.1773,40.5439
15892555,3,1,7.75,307.1334,40.8175
15992037,3,1,8.22,307.3483,40.0990
16109048,2,2,5.40,307.3350,36.4547
16184850,2,2,7.62,307.4791,36.5771
16187321,2,2,11.72,307.3769,36.9706
16187387,2,2,7.57,307.4490,36.9803
16189493,2,2,14.43,307.4695,37.3081
16200170,3,1,13.68,307.4854,39.2262
16307365,3,1,16.99,307.4367,40.6824
16309463,3,1,10.89,307.4191,41.1662
16526139,2,2,5.17,307.7468,36.9358
16538820,2,4,12.15,326.6044,25.1130
16539178,2,4,5.24,326.6010,25.5639
16540137,2,4,7.93,326.6340,26.7538
16542918,2,4,17.62,326.6015,29.8776
16603425,2,4,17.87,326.9101,24.7650
16608085,2,4,10.02,326.9917,29.8748
16609260,2,4,8.09,326.9855,28.6464
16617827,2,2,10.86,307.7717,38.7828
16625516,3,1,9.78,307.7508,40.8304
16653929,2,4,8.19,327.0651,24.9801
16654329,2,4,5.71,327.0452,24.4640
16659526,2,4,8.23,327.2031,29.7890
16737825,3,1,11.17,307.9535,40.6333
16740101,3,1,7.58,307.8600,39.9390
16740282,3,1,5.56,307.9003,39.8801
16746325,2,4,5.90,327.4282,24.0892
16750287,2,4,7.75,327.3996,28.9925
16783095,2,4,14.68,327.4793,28.2827
16785006,2,4,8.13,327.5558,25.8937
16946453,2,2,8.38,308.0084,37.3766
16953433,2,2,8.07,307.9838,38.6168
17038893,3,2,6.28,308.2137,41.9016
17132606,3,1,17.59,308.2546,40.2470
17251806,2,2,8.59,308.3131,35.9895
17373361,3,1,15.05,308.4078,39.8318
17373454,3,1,8.14,308.2804,39.8669
17373558,3,1,15.82,308.3414,39.9020
17864236,2,4,8.65,328.8381,29.8827
17865622,2,4,10.95,328.9114,28.1795
17867290,2,4,8.02,328.8647,25.9329
17923293,2,4,8.35,329.0105,25.8945
17925102,2,4,8.47,328.9487,28.1317
17995932,2,4,8.52,329.1087,24.8860
17997525,2,4,5.82,329.2423,25.2677
17999169,2,4,8.91,329.3051,27.4543
18000541,2,4,8.10,329.2408,29.1201
18002010,2,4,8.22,329.3795,28.9373
18002023,2,4,11.89,329.3751,28.9140
18025633,2,4,8.19,329.4760,24.7482
18027726,2,4,17.18,329.5008,27.0911
18027916,2,4,7.90,329.4644,27.2153
18032286,2,4,6.43,329.6673,29.8100
18105506,2,4,15.36,329.7190,25.5344
18109754,2,4,8.36,329.8029,28.6466
21032363,4,1,8.16,273.1811,53.5575
21032446,4,1,8.76,273.2810,53.7011
21101556,4,1,11.39,274.4220,52.5722
21126323,3,4,10.99,274.9242,50.1773
21149394,4,1,15.93,275.1305,51.7547
21162252,4,1,6.24,275.9502,53.3008
21189253,3,4,9.84,276.4632,52.0533
21226105,3,4,11.17,276.8166,50.0236
21227177,3,4,8.12,276.8694,51.7237
21280719,3,4,9.78,277.2982,49.4087
24350778,1,3,9.06,326.6459,-1.8350
24350903,1,3,2.47,326.6329,-2.2126
24350995,1,3,8.03,326.6253,-2.4221
24352611,1,3,8.47,326.8095,-5.2373
24352777,1,3,11.21,326.8245,-4.7446
24353647,1,3,7.19,326.7844,-2.2930
24354249,1,3,8.41,326.7722,-0.6454
24372284,1,3,15.46,326.9316,-1.2009
24373370,1,3,11.15,326.9338,-4.2140
24373371,1,3,12.66,326.9662,-4.2240
24425436,1,3,15.20,327.2162,-2.1057
24426191,1,3,10.01,327.1450,-4.3742
24428824,1,3,8.42,327.4593,-0.3219
24849873,1,3,8.66,318.8639,-6.1686
24883111,1,3,9.90,318.9724,-7.9403
24883155,1,3,8.08,318.9844,-8.0275
25265664,2,4,9.41,318.1821,24.5801
25266623,2,4,10.90,319.0177,29.8631
25346878,2,4,7.36,319.2252,27.2584
25500092,2,4,8.04,319.5300,29.4238
