#
# Full target list for orbit 173, sector 83
# Created Mon Aug  5 14:00:05 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
10550659,2,4,8.08,340.2006,31.7944
10592740,2,4,17.34,340.2844,31.3081
10593027,2,4,4.81,340.3808,30.9659
10593490,2,4,8.25,340.3105,30.4016
10593553,2,4,12.00,340.3094,30.3279
10597183,2,4,8.02,340.4971,34.0069
10660045,2,4,11.41,340.5759,31.2784
10662523,2,4,2.14,340.7507,30.2211
10664194,2,4,16.57,340.7817,31.3775
10680561,2,4,5.55,340.8970,32.8220
10681979,2,4,14.58,340.9197,30.9222
10682576,2,4,7.39,340.9205,30.0927
10684412,2,4,10.62,341.0538,32.3322
16493767,2,3,8.49,326.4772,26.3044
16540137,2,3,7.93,326.6340,26.7538
16542918,2,3,17.62,326.6015,29.8776
16608085,2,3,10.02,326.9917,29.8748
16609260,2,3,8.09,326.9855,28.6464
16659526,2,3,8.23,327.2031,29.7890
16750287,2,3,7.75,327.3996,28.9925
16783095,2,3,14.68,327.4793,28.2827
16785006,2,3,8.13,327.5558,25.8937
16808769,2,3,9.26,327.6960,29.0268
17864236,2,3,8.65,328.8381,29.8827
17865622,2,3,10.95,328.9114,28.1795
17867290,2,3,8.02,328.8647,25.9329
17923293,2,3,8.35,329.0105,25.8945
17925102,2,3,8.47,328.9487,28.1317
17995932,2,3,8.52,329.1087,24.8860
17997525,2,3,5.82,329.2423,25.2677
18000541,2,3,8.10,329.2408,29.1201
18002010,2,3,8.22,329.3795,28.9373
18002023,2,3,11.89,329.3751,28.9140
18025633,2,3,8.19,329.4760,24.7482
18027726,2,3,17.18,329.5008,27.0911
18027916,2,3,7.90,329.4644,27.2153
18032286,2,3,6.43,329.6673,29.8100
18105506,2,3,15.36,329.7190,25.5344
20574630,2,3,4.16,335.2504,26.9351
20574762,2,3,8.64,335.2130,26.6884
20635101,2,3,4.78,335.3307,28.3306
20665485,2,3,8.11,335.9449,26.0032
20666055,2,3,8.15,335.9355,27.0986
20711983,2,3,15.15,335.9959,25.7404
20743564,2,3,8.12,336.3194,24.4008
20747883,2,3,8.26,336.5194,29.0988
20790588,1,2,8.47,336.6919,23.9223
20792152,2,3,8.02,336.7243,26.8785
20794809,2,3,17.82,336.8521,28.7343
20796187,2,3,13.83,336.8225,26.5578
20829557,2,3,11.27,336.9738,29.6820
20829607,2,3,12.06,336.9201,29.7639
20829608,2,3,11.73,337.0136,29.7645
20829688,2,3,13.02,337.0079,29.8738
20829776,2,3,14.73,337.1039,29.8822
20829782,2,3,14.34,337.1024,29.8731
20829966,2,3,11.30,337.0808,29.5910
20831553,2,3,5.62,337.0461,27.0186
21032363,4,1,8.16,273.1811,53.5575
21032446,4,1,8.76,273.2810,53.7011
21162252,4,1,6.24,275.9502,53.3008
21330137,1,1,10.13,350.6694,30.1406
21331268,2,4,15.03,350.9078,34.2573
21331359,2,4,14.18,350.9222,34.0749
21332165,2,4,6.21,350.9500,32.5316
21333552,1,1,11.92,351.1709,30.2478
21333559,1,1,13.75,351.1252,30.2691
21335275,2,4,8.13,351.1678,33.6086
21347882,2,4,9.35,351.2352,32.9698
21348199,2,4,5.64,351.2119,32.3849
21348280,2,4,12.03,351.3181,32.2330
21348301,2,4,12.07,351.2596,32.1958
21348303,2,4,9.67,351.2906,32.1917
21348332,2,4,11.39,351.2210,32.1303
21348339,2,4,11.01,351.2759,32.1218
21349670,1,1,9.37,351.4278,30.4183
21349951,2,4,8.87,351.3737,31.0534
21350285,2,4,11.62,351.4148,31.7122
21350411,2,4,14.13,351.4162,31.9784
21405287,2,4,16.69,351.5234,33.1232
21405976,2,4,11.54,351.5375,31.7736
21406031,2,4,12.80,351.5216,31.6652
21406096,2,4,11.12,351.4601,31.5426
21406122,2,4,12.38,351.5798,31.4796
21406127,2,4,10.01,351.5527,31.4634
21406173,2,4,14.29,351.5368,31.3646
21406652,1,1,13.82,351.5061,30.3932
21406653,1,1,11.46,351.5015,30.3928
21407258,2,4,15.87,351.7250,30.8416
21407328,2,4,11.95,351.7215,30.9983
21407342,2,4,12.89,351.6535,31.0356
21407442,2,4,13.14,351.6411,31.2738
21407455,2,4,11.69,351.6481,31.3102
21407574,2,4,14.96,351.6432,31.5677
21407585,2,4,11.52,351.7016,31.5836
21409148,2,4,11.01,351.6132,34.7806
26413092,3,4,13.08,291.2877,50.9091
26413162,3,4,5.56,291.4565,50.8516
26472830,3,4,14.73,291.5481,50.3532
26473621,3,4,14.72,291.6224,50.6182
26474039,3,4,12.26,291.4675,50.7596
26474227,3,4,14.62,291.5505,50.8256
26474401,3,4,9.54,291.4896,50.9010
26474636,3,4,7.62,291.5924,50.9878
26474800,3,4,13.55,291.5543,51.0430
26488618,3,4,15.14,291.6594,50.5838
26489499,3,4,8.07,291.7534,50.2346
26489741,3,4,6.88,291.7004,50.1460
26542657,3,4,9.36,291.9061,50.4240
26543048,3,4,8.09,291.9538,50.7369
26543573,3,4,16.37,291.9203,51.1891
26544865,3,4,5.75,291.8580,52.3203
26545376,3,4,8.54,291.9717,52.8124
26545543,3,4,12.30,291.8820,52.9837
26545554,3,4,10.25,291.8627,52.9896
26547036,3,4,9.27,292.1671,53.4874
26657021,3,4,14.78,292.6584,49.8651
26657091,3,4,12.61,292.5844,49.9232
26663839,3,4,18.43,292.7466,51.9597
26665833,3,4,4.46,292.8302,50.3070
26686049,2,3,9.37,331.5626,24.9771
26690073,2,3,8.07,331.6893,29.0794
26690778,2,3,7.90,331.8558,24.0288
26690845,2,3,8.47,331.9593,24.1523
26691361,2,3,8.02,331.9126,25.0161
26691445,2,3,10.33,331.9256,25.1779
26691554,2,3,14.96,331.9382,25.3393
26692151,2,3,8.41,331.9174,26.3599
26753847,3,4,7.46,293.0095,50.1836
26757414,3,4,7.79,292.9314,53.0004
26880477,3,4,8.09,293.3856,53.1897
26880783,3,4,9.21,293.4436,53.4645
26883710,3,4,8.02,293.5567,51.8272
26884478,3,4,5.26,293.5828,51.2353
26885539,3,4,14.71,293.4956,50.4806
26885547,3,4,16.03,293.5626,50.4773
26885588,3,4,11.20,293.5070,50.4500
26965421,3,4,7.81,293.7688,50.6280
26965939,3,4,8.38,293.7436,51.0057
26966110,3,4,17.57,293.6508,51.1284
26966422,3,4,7.18,293.7860,51.3446
26967802,3,4,5.46,293.7551,52.5018
27006032,3,4,14.10,293.9727,50.6451
27006192,3,4,14.57,293.9734,50.5318
27006340,3,4,14.61,293.9006,50.4271
27006649,3,4,5.56,293.9831,50.2389
27006665,3,4,14.71,293.8335,50.2304
27006880,3,4,11.90,293.8268,50.0764
27007316,3,4,14.17,293.8652,49.8001
27007509,3,4,14.00,293.8817,49.6831
27007614,3,4,12.43,293.9603,49.6193
27007746,3,4,8.00,293.8938,49.5300
27013196,3,4,14.22,294.1578,49.6150
27013540,3,4,8.72,294.0787,49.8241
27014182,3,4,4.17,294.1105,50.2229
27014383,3,4,12.85,294.0342,50.3717
27014562,3,4,14.93,294.0831,50.5027
27073457,3,4,16.59,294.1262,50.8228
27076023,3,4,10.82,294.0168,52.6477
27081151,3,4,10.64,294.2101,51.1963
27081773,3,4,15.07,294.2945,50.7254
27082324,3,4,13.11,294.3502,50.3515
27082352,3,4,14.75,294.3385,50.3365
27082559,3,4,5.25,294.2056,50.1999
27082583,3,4,13.30,294.3528,50.1860
27082724,3,4,12.93,294.3508,50.0809
27082725,3,4,14.89,294.3168,50.0802
