#
# Full target list for orbit 175, sector 84
# Created Fri May  2 16:32:22 EDT 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
12711731,3,2,5.97,342.8730,62.9718
12713245,3,2,10.40,342.9444,62.4120
12715240,3,2,5.69,342.8457,61.6970
12716975,3,2,9.22,342.9155,61.1475
12789221,3,2,9.19,343.1443,60.5164
12791836,3,2,17.04,343.1030,61.3919
12794506,3,2,8.56,343.1406,62.3132
12794832,3,2,7.51,343.1273,62.4405
12797703,3,2,8.33,343.2091,63.4134
12873102,3,2,9.60,343.4224,63.4180
12875650,3,2,9.65,343.4093,62.6159
12876844,3,2,8.53,343.3150,62.1458
12876890,3,2,8.23,343.3783,62.1349
12958037,3,2,4.36,343.2659,60.1011
12965184,3,2,16.67,343.6922,62.0824
12967410,3,2,8.46,343.4752,62.5967
12967563,3,2,8.98,343.6515,62.6125
12967943,3,2,8.70,343.5751,62.6653
13037534,3,2,10.00,343.8758,64.0086
13099953,3,2,11.97,343.9202,63.8615
13104015,3,2,9.53,343.7388,62.5717
13104869,3,2,7.59,343.9269,62.3063
13208879,3,2,8.14,344.1537,61.5189
13211109,3,2,4.77,343.9936,62.4323
13211704,3,2,8.08,344.1773,62.6249
13212836,3,2,7.86,344.1289,62.8684
13217180,3,2,8.10,344.1101,64.4650
13276487,3,2,8.06,344.3707,65.6228
13284088,3,2,7.03,344.1966,62.7271
13285318,3,2,8.28,344.3869,62.3578
13287237,3,2,13.22,344.3113,61.5749
13287834,3,2,15.32,344.4168,61.3735
13379576,3,2,8.63,344.6544,60.0294
13389059,3,2,7.08,344.6658,63.0771
13462678,3,2,8.66,344.5163,63.3624
13463721,3,2,7.07,344.6385,63.7067
13824611,1,1,8.33,11.7400,27.3132
13826917,1,4,9.39,11.9466,24.8164
13827490,1,4,9.01,11.9585,25.0855
13830264,1,4,8.80,12.1752,25.8632
13861211,1,4,9.50,12.2672,25.0254
13862266,1,1,8.54,12.2807,28.4302
13863424,1,1,5.91,12.4710,27.7107
13863427,1,1,5.97,12.4722,27.7102
13864767,1,1,8.41,12.6718,29.6303
13887808,1,1,8.26,12.8309,27.3577
13917791,1,4,9.27,13.0678,26.2735
13918140,1,1,17.65,13.0915,27.3606
13935789,1,4,8.19,13.4039,24.9326
13937166,1,1,5.90,13.4041,29.4890
13939715,1,4,8.07,13.5993,25.7145
13959624,1,1,9.38,13.6148,28.8542
13959869,1,1,8.62,13.6712,29.5626
13960713,1,1,8.47,13.7998,27.6434
13960751,1,1,12.10,13.7030,27.5178
13961554,1,4,13.27,13.7198,24.7241
13961601,1,4,3.86,13.8113,24.5570
13961725,1,4,6.82,13.7456,24.0990
13998021,1,4,8.94,14.0644,24.2918
13998201,1,4,15.76,14.0861,24.1523
13998870,1,4,5.09,14.1859,26.3400
14005825,1,4,7.92,14.3273,25.2927
14007692,1,1,4.49,14.4590,28.9922
15517529,1,4,5.91,14.6184,26.7858
15518194,1,4,6.84,14.6095,24.5219
15531891,1,1,8.12,14.9833,28.6783
15533522,1,4,8.02,15.0978,25.4548
15533803,1,4,8.06,15.1019,26.4234
15551280,1,4,9.89,15.1956,23.9485
15552664,1,1,11.43,15.3278,29.0341
15552721,1,1,11.77,15.2803,29.2588
15554027,1,4,16.09,15.4410,26.0447
15554195,1,4,6.00,15.4326,25.2921
15572323,1,4,8.32,15.6825,24.8648
15573909,1,1,8.41,15.8081,28.6053
15612471,1,1,5.77,16.1158,29.6581
15614474,1,4,8.51,16.3985,24.1976
15615087,1,4,14.44,16.3434,26.3817
15616171,1,1,8.21,16.5509,29.9223
15651670,1,4,8.19,16.7741,24.8414
15652845,1,4,9.00,16.9015,27.3323
15653382,1,1,8.89,16.9414,28.9781
15654278,1,4,14.29,17.0702,27.8802
15654820,1,4,8.12,17.0924,25.9082
15654898,1,4,12.02,17.0826,25.6525
15656495,1,4,15.69,17.1324,27.7144
15692883,1,4,9.71,17.4747,25.6816
15731647,1,4,15.28,17.5508,27.0169
15732119,1,4,4.42,17.5811,25.4570
16810132,1,4,15.68,17.6850,27.9700
16812081,1,4,8.95,17.8623,27.1417
16872033,1,4,8.63,18.0223,28.2480
16873442,1,4,8.24,18.0931,24.5321
16879141,1,4,8.21,18.2102,26.0014
16879871,1,4,3.79,18.4374,24.5836
16880539,1,4,5.31,18.4496,27.1328
16881266,1,1,5.87,18.3864,29.7360
16881444,1,1,8.29,18.5033,29.5717
16881755,1,4,4.30,18.5209,28.5292
16882498,1,4,7.83,18.5303,25.8272
16892801,1,4,14.59,18.9762,26.2334
16916903,1,4,4.41,19.0209,25.7693
16917503,1,4,8.06,19.2241,24.2033
16919805,1,4,8.13,19.2648,27.9845
16920265,1,4,5.59,19.3445,26.2949
16956863,1,4,9.20,19.6354,28.9309
16958630,1,4,8.94,19.7574,25.0145
16958908,1,4,8.12,19.7546,25.8963
16985875,1,1,8.55,19.6682,29.8229
16987556,1,4,4.74,19.8668,27.2640
16988384,1,4,11.14,19.8711,24.4247
16996169,1,4,7.37,20.2661,25.1576
16997209,1,4,4.00,20.2809,28.7377
17005768,1,4,9.92,20.6107,26.9257
17066154,1,4,8.06,20.5931,24.8619
18111321,1,4,8.22,20.8358,27.6483
18112140,1,4,8.01,20.8126,24.6076
18113802,1,4,8.54,21.1222,29.3693
18121498,1,4,6.60,21.3041,28.5656
18152870,1,4,8.26,21.8111,27.5088
18153372,1,4,8.09,21.8360,25.5699
18153840,1,4,8.00,21.9931,24.0655
18155368,1,4,8.53,22.0182,29.3619
18186516,1,4,5.64,22.3485,25.2754
18186586,1,4,6.51,22.3206,25.0242
18187582,1,4,15.62,22.5054,26.6492
18187766,1,4,16.20,22.5254,27.2722
18223052,1,4,9.34,22.7220,24.5358
18224448,1,4,6.74,22.8328,29.4125
18225090,1,4,8.82,22.9284,28.3909
18225976,1,4,8.92,22.9233,25.3573
18250189,1,4,15.20,22.9995,29.8228
18251316,1,4,9.62,23.2216,26.0485
18251910,1,4,7.03,23.3293,23.9758
18252719,1,4,8.41,23.3087,26.8006
18277196,1,4,7.78,23.3356,29.2648
18277378,1,4,8.09,23.3209,29.8877
18278907,1,4,9.40,23.4675,24.8428
18279828,1,4,16.50,23.5742,26.3887
18281010,1,4,10.02,23.7051,29.5891
18281368,1,4,16.97,23.6928,28.4377
21002564,4,4,11.63,272.6991,53.5906
21002598,4,4,8.25,272.6882,53.5005
21032363,4,4,8.16,273.1811,53.5575
21032446,4,4,8.76,273.2810,53.7011
21100271,4,4,11.95,274.4475,53.7033
21100276,4,4,11.93,274.4512,53.7018
21331268,2,3,15.03,350.9078,34.2573
21331359,2,3,14.18,350.9222,34.0749
21332165,2,3,6.21,350.9500,32.5316
21335275,2,3,8.13,351.1678,33.6086
21347882,2,3,9.35,351.2352,32.9698
21348199,2,3,5.64,351.2119,32.3849
21406016,2,3,9.33,351.4625,31.7019
21406031,2,3,12.80,351.5216,31.6652
21406127,2,3,10.01,351.5527,31.4634
21409148,2,3,11.01,351.6132,34.7806
22499336,1,2,16.59,2.3949,31.1431
22500315,1,2,8.83,2.5201,33.5394
22502783,1,2,5.55,2.6348,33.1309
22503747,1,2,8.27,2.6481,30.9883
22523274,1,2,4.17,2.6967,32.2426
22524130,1,2,12.67,2.7536,34.2356
22525241,1,2,8.49,2.8900,35.1485
22525286,1,2,8.69,2.8985,35.0517
22527304,1,2,7.25,2.8452,30.4498
22570369,1,2,8.07,3.1551,31.6023
22572114,1,2,16.68,3.3330,32.7702
24466755,2,1,13.23,349.1691,53.7610
24472381,2,2,9.29,349.1934,50.8202
24472626,2,2,5.87,349.1072,50.6713
24573117,2,2,16.96,349.2638,48.3672
24575263,2,2,2.95,349.4364,49.0153
24578036,2,2,5.83,349.3520,50.8271
24707028,2,2,8.51,349.7695,48.8503
24707353,2,2,16.30,349.7956,49.0759
24711673,2,2,8.74,349.7256,51.6809
24718545,2,1,11.42,349.9744,52.8372
24788363,2,2,14.90,349.9526,49.5657
24791082,2,2,5.11,349.9289,48.6691
24791207,2,2,4.57,349.8744,48.6257
24791904,2,2,5.34,349.9253,48.3812
24792492,2,2,8.08,350.0040,48.1041
24795168,2,2,8.85,350.1687,48.7642
24796353,2,2,13.33,350.1899,49.1775
24934990,2,2,12.91,350.4555,49.2461
24935204,2,2,10.56,350.4110,49.3866
25034454,2,1,8.35,350.6851,52.2756
25038576,2,2,8.55,350.6566,50.2140
25113177,2,1,7.76,350.9177,52.7066
25115367,2,1,8.48,350.8805,53.7675
25180414,2,2,8.07,350.9955,48.4465
25181864,2,2,16.95,351.1563,48.4706
25232086,2,2,13.74,351.1363,49.8486
25241697,2,1,4.58,351.4003,52.9794
25313809,2,2,14.56,351.4904,49.3591
25390721,2,1,5.76,351.5856,53.1669
25471934,2,2,16.25,351.7587,50.1202
25472026,2,2,11.70,351.6818,50.0523
25476142,2,2,15.95,351.9894,48.6320
25477905,2,2,15.88,351.9150,49.7884
