#
# Full target list for orbit 177, sector 85
# Created Fri Oct 25 14:21:57 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5615060,1,3,4.88,32.0711,24.8193
5636651,1,3,13.43,32.2000,25.2353
5636984,1,3,9.87,32.2432,23.9836
5637590,1,3,4.63,32.3561,25.9397
5638008,1,3,8.29,32.4020,27.3684
5638374,1,3,17.59,32.3742,28.5413
5638536,1,3,9.69,32.3143,29.0153
5643323,1,3,8.01,32.4623,26.4845
5644430,1,3,8.15,32.5763,25.3982
5670647,1,3,4.81,32.8002,25.9369
5671350,1,3,8.98,32.8471,24.3288
5672399,1,3,12.73,32.8241,27.5662
5675276,1,3,4.73,33.1567,24.1677
5724121,1,3,6.63,33.4225,25.5957
5724439,1,3,11.55,33.3463,26.5445
5735357,1,3,8.27,33.5453,28.3937
5738204,1,3,5.53,33.6595,28.6905
10157715,2,1,8.17,27.4503,60.7935
10158423,2,1,10.45,27.5903,61.0073
10164865,2,1,13.12,27.4347,62.9331
10242483,2,1,9.47,27.4061,64.3260
10348451,2,1,11.03,27.8629,63.1812
10419090,2,1,5.33,28.5020,60.1531
10425238,2,1,9.95,28.5486,62.0338
10425404,2,1,10.74,28.5133,62.0855
10497321,2,1,8.86,28.3532,64.1895
10506521,2,1,8.26,28.6225,64.7932
10507330,2,1,11.08,28.6578,64.5698
10510382,2,1,3.42,28.5994,63.6700
10600199,2,1,11.37,28.7530,63.1883
10604247,2,1,8.13,28.7274,62.0873
10699123,2,1,10.37,28.9198,61.1213
10703720,2,1,10.39,28.9804,62.2990
10792081,2,1,10.02,29.1988,65.7700
10800647,2,1,10.52,29.2424,63.3066
10865061,2,1,10.78,29.1372,63.0824
10865119,2,1,10.68,29.2893,63.0670
10868267,2,1,5.73,29.0699,62.1979
10870253,2,1,16.74,29.1166,61.6812
10877783,2,1,5.82,29.4174,60.2189
10970388,2,1,11.00,29.3687,62.7790
10970421,2,1,10.65,29.3544,62.7877
10972819,2,1,9.98,29.3856,63.3905
11057523,2,1,7.43,29.4028,65.4101
11066690,2,1,8.76,29.6523,63.7946
11146967,2,1,17.36,29.6928,63.2299
11152819,2,1,6.04,29.6387,61.6977
11158867,2,1,10.59,29.6592,60.0988
11159802,2,1,5.54,29.9137,60.0077
11233542,2,1,8.58,29.8383,60.4610
11241871,2,1,9.89,30.0322,62.3422
11245070,2,1,9.94,29.8577,62.7676
11325040,2,1,5.31,29.9091,64.6215
