#
# Full target list for orbit 179, sector 86
# Created Thu Oct 24 11:35:16 EDT 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1751774,1,4,12.02,78.6892,34.9671
1754853,1,4,11.99,78.6529,33.1456
1827744,1,4,9.78,78.6909,31.6897
1828620,1,4,5.75,78.6642,31.4016
1836655,1,4,8.38,78.7861,31.2796
1839208,1,4,11.59,78.7754,32.1893
1840666,1,4,4.82,78.8514,32.6877
1842481,1,4,9.70,78.7505,33.3448
1942969,1,4,12.82,78.9323,34.0923
1946987,1,4,12.81,78.9189,31.6675
1947463,1,4,14.07,78.8831,31.3566
2006984,1,4,5.71,79.0756,34.3126
2008765,1,4,8.81,79.0846,35.3941
2102329,1,4,5.49,79.3793,31.8240
2104696,1,4,8.67,79.3848,33.1246
2105180,1,4,10.86,79.3218,33.3656
2143575,1,4,8.26,79.3461,35.2037
2149979,1,4,3.42,79.5443,33.3705
2152411,1,4,13.37,79.5144,32.6562
2230521,1,4,8.42,79.5823,30.9330
2234692,1,4,12.80,79.6297,33.1462
2234723,1,4,8.19,79.6299,33.1645
2236015,1,4,6.21,79.5789,33.7672
2236445,1,4,12.21,79.6833,33.9721
2237045,1,4,10.13,79.6296,34.2518
2334539,1,4,9.26,79.8132,34.2432
2334836,1,4,10.92,79.7857,34.0933
2335562,1,4,5.52,79.7502,33.7482
2428715,1,4,11.96,79.9541,32.0214
2433001,1,4,6.26,79.8492,33.9853
2436328,1,4,9.60,79.8911,35.5889
2437320,1,4,4.96,80.0341,35.7859
2438468,1,4,10.79,80.0689,35.2172
2505046,1,4,4.69,80.0038,33.9580
2505383,1,4,11.67,79.9902,33.8007
2507547,1,4,6.48,80.0031,32.7853
2508013,1,4,9.64,80.0466,32.5644
2510152,1,4,8.36,80.0724,31.4802
2515421,1,4,15.63,80.1601,30.8058
2593217,1,4,10.81,80.1317,32.6039
2594287,1,4,9.49,80.2254,33.0860
2595960,1,4,14.02,80.2504,33.8608
2596803,1,4,5.85,80.2081,34.2675
2603937,1,4,9.73,80.2662,34.2223
2676497,1,4,8.87,80.3407,33.3854
2678500,1,4,11.34,80.2743,32.4302
2679119,1,4,9.82,80.3291,32.1349
2685481,1,4,10.22,80.4984,30.9487
2772930,1,4,12.10,80.4304,35.7314
2775484,1,4,11.33,80.6862,34.9742
2776401,1,4,10.02,80.6064,34.5831
2776520,1,4,9.56,80.5922,34.5243
2777520,1,4,11.02,80.6252,34.0849
2778003,1,4,8.01,80.6096,33.8598
2778144,1,4,9.59,80.5808,33.8001
2778177,1,4,9.87,80.5825,33.7862
2778370,1,4,13.00,80.5727,33.7124
2778803,1,4,8.79,80.6221,33.5140
2778879,1,4,12.04,80.6431,33.4891
2778931,1,4,11.43,80.5768,33.4725
2779013,1,4,10.08,80.6833,33.4407
2779166,1,4,12.50,80.6541,33.3870
2779211,1,4,9.63,80.6653,33.3717
2779347,1,4,8.96,80.6671,33.3193
2780476,1,4,12.57,80.6042,32.7760
2854318,1,4,10.67,80.7866,32.5245
2855970,1,4,10.60,80.8035,33.3153
2856124,1,4,12.28,80.7413,33.3687
2856176,1,4,11.35,80.7176,33.3843
2856211,1,4,11.91,80.7238,33.3921
2856355,1,4,9.30,80.6938,33.4196
2856436,1,4,12.35,80.7397,33.4334
2856498,1,4,11.14,80.6865,33.4435
2856528,1,4,11.08,80.7065,33.4479
2856912,1,4,10.98,80.7594,33.5270
2857009,1,4,10.48,80.8098,33.5641
2934856,1,4,10.44,80.7481,34.6625
2938831,1,4,10.41,82.0512,35.4311
2939377,1,4,12.55,82.0006,35.2789
2940518,1,4,7.61,81.9795,34.8917
2940839,1,4,8.14,81.9683,34.7828
2941395,1,4,13.01,82.0219,34.6108
2941914,1,4,10.66,82.0255,34.4561
2942142,1,4,9.52,82.0296,34.4239
2942298,1,4,9.70,82.0349,34.3959
2944024,1,4,5.94,82.0041,33.7623
2944381,1,4,9.78,81.9600,33.6233
2945216,1,4,10.15,82.0400,33.3131
2946706,1,4,12.01,82.0303,32.7251
3030849,1,4,9.84,82.1423,31.7232
3032519,1,4,4.88,82.2204,32.4774
3033448,1,4,8.00,82.1470,32.8657
3033649,1,4,11.09,82.1773,32.9441
3034524,1,4,16.51,82.1420,33.3060
3093327,1,4,10.56,82.1254,34.3358
3095329,1,4,5.72,82.1101,34.6974
3097389,1,4,9.10,82.1773,35.0137
3211507,1,4,9.96,82.2891,32.5597
3214913,1,4,8.25,82.2731,31.0605
3224605,1,4,11.99,82.3849,33.2468
3308690,1,4,8.33,82.4663,34.0462
3311237,1,4,5.97,82.4319,35.1086
3311476,1,4,9.54,82.4964,35.2027
3311888,1,4,6.89,82.4277,35.3750
3317218,1,4,9.18,82.5274,34.3599
3319412,1,4,10.67,82.6055,33.4443
3370567,1,4,5.33,82.6498,31.5110
3457576,1,4,16.30,82.7076,35.9124
3461758,1,4,11.23,82.8628,34.2471
3462120,1,4,10.89,82.8596,34.1861
3465772,1,4,11.75,82.8303,32.6143
3542277,1,4,8.27,82.8391,31.9480
3572791,1,4,7.55,82.9397,34.8819
3572937,1,4,8.82,83.0471,34.9401
3573771,1,4,11.16,83.0317,35.2751
3574292,1,4,8.12,82.9307,35.4912
8254416,2,4,13.57,65.3411,57.8295
8254591,2,4,8.38,65.3880,57.7451
8256894,2,4,5.76,65.2649,56.7122
8257576,2,4,12.35,65.2072,56.4004
8295096,2,4,7.51,65.2628,55.5312
8296034,2,4,8.75,65.3210,55.1880
8300246,2,4,11.07,65.5270,54.4485
8300380,2,4,9.10,65.5036,54.5120
8302286,2,4,16.32,65.4058,55.3763
8304956,2,4,5.81,65.4657,56.5064
8400842,2,4,9.44,65.4696,57.8172
8405211,2,4,6.10,65.7419,59.6159
8406431,2,4,16.48,65.6924,58.8761
8408445,2,4,16.36,65.8067,57.7558
8408507,2,4,14.40,65.6808,57.7299
8410246,2,4,10.74,65.6493,56.8954
8485069,2,4,13.52,65.8134,55.9906
8485155,2,4,9.09,65.8136,55.9476
8485272,2,4,9.19,65.7237,55.8985
8485491,2,4,11.20,65.6841,55.8034
8565328,2,4,8.66,65.9242,58.4927
8567816,2,4,17.21,66.1346,59.8793
8612365,2,4,12.36,66.0446,54.1663
8619197,2,4,8.26,66.2470,56.8736
8621049,2,4,13.47,66.3815,57.8061
8697145,2,4,8.00,66.4778,57.4947
8772068,2,4,11.96,66.4753,54.9168
8773911,2,4,10.52,66.5104,54.1345
8776761,2,4,8.37,66.7526,54.9076
8782518,2,4,6.20,66.7538,57.5852
8782961,2,4,13.35,66.8279,57.8110
8783726,2,4,7.63,66.7055,58.2402
