#
# Full target list for orbit 181, sector 87
# Created Mon Nov 18 10:18:10 EST 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
4614765,2,2,16.30,102.0279,-20.9768
4616072,2,2,12.89,101.9942,-21.9107
4618206,2,2,8.49,102.0092,-23.4824
4706382,2,2,5.71,109.5511,-22.3393
4780784,2,3,8.51,109.6649,-19.4227
4862613,2,2,8.45,109.6165,-23.7653
4926601,1,2,17.07,107.3671,-5.7475
4978455,2,3,5.45,109.7580,-19.2803
4983692,2,3,8.08,109.9333,-18.4733
4999380,1,2,14.57,107.4230,-1.8897
4999813,1,2,12.61,107.3583,-1.7323
5006224,1,2,8.08,107.5565,-0.6881
5051080,2,2,12.47,109.9191,-21.8896
5051420,2,2,8.55,109.8754,-22.0048
5102485,1,2,4.03,107.5570,-4.2356
5121803,2,2,14.59,110.0963,-22.2642
5283076,1,2,5.53,107.7626,-3.8981
5368745,1,2,8.09,107.9125,-5.4086
5374362,1,2,8.54,107.8538,-3.5250
5377877,1,2,8.01,107.9056,-2.2826
5456605,1,2,5.14,107.8482,-0.3020
5458984,1,2,4.16,107.9661,-0.4927
5461263,1,2,8.37,107.9878,-1.3740
5464911,1,2,16.28,107.9534,-2.6760
5499331,1,2,16.98,108.0251,-4.4695
5592720,1,2,12.87,111.5216,-6.0825
7321572,3,3,4.62,80.1541,-43.5337
7323195,3,3,8.00,80.3588,-45.3410
7323477,3,3,8.40,80.3441,-46.2791
7324247,3,3,8.15,80.5507,-47.0486
7418047,3,3,5.98,81.0674,-43.6088
7419948,3,3,16.09,81.2013,-46.6848
7420831,3,3,5.07,81.2315,-44.2256
7422013,3,3,8.21,81.4593,-43.0622
7422496,3,3,8.76,81.3487,-44.4316
7422813,3,3,12.92,81.4029,-45.3469
7446371,3,3,5.54,81.7766,-44.8619
7446418,3,3,7.70,81.6774,-45.0492
7465308,3,3,16.90,81.9743,-43.9320
7465695,3,3,8.45,82.0651,-45.0968
7491381,3,3,9.99,82.2139,-46.4719
7491678,3,3,10.53,82.2298,-45.5828
7492483,3,3,16.07,82.1841,-43.0806
7492756,3,2,9.85,82.1918,-42.1787
7493232,3,3,16.26,82.3000,-43.0595
7493460,3,3,8.19,82.4353,-43.7734
7493810,3,3,5.89,82.3947,-44.7761
7494431,3,3,8.78,82.4289,-46.7019
10011121,1,2,16.18,110.2422,-4.9824
10063674,1,2,12.54,110.2675,-3.2521
10066264,1,2,12.63,110.2182,-1.9813
10066435,1,2,8.12,110.2869,-1.8861
10069243,1,2,8.69,110.3100,-0.3628
10069413,1,2,10.73,110.2988,-0.2764
10170989,1,2,5.74,110.3436,-3.2886
10171528,1,2,11.86,110.3954,-3.5405
10172868,1,2,12.78,110.3765,-4.1699
10179656,1,2,9.00,110.4646,-4.5971
10253408,1,2,8.38,110.5075,-3.6034
10254683,1,2,5.57,110.5774,-2.9792
10317662,1,2,8.02,110.6902,-5.2236
10318629,1,2,17.73,110.6150,-5.6773
10383430,1,2,11.55,110.7024,-1.0336
10384881,1,2,15.94,110.7343,-0.1604
10390333,1,2,11.60,110.9229,-2.6853
10484635,1,2,5.87,111.0053,-3.9789
10572672,1,2,8.31,110.9423,0.0108
10826938,2,2,8.83,110.2319,-21.2703
10827386,2,2,11.70,110.2474,-21.1146
10829503,2,3,8.54,110.3333,-20.3714
11690120,1,1,5.02,90.5371,-5.1370
11691176,1,1,8.45,90.5270,-4.1376
11754593,1,1,8.42,90.5695,-0.0827
11755687,1,1,12.48,90.6437,-0.5772
11762560,1,1,11.68,90.7084,-5.4272
11964182,1,1,11.43,91.0872,-5.8662
11966519,1,1,8.31,91.2788,-3.9110
12036590,1,1,10.98,91.2338,-1.1344
12086808,1,1,5.19,91.5095,-5.8803
12087704,1,1,8.27,91.4746,-5.0607
12090836,1,1,12.47,91.4657,-2.6765
12095342,1,1,11.56,91.6538,-0.2323
12096538,1,1,8.35,91.6319,-1.0202
12159576,1,1,5.50,91.6614,-4.1939
12165310,1,1,8.36,91.7538,-2.9161
12229048,1,1,8.48,91.7352,-0.2157
12235048,1,1,8.13,91.8923,-3.6034
12345328,1,1,8.17,92.0753,-1.9360
12345386,1,1,11.14,92.1293,-1.9716
12346840,1,1,10.49,92.0865,-2.9188
12349978,1,1,8.09,92.1095,-5.3396
14366805,1,3,8.14,110.5626,13.9866
14367412,1,3,8.04,110.5020,14.6395
14443107,1,3,9.22,110.6258,13.7278
14445414,1,3,11.02,110.8209,12.6632
14494641,1,3,7.29,110.9467,12.9618
14564874,1,3,8.01,111.3474,13.4464
14565522,1,3,8.42,111.3000,14.2004
14611330,1,3,8.58,111.4826,14.0862
14673586,1,3,8.25,111.6921,12.3596
20060837,3,2,4.00,88.7186,-39.9577
20061482,3,2,15.42,88.6438,-38.1169
20069221,3,2,4.09,88.8750,-37.1208
20069685,3,2,12.95,88.7851,-38.3890
20072363,3,2,8.69,89.0261,-38.2803
20072435,3,2,7.00,88.9300,-38.1044
20091751,3,2,14.35,89.0736,-37.9671
20092228,3,2,14.95,89.0843,-39.1053
20094149,3,2,8.03,89.2862,-39.5246
20096356,3,2,8.85,89.4617,-38.0677
20141594,3,2,8.39,89.3608,-40.8997
20142752,3,2,10.62,89.5152,-39.7015
20143614,3,2,14.79,89.5612,-37.5743
20144840,3,2,14.82,89.6911,-37.2583
20145422,3,2,7.86,89.8055,-38.7101
20179778,3,2,8.02,89.8959,-36.5452
20181050,3,2,8.03,90.0321,-38.1677
20181170,3,2,13.63,90.0887,-38.4789
20208418,3,2,11.30,90.1959,-37.7048
20210432,3,2,11.88,90.3426,-38.9225
20210712,3,2,8.08,90.3393,-39.5517
20231212,3,2,5.94,90.5270,-38.9889
20232775,3,2,12.23,90.6116,-36.3613
20296416,3,2,8.82,90.8372,-38.8779
20296647,3,2,15.16,90.7284,-38.4185
20297123,3,2,12.29,90.8015,-37.3793
20298286,3,2,12.16,90.9180,-36.7508
20299658,3,2,12.70,90.9639,-39.5464
21434626,3,2,12.50,85.0624,-39.2085
21434642,3,2,13.17,85.0175,-39.1569
21436022,3,2,7.33,85.1776,-36.5847
21437232,3,2,8.47,85.2931,-39.8947
21438038,3,2,8.06,85.3633,-41.7219
21438160,3,2,10.98,85.3097,-41.2997
21442645,3,2,14.25,85.3489,-38.5452
21444273,3,2,10.72,85.5535,-37.6383
21445039,3,2,11.81,85.5820,-39.5614
21446300,3,2,11.78,85.6275,-40.7509
21503443,3,2,12.79,85.6445,-35.9640
21504820,3,2,5.89,85.8762,-39.4069
21504987,3,2,7.60,85.8994,-39.9234
21505060,3,2,8.51,85.7901,-40.1605
21505121,3,2,12.68,85.8266,-40.3836
21505247,3,2,9.34,85.8059,-40.7636
21505902,3,2,10.82,86.0040,-41.2520
21505943,3,2,11.38,85.9453,-41.1397
21506729,3,2,11.74,85.9987,-38.8831
21506935,3,2,8.02,85.9924,-38.3202
21537012,3,2,8.03,85.9992,-36.0750
21538626,3,2,16.82,86.0805,-40.1225
21539945,3,2,5.90,86.2766,-40.1989
21540051,3,2,12.16,86.2569,-39.9628
21540586,3,2,10.33,86.3178,-38.6136
21575759,3,2,16.38,86.3636,-39.5990
21576479,3,2,8.53,86.4288,-41.4068
21578667,3,2,9.12,86.6127,-36.5991
21579071,3,2,6.78,86.6754,-36.2315
21618270,3,2,8.01,86.7938,-39.1119
21618877,3,2,9.17,86.6702,-40.7467
21619473,3,2,4.58,86.8728,-41.5903
21621010,3,2,8.51,86.8604,-37.7641
21621578,3,2,8.76,86.9257,-36.3294
21626512,3,2,8.12,86.9559,-40.0632
21626728,3,2,5.66,86.9920,-40.6529
21629570,3,2,15.02,87.1653,-36.5126
21629714,3,2,15.54,87.1691,-36.2127
21629872,3,2,15.52,87.3355,-36.0395
21630387,3,2,8.10,87.3584,-37.1850
21648104,3,2,8.10,87.4141,-41.0428
21648568,3,2,10.37,87.4942,-40.0364
21649255,3,2,14.58,87.5165,-38.3144
21650201,3,2,9.76,87.4865,-36.2596
21651176,3,2,5.45,87.6190,-37.6210
21714805,3,2,8.95,87.8423,-38.8987
21715431,3,2,13.52,87.8441,-37.5073
21717652,3,2,14.86,87.9009,-39.4169
21718294,3,2,4.94,87.9807,-41.1052
21725734,3,2,9.98,88.0842,-40.0177
21726166,3,2,11.72,88.0889,-39.0073
21726496,3,2,13.83,88.0213,-38.2115
21726745,3,2,4.74,88.1385,-37.6313
21726785,3,2,15.86,88.1089,-37.5406
21727493,3,2,12.11,88.2736,-36.0962
21727879,3,2,8.41,88.2809,-36.9425
21728617,3,2,5.80,88.1988,-38.5261
21746049,3,2,8.05,88.3388,-40.4752
21746089,3,2,9.52,88.4258,-40.3615
21747057,3,2,13.05,88.4323,-38.0312
21747182,3,2,8.04,88.3179,-37.7341
21747890,3,2,7.97,88.3125,-36.2640
21748516,3,2,11.07,88.4898,-37.0476
22529346,3,1,10.06,107.6002,-39.0972
22535327,3,1,13.09,107.7574,-38.4184
22595500,3,1,15.80,107.6658,-41.7410
22598327,3,1,7.42,108.0621,-38.1747
22600494,3,1,12.45,107.9751,-40.3489
22600633,3,1,5.29,108.0657,-40.4989
22603439,3,1,11.92,108.2234,-40.4897
22603574,3,1,8.17,108.1471,-40.3457
22640610,3,1,6.23,108.1075,-36.5443
22641187,3,1,15.63,108.1371,-36.0940
22642772,3,1,9.49,108.3996,-36.9695
22645654,3,1,8.05,108.2808,-39.5139
22728474,3,1,15.70,108.5055,-39.6668
22731538,3,1,8.41,108.4355,-37.0339
22732810,3,1,8.18,108.4745,-36.0827
22763818,3,1,8.42,108.5991,-37.7141
22767184,3,1,8.91,108.5732,-40.5425
22769302,3,1,6.09,108.7382,-41.4263
22866080,3,1,16.36,108.9583,-37.1106
22866086,3,1,10.62,108.8654,-37.1148
22868366,3,1,15.75,108.9453,-38.8678
22934220,3,1,8.13,109.0668,-40.9310
22937402,3,1,5.97,109.1326,-38.3189
22941759,3,1,5.22,109.2058,-36.5926
22942488,3,1,1.20,109.2856,-37.0974
22970720,3,1,13.65,109.1800,-41.3158
22972676,3,1,12.46,109.4425,-40.8861
22972926,3,1,6.96,109.3256,-40.6558
22975033,3,1,5.61,109.3608,-38.9129
23026869,3,1,8.03,109.3754,-38.7094
23031029,3,1,9.26,109.3341,-37.2976
23031858,3,1,8.02,109.3633,-36.9861
23037766,3,1,4.64,109.5765,-36.7339
23039150,3,1,11.92,109.4990,-37.2115
23041132,3,1,8.72,109.4562,-37.8411
23082848,3,1,12.07,109.5460,-41.8878
23088464,3,1,14.90,109.7240,-39.2626
23088523,3,1,5.26,109.6395,-39.2102
23091719,3,1,5.30,109.6590,-36.7427
23158527,3,1,8.22,109.8029,-36.1669
23164311,3,1,8.30,109.8207,-40.1071
23369524,1,2,9.03,108.2966,-5.1990
23462366,1,2,8.24,108.3066,-0.6390
23548300,1,2,9.51,108.4815,-2.9083
23550713,1,2,5.32,108.4389,-3.9497
23552354,1,2,8.08,108.4342,-4.6609
23619729,1,2,4.41,108.5450,-3.9018
23625466,1,2,10.47,108.6515,-1.4658
23725901,1,2,13.08,108.7465,-0.2429
23726914,1,2,12.46,108.6993,-0.7221
23733602,1,2,8.21,108.6948,-3.6263
23811044,1,2,13.55,108.8685,-1.5584
23856429,1,2,5.64,108.8308,-0.1613
24531951,3,2,4.82,83.2816,-35.1396
24535467,3,2,9.18,83.4029,-34.4661
24587971,3,2,7.22,83.7565,-33.5883
24588593,3,2,8.23,83.6430,-35.3988
24589264,3,2,9.92,83.8866,-34.6205
24608426,3,2,10.84,83.7672,-34.2979
24608799,3,2,6.25,83.8611,-33.2685
24608852,3,2,4.83,83.8147,-33.0789
24612639,3,2,5.68,84.1515,-35.0608
24612992,3,2,8.27,84.1524,-33.9607
24613501,3,2,8.24,84.1412,-32.6694
24625007,3,2,8.85,84.3112,-31.7873
24625874,3,2,15.40,84.2653,-34.0606
24627008,3,2,5.50,84.4504,-34.6897
24821890,2,4,8.31,97.1999,-8.4797
24821909,2,4,7.33,97.1486,-8.4613
24823432,1,1,8.83,97.1507,-7.4432
24824031,1,1,5.49,97.2067,-7.0347
24824033,1,1,4.70,97.2044,-7.0331
24829181,1,1,5.10,97.3141,-8.1007
24891586,2,4,8.19,97.4403,-9.3177
24949475,2,4,4.72,97.5469,-10.0815
24950183,2,4,8.11,97.6086,-10.5928
25041731,2,4,8.54,97.7075,-9.6541
25063296,4,3,10.61,60.0686,-71.2315
25063986,4,3,10.06,60.0799,-68.9669
25064377,4,3,10.43,59.9667,-67.6895
25064731,4,3,9.17,59.9243,-66.6278
25064848,4,3,9.91,59.9063,-66.2474
25065471,4,3,10.25,60.3078,-67.5572
25077654,4,3,10.92,60.3402,-67.7027
25077712,4,3,12.35,60.3653,-67.9061
25078120,4,3,10.68,60.1681,-69.2898
25078523,4,3,17.63,60.4849,-70.5946
25078597,4,3,11.75,60.3430,-70.8621
25078674,4,3,6.53,60.1825,-71.1666
25078884,4,3,11.23,60.3147,-71.8762
25078924,4,3,10.71,60.9310,-65.9728
25079689,4,3,11.15,60.8585,-68.3516
