#
# Full target list for orbit 183, sector 88
# Created Thu Dec 12 19:34:41 EST 2024 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
758285,2,4,7.97,119.7160,-13.3161
800254,2,2,14.65,130.3345,-27.6492
816255,1,3,12.39,134.8254,-2.4949
816298,1,3,12.30,134.7889,-2.3596
816435,1,3,11.68,134.7366,-1.9816
816793,1,3,15.54,134.8049,-0.9794
816939,1,3,8.04,134.7755,-0.6239
817823,1,3,8.53,134.9238,-1.6121
818032,1,3,11.67,134.8895,-2.0787
818208,1,3,12.01,134.8450,-2.5257
819114,1,2,7.79,134.8801,-4.5702
820148,1,2,8.09,135.0688,-4.9368
823128,2,3,8.23,123.8517,-16.6438
862228,1,2,9.85,135.2640,-3.6637
863860,1,3,8.13,135.5781,-0.1506
872155,2,2,13.60,130.4341,-28.3144
872755,2,2,8.11,130.5393,-28.6816
874892,2,2,8.34,130.4431,-29.9513
877333,2,3,8.18,123.9218,-15.4009
877622,2,3,10.70,123.9083,-15.6124
879190,2,3,11.08,123.9521,-16.6903
885808,2,3,8.18,127.0842,-16.7207
889655,2,3,7.83,127.0696,-14.5890
890643,2,3,17.70,127.0517,-13.5670
892149,1,2,13.48,135.5720,-4.1154
918358,1,3,10.02,136.1198,-1.4784
919245,1,2,8.19,136.0754,-3.7485
926898,1,2,16.08,127.1382,-13.1553
927176,2,3,12.51,127.2429,-13.4414
932136,2,3,11.16,127.1686,-17.9679
933650,2,3,9.19,130.2142,-16.3485
934557,2,3,9.87,130.1255,-15.2833
972344,1,3,8.89,136.1628,-2.4782
972858,1,3,8.79,136.1860,-1.1292
1003831,2,3,10.67,130.2951,-16.0364
1004005,2,3,8.29,130.2753,-16.2091
1005021,2,3,8.10,130.2256,-17.3392
1013471,2,2,12.22,130.7916,-29.6282
1018843,2,2,8.85,130.9320,-26.9809
1033135,2,3,3.98,130.4306,-15.9441
1038216,1,2,6.32,130.5407,-11.9661
1039707,1,2,8.01,130.4855,-13.9191
1087339,2,3,12.42,131.0582,-25.0632
1088345,2,3,11.29,131.0007,-25.7673
1103432,2,3,12.83,130.5814,-17.1894
1107885,1,2,15.12,130.7000,-13.7872
1137183,2,3,11.15,131.1935,-25.3343
1141092,2,3,8.39,131.2103,-25.5427
1194742,1,2,8.14,136.0867,-12.8370
1195021,1,2,12.53,136.1681,-12.3248
1203886,2,2,8.94,131.3192,-28.8680
1209680,2,2,8.06,131.3377,-27.5691
1261860,2,3,6.01,131.4551,-25.3880
1268462,2,2,15.06,131.4885,-27.2090
1342846,2,2,9.18,131.4899,-29.1501
1344656,2,2,5.22,131.6513,-29.7281
1503583,2,3,8.07,131.9091,-24.3938
1504460,2,3,11.63,131.9658,-23.9895
1512806,2,2,9.27,132.0444,-26.9552
1536866,1,3,12.38,131.0611,-1.3687
1538422,1,2,8.41,130.9912,-3.2178
1564504,2,2,3.75,132.0608,-28.6389
1573395,2,3,8.04,132.1570,-25.6543
1599403,1,2,11.66,131.1116,-2.4736
1600311,1,3,9.68,131.1418,-1.5769
1600814,1,3,12.30,131.1895,-0.9756
1601975,1,3,8.02,131.3154,-0.2989
1604036,1,2,6.35,131.3365,-2.6011
1604040,1,2,7.14,131.3352,-2.6012
1605355,1,2,8.15,131.2399,-4.0261
1622841,2,2,8.50,132.3121,-27.7052
1625424,2,2,16.03,132.2714,-29.3032
1627306,2,2,4.99,132.5092,-29.4629
1647346,1,2,15.98,131.4996,-2.6581
1648420,1,2,12.64,131.5109,-4.6904
1648669,1,2,8.30,131.5472,-5.1509
1679132,1,2,8.32,131.7540,-2.5965
1738861,2,2,2.87,132.6320,-27.7092
1739824,2,2,11.11,132.5423,-28.3676
1740238,2,2,6.25,132.5900,-28.6177
1742152,2,2,8.17,132.6463,-29.7531
1818589,2,3,5.74,132.9069,-26.2062
1861139,2,2,7.86,132.9509,-29.4645
1861247,2,2,10.82,133.0599,-29.3877
