#
# Full target list for orbit 185, sector 89
# Created Fri Jan 10 10:49:40 EST 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
800254,2,1,14.65,130.3345,-27.6492
872155,2,1,13.60,130.4341,-28.3144
872755,2,1,8.11,130.5393,-28.6816
874892,2,1,8.34,130.4431,-29.9513
990903,1,3,3.12,165.4571,-2.4848
990995,1,3,8.66,165.4595,-2.9356
991098,1,3,9.16,165.5124,-3.4876
991159,1,3,8.83,165.4193,-3.8141
991806,1,3,9.78,165.5969,-5.0505
992137,1,3,5.99,165.6531,-3.5127
1008761,1,3,9.12,165.9474,-2.1769
1008931,1,3,5.15,165.9091,-3.2043
1008989,1,3,9.15,165.9610,-3.5036
1009252,1,3,8.75,165.9143,-4.7903
1013471,2,1,12.22,130.7916,-29.6282
1018843,2,1,8.85,130.9320,-26.9809
1137183,2,4,11.15,131.1935,-25.3343
1141092,2,4,8.39,131.2103,-25.5427
1191321,2,4,5.25,135.9374,-17.4967
1203886,2,1,8.94,131.3192,-28.8680
1209680,2,1,8.06,131.3377,-27.5691
1228170,2,4,5.56,137.1856,-16.2778
1228450,2,4,7.42,137.2735,-16.7588
1229682,2,4,12.45,137.3806,-17.0888
1230105,2,4,9.18,137.3780,-16.4328
1258971,1,1,8.31,137.5572,-15.0139
1261860,2,4,6.01,131.4551,-25.3880
1268462,2,1,15.06,131.4885,-27.2090
1338828,1,1,9.24,137.9500,-14.4308
1339767,1,1,9.13,138.0107,-16.1450
1340317,2,4,8.15,137.9708,-16.9875
1342846,2,1,9.18,131.4899,-29.1501
1344656,2,1,5.22,131.6513,-29.7281
1359495,1,1,3.98,139.9431,-11.9748
1360104,1,1,16.18,140.0925,-13.2589
1362343,1,1,8.19,140.1144,-17.4249
1399933,1,1,5.86,140.2317,-15.6186
1401516,1,1,8.34,140.2168,-12.5614
1402874,1,1,8.54,140.3452,-13.8580
1404122,1,1,8.68,140.2844,-16.2399
1442449,1,1,16.55,142.6490,-15.2592
1446147,1,1,5.15,146.8084,-17.2059
