#
# Full target list for orbit 193, sector 93
# Created Thu Jun  5 10:48:51 EDT 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1456691,1,1,9.86,246.1093,-51.5351
1461133,1,1,15.49,246.1009,-51.0012
1871399,1,1,13.26,246.0913,-50.5002
2323229,1,1,9.92,246.0518,-49.1287
2743109,1,1,7.98,246.2429,-48.6016
3181884,1,1,16.83,246.2414,-50.8946
3591811,1,1,10.02,246.3034,-52.1657
4030832,2,4,9.11,246.1889,-53.4644
4471586,1,1,8.52,246.3558,-51.8736
4871550,1,1,8.07,246.3631,-50.6984
5741908,1,1,8.20,246.6448,-48.1253
5746624,1,1,11.66,246.3990,-48.5372
6286534,1,2,8.11,282.7621,-50.1642
6473453,1,2,9.27,283.6886,-53.3502
6593187,2,3,8.45,284.0406,-53.7379
6621164,1,1,12.04,246.6551,-50.3231
6631253,1,1,9.33,246.6557,-50.7137
7038369,1,1,9.54,246.5881,-51.7990
7475132,2,4,5.87,246.5944,-53.4324
9243001,1,1,11.01,246.9294,-48.2260
9247779,1,1,8.61,246.8911,-48.7608
11856757,1,1,11.81,247.1755,-49.4144
12747481,1,1,8.82,247.3114,-48.9553
13173449,1,1,5.85,247.3445,-51.5685
13182985,1,1,8.17,247.3657,-50.0353
15339392,1,1,11.40,247.4707,-48.0029
15644631,1,1,7.81,263.5175,-46.6005
16139170,1,1,8.51,263.7336,-46.0015
16233564,1,1,8.05,263.6997,-47.3669
16264917,1,1,13.45,247.6431,-49.4142
16573995,1,4,12.52,264.0492,-42.0266
17520443,2,4,15.52,247.8941,-53.5252
17524877,1,1,8.15,247.8232,-53.0805
17528840,1,1,10.19,247.9204,-51.8301
18406676,1,1,13.72,247.7939,-49.2695
18411626,1,1,8.75,247.9517,-48.6094
21466698,1,3,5.81,267.7154,-42.3306
21467590,1,3,12.76,267.6831,-42.4597
21467597,1,3,8.21,267.6848,-42.4615
21527567,1,1,5.73,248.3012,-49.5893
21600820,1,2,13.88,267.6502,-44.8197
21668153,1,2,8.39,267.6530,-47.9261
21702220,1,2,8.76,267.8152,-45.4027
21771787,1,2,8.46,267.7515,-44.3333
21997420,1,2,13.21,268.0523,-45.1783
21999706,1,2,5.29,267.9358,-45.6008
22186226,1,2,10.62,268.1981,-45.0828
22295632,1,3,5.68,268.2204,-41.9979
