#
# Full target list for orbit 197, sector 95
# Created Wed Jun 25 14:40:23 EDT 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
24693667,3,3,12.15,34.6564,-77.7578
24695556,3,1,8.17,25.2064,-67.1832
24695715,3,1,12.25,25.0623,-67.8151
24695725,3,1,16.78,25.2525,-67.8908
24704814,3,1,12.19,25.5419,-67.9130
24704862,3,1,7.76,25.3173,-67.6802
24704868,3,1,14.69,25.4577,-67.6218
24705240,3,1,8.01,25.5341,-66.0176
24705556,3,1,12.08,25.6530,-67.1734
24705587,3,1,13.37,25.7480,-67.3157
24706089,3,1,8.00,25.7738,-69.5726
24749881,3,1,12.28,26.2447,-66.0009
24750464,3,1,11.44,26.2002,-68.7009
25063296,3,4,10.61,60.0687,-71.2315
25063986,3,4,10.06,60.0799,-68.9669
25064377,3,4,10.43,59.9667,-67.6895
25064731,4,1,9.17,59.9243,-66.6278
25064848,4,1,9.91,59.9063,-66.2474
25065357,4,1,9.09,60.2115,-67.1485
25065471,4,1,10.25,60.3078,-67.5572
25077654,4,1,10.92,60.3402,-67.7027
25077712,4,1,12.35,60.3652,-67.9061
25078120,3,4,10.68,60.1681,-69.2898
25078523,3,4,17.63,60.4849,-70.5946
25078597,3,4,11.75,60.3430,-70.8621
25078674,3,4,6.53,60.1825,-71.1666
25078924,4,1,10.71,60.9310,-65.9728
25079689,4,1,11.15,60.8585,-68.3516
25079777,4,1,11.30,60.9556,-68.5723
25079928,3,4,11.77,60.9514,-69.0570
25080362,3,4,11.20,60.8212,-70.5030
25080435,3,4,9.66,60.7910,-70.7598
25081005,3,4,10.95,61.1646,-71.1439
25081091,3,4,9.91,61.0591,-70.8758
25081407,3,4,10.62,61.3304,-69.7218
25081575,4,1,9.96,61.3045,-69.1118
25081629,4,1,14.10,61.1867,-68.9049
25081729,4,1,11.90,61.2299,-68.5370
25081845,4,1,12.20,61.1251,-68.1033
25116119,4,1,9.71,61.2767,-66.8057
25116373,4,1,8.07,61.2365,-65.9500
25116423,4,1,11.93,61.5039,-66.0801
25116563,4,1,10.79,61.5050,-66.5541
25116696,4,1,10.14,61.5239,-67.1063
25116870,4,1,11.06,61.6155,-67.7724
25117242,4,1,9.71,61.6394,-69.2699
25117273,3,4,9.19,61.3880,-69.4004
25117645,3,4,11.40,61.4174,-70.8545
25117741,3,4,11.18,61.5951,-71.2161
25117756,3,4,9.88,61.4765,-71.2690
25118739,4,1,11.14,61.8710,-69.2567
25118797,4,1,9.29,61.9398,-69.0526
25118964,4,1,12.03,61.9334,-68.4196
25131718,4,1,11.65,62.1504,-66.5596
25131760,4,1,11.34,62.2030,-66.7398
25131889,4,1,12.13,62.2077,-67.1806
25131892,4,1,11.42,62.2069,-67.1822
25132222,4,1,9.30,62.0004,-68.3614
25132314,4,1,8.03,62.1286,-68.7022
25132694,3,4,9.21,61.9839,-70.2252
25132720,3,4,11.63,61.9857,-70.3031
25132754,3,4,10.30,62.1381,-70.4346
25132832,3,4,12.62,62.1380,-70.6924
25132893,3,4,10.68,62.0399,-70.9808
25133286,3,4,13.58,62.2986,-71.2948
25133604,4,1,13.20,62.3284,-70.0039
25133636,4,1,10.62,62.4674,-69.8557
25134054,4,1,11.20,62.5154,-68.3610
25134105,4,1,12.62,62.4618,-68.1811
25134376,4,1,8.94,62.4961,-67.3280
25134377,4,1,8.32,62.5144,-67.3263
25134567,4,1,11.50,62.4215,-66.6228
25136499,1,3,14.07,325.9956,-23.4870
25136560,1,3,9.79,325.9920,-23.6467
25136895,1,3,12.28,326.1146,-23.2598
25137423,1,3,14.69,326.1067,-21.7750
25153041,4,1,9.36,63.1389,-70.6392
25153109,4,1,8.92,63.0169,-70.3890
25153167,4,1,13.57,63.0755,-70.1657
25153316,4,1,11.43,63.0784,-69.6051
25153404,4,1,10.69,63.1268,-69.3084
25153635,4,1,14.70,62.9748,-68.5590
25153759,4,1,17.32,63.0190,-68.1525
25154170,4,1,12.46,62.8963,-66.6994
25154301,4,1,11.18,63.1537,-66.1759
25154831,4,1,10.32,63.2604,-67.5395
25155310,4,1,10.61,63.3752,-69.2264
25155340,4,1,11.81,63.2629,-69.3329
25155464,4,1,11.09,63.3396,-69.7030
25155510,4,1,11.30,63.3753,-69.8850
25155654,4,1,11.01,63.3353,-70.3905
25155698,4,1,8.29,63.4129,-70.5068
25194865,4,1,8.26,63.9506,-66.2181
25194908,4,1,12.46,63.9031,-66.3520
25194993,4,1,10.79,64.0250,-66.6544
25195362,4,1,12.76,63.9586,-67.9232
25195446,4,1,11.75,63.8134,-68.1669
25195455,4,1,10.80,63.7612,-68.2000
25195623,4,1,8.70,63.7550,-68.7340
25195850,4,1,13.17,63.7492,-69.4837
25195864,4,1,10.46,63.7538,-69.5367
25196278,4,1,10.02,63.8644,-70.8406
25196356,4,1,8.49,63.7788,-71.1330
25200252,1,3,10.96,326.6919,-21.2968
25202805,1,3,11.66,326.7558,-21.4573
25203094,1,3,11.93,326.7462,-22.2784
25225977,1,3,12.29,326.8668,-22.6440
25229301,1,3,12.37,327.0473,-22.2539
25229462,1,3,11.73,327.0055,-22.6466
25229956,1,3,18.15,327.2251,-23.8488
25230196,1,3,17.21,327.2054,-23.1131
25230545,1,3,8.40,327.1770,-22.1256
25242860,1,3,11.64,327.0988,-21.2777
25245547,1,3,15.35,327.2481,-21.8842
25245570,1,3,14.74,327.2564,-21.9304
25245922,1,3,7.95,327.2794,-22.8184
25246676,1,3,9.24,327.4053,-22.7478
25282940,1,3,8.86,327.5852,-21.2769
25300088,1,3,13.26,327.8045,-21.1179
25300673,1,3,12.27,327.7804,-22.7624
25350244,1,3,12.26,328.0054,-21.9161
25351345,1,3,8.55,328.1373,-22.6800
25351750,1,3,12.29,328.1613,-21.5296
25355566,1,3,8.99,328.4157,-21.8608
25358020,1,3,9.59,328.5134,-21.1704
25375553,1,3,9.78,328.7678,-22.6126
25375770,1,3,5.92,328.8635,-23.2895
25375915,1,3,8.19,328.8473,-23.7353
29189037,1,4,8.10,312.6290,-29.0170
29253938,1,4,8.16,312.6656,-27.9769
29260474,1,4,6.66,312.9108,-29.4427
29281992,1,4,2.53,312.9553,-26.9191
29344151,1,4,8.25,313.1601,-26.9207
29344935,1,4,13.24,313.2155,-25.6874
29388651,1,4,4.66,313.5273,-27.9254
29430403,1,4,11.49,313.6250,-29.5279
29430954,1,4,12.05,313.7245,-29.3797
29432055,1,4,8.42,313.7603,-27.4452
29433169,1,4,8.40,313.7890,-25.7020
29475080,1,4,9.06,314.0318,-27.6369
29475293,1,4,17.03,314.0361,-27.2901
29478974,1,4,10.62,314.0817,-26.5888
29492932,1,4,12.02,314.1315,-28.8469
29493647,1,4,8.77,314.2966,-29.8156
29495621,1,4,5.23,314.1980,-26.2968
29499461,1,4,8.34,314.3397,-28.3424
29543573,1,4,8.47,314.5744,-26.3504
29545619,1,4,9.11,314.6605,-25.0575
29583588,1,4,7.45,314.8786,-27.0259
29634122,1,4,8.06,314.9715,-28.9706
29635223,1,4,12.06,315.0158,-28.8644
29638934,1,4,8.45,315.2202,-25.5348
29639766,1,4,8.49,315.2177,-27.0475
29640163,1,4,8.60,315.2128,-27.8285
29668059,1,4,9.31,315.3852,-26.2031
29670036,1,4,14.05,315.4277,-25.0575
29671013,1,4,6.02,315.4388,-26.8812
29716213,1,4,8.72,315.4815,-29.6554
29720182,1,4,8.76,315.7038,-24.8759
29722063,1,4,8.92,315.7041,-28.4970
29753609,1,4,5.46,315.7928,-27.7319
29758639,1,4,7.84,316.0497,-29.1493
29758859,4,1,11.10,64.0859,-66.1371
29759170,4,1,10.53,64.0545,-67.2723
29759268,4,1,17.00,64.3321,-67.5442
29759435,4,1,13.01,64.1682,-68.0255
29759557,4,1,11.56,64.0996,-68.4120
29759800,4,1,10.34,64.2587,-69.1357
29759938,4,1,10.87,64.2168,-69.5228
29760053,4,1,9.52,64.3281,-69.8947
29760316,4,1,11.12,64.2820,-70.8033
29760913,4,1,11.29,64.5265,-71.1270
29761349,4,1,12.12,64.4306,-69.6617
29761402,4,1,10.84,64.5933,-69.4937
29761724,4,1,12.56,64.4080,-68.4044
29762012,4,1,9.51,64.5096,-67.4501
29762078,4,1,8.62,64.5395,-67.2440
29777922,4,1,12.40,64.3764,-66.8273
29778064,4,1,11.82,64.3552,-66.4047
29778225,4,1,7.99,64.8193,-65.9666
29778239,4,1,9.67,64.8283,-66.0429
29778628,4,1,8.97,64.7281,-67.2854
29778632,4,1,11.69,64.8222,-67.3003
29779237,4,1,11.18,64.7190,-69.3261
29779700,4,1,11.99,64.9149,-70.7598
29780360,4,1,11.53,65.1017,-71.0731
29780451,4,1,11.00,65.1722,-70.7979
29780677,4,1,13.23,65.0572,-70.0952
29780740,4,1,14.82,64.9614,-69.8542
29781101,4,1,11.31,65.2124,-68.6928
29781207,4,1,12.38,65.1083,-68.3604
29781292,4,1,8.94,65.2385,-68.1027
29781308,4,1,8.42,65.0573,-68.0734
29781430,4,1,12.59,65.0315,-67.7367
29781832,4,1,11.90,64.9991,-66.3541
29781872,4,1,9.44,65.1933,-66.2131
29821374,1,4,15.41,316.0746,-27.1954
29821613,1,4,8.22,316.1186,-26.7351
29821723,1,4,14.40,316.1742,-26.5072
29822192,1,4,8.62,316.1128,-25.5758
29825720,1,4,8.34,316.2635,-29.1557
29828780,4,1,11.00,66.1665,-70.7304
29828884,4,1,9.69,66.1385,-70.4304
29829265,4,1,8.10,66.2761,-69.3894
