#
# Full target list for orbit 201, sector 97
# Created Thu Nov  6 09:13:54 EST 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1025507,1,2,13.17,33.6706,-8.0387
1028586,1,2,12.90,33.7039,-6.1544
1028594,1,2,7.95,33.7181,-6.1060
1028614,1,2,9.28,33.6506,-5.9423
1028751,1,2,8.28,33.7316,-6.6506
1028794,1,2,11.59,33.8055,-6.9842
1028795,1,2,12.87,33.8182,-6.9877
1028816,1,2,8.44,33.8390,-7.1263
1028829,1,2,12.46,33.8409,-7.1721
1030004,1,2,6.53,33.8679,-9.4666
1030078,1,2,8.33,33.9241,-9.0131
1031299,1,2,10.22,33.9960,-9.4869
1031383,1,2,6.34,34.0681,-9.8215
1031421,1,2,16.05,34.0713,-9.9204
1032642,1,2,12.66,34.1136,-10.4995
1032644,1,2,11.77,34.1124,-10.4993
1034048,1,2,12.23,34.0993,-6.3623
1034389,1,2,4.69,34.2467,-6.4229
1045526,1,2,17.26,34.3353,-6.9412
1045737,1,2,12.19,34.4961,-6.1988
1068428,1,2,8.65,35.5754,-11.1223
1068955,1,2,16.27,35.5913,-8.2053
1098205,1,2,8.84,35.7708,-8.5981
1098494,1,2,5.94,35.6769,-10.2023
1098952,1,2,9.96,35.9037,-10.9375
1111717,1,2,8.09,35.9654,-10.3661
1112857,1,2,8.35,36.0527,-6.7892
1114066,1,2,8.82,36.1615,-11.8302
1114115,1,2,10.72,36.3902,-11.7844
1114345,1,2,8.49,36.2989,-10.4737
1117332,1,2,8.71,36.3501,-8.2325
1119071,1,2,8.08,36.6235,-10.5178
1119096,1,2,10.41,36.5281,-10.3784
1119294,1,2,15.18,36.6163,-9.2642
1119459,1,2,13.14,36.6163,-8.4525
1123472,1,2,8.86,36.8708,-11.1465
1124942,1,2,17.58,36.9988,-9.6012
1127460,1,2,8.12,36.9273,-9.8053
1127571,1,2,9.58,36.9807,-10.4628
1129777,1,2,6.64,37.1941,-11.3470
1130183,1,2,11.44,37.3096,-10.1649
1150453,1,2,14.65,37.4606,-10.3446
3816260,1,4,10.10,10.1351,-6.4810
3836756,1,4,15.51,10.3916,-7.3294
3836983,1,4,11.49,10.4568,-6.0991
3886485,1,4,8.46,10.6568,-6.8647
3888550,1,4,12.72,10.9466,-8.6521
3888769,1,4,8.47,10.9374,-7.5848
3892205,1,4,7.65,11.0566,-7.8879
3894294,1,4,17.39,11.2772,-6.1437
3898381,1,4,13.48,11.4460,-10.5436
3898553,1,4,8.22,11.3636,-9.5442
3899410,1,4,8.14,11.5675,-6.5662
3899738,1,4,8.17,11.5546,-8.3316
3903299,1,4,11.43,11.5921,-10.2809
3904628,1,4,16.97,11.7216,-8.1586
3904662,1,4,11.78,11.7160,-8.3419
3905906,1,4,15.10,11.8727,-8.8306
3921576,1,4,8.90,11.9334,-7.1540
3921746,1,4,11.64,11.8235,-6.4794
3921762,1,4,11.43,11.8805,-6.3670
3922529,1,4,7.22,11.9904,-9.3450
3922848,1,4,8.28,12.0166,-10.8680
3923889,1,4,16.77,12.1663,-8.0096
3924509,1,4,14.23,12.1978,-7.0192
3957601,1,4,8.53,12.3519,-11.7537
3958684,1,4,8.53,12.3115,-6.1701
3959220,1,4,8.03,12.4956,-8.0995
3962869,1,4,4.68,12.5300,-10.6460
3963507,1,4,8.60,12.5679,-9.9062
3964964,1,4,14.74,12.6672,-9.4296
3988388,1,4,5.96,12.9057,-8.8183
3988400,1,4,12.51,12.8804,-8.7702
3988401,1,4,11.91,12.8806,-8.7682
3988786,1,4,9.73,12.8257,-6.9372
3989422,1,4,7.66,12.9609,-8.1655
3990402,1,4,10.90,13.0626,-10.6630
3990629,1,4,15.51,13.0648,-9.4051
3990686,1,4,15.64,13.0638,-9.1430
4007712,1,4,8.04,13.0482,-6.0009
4008073,1,4,10.87,13.1598,-7.8857
4008098,1,4,14.15,13.1692,-7.9857
4008174,1,4,8.18,13.1948,-8.3244
4008360,1,4,8.17,13.2496,-9.2843
4627123,1,2,16.02,37.7265,-10.4573
4627575,1,2,8.84,37.7526,-10.8635
7205332,2,1,17.05,32.0020,-43.7691
7218781,3,2,8.13,32.0954,-46.3732
7219134,3,2,8.69,32.2350,-47.2918
7219876,2,1,4.78,32.2882,-43.5170
7220124,2,1,12.05,32.1804,-42.2417
7220471,2,1,9.43,32.4111,-43.4408
7220927,3,2,8.02,32.3975,-45.7242
7221735,3,2,10.83,32.4866,-45.7727
7222091,2,1,5.54,32.5206,-43.8156
7222629,2,1,11.84,32.7397,-42.7798
7242535,3,2,12.90,32.7233,-46.0643
7242537,3,2,10.38,32.7314,-46.0665
7242783,3,2,10.27,32.6880,-47.5657
7243102,3,2,7.79,32.8202,-46.5851
7244910,3,2,5.53,32.9761,-47.1707
7245573,3,2,8.03,33.1993,-45.2158
7262234,2,1,8.54,33.6629,-44.5609
7263621,2,1,8.37,33.8879,-43.6753
7264867,3,2,8.63,34.0279,-46.8845
7265098,3,2,16.72,34.2164,-47.8891
7295738,3,2,9.91,34.2769,-45.1602
7315511,2,1,13.28,34.5163,-44.0905
7315512,2,1,11.07,34.5161,-44.0894
7317387,3,2,12.32,34.8992,-45.8519
7317388,3,2,12.64,34.8977,-45.8511
7319369,3,2,7.32,35.0961,-46.9240
7319744,3,2,13.09,35.1023,-44.5579
10784960,1,1,5.46,15.4116,-16.2662
10785357,1,1,8.17,15.4741,-14.1309
10785492,1,1,15.09,15.4214,-13.4214
10786436,1,4,8.49,19.9667,-9.9758
10787001,1,4,9.72,20.0862,-10.4375
10787002,1,4,11.54,20.0764,-10.4275
10787084,1,4,6.24,20.0127,-9.8843
10802452,1,1,7.72,20.1353,-11.4687
10802503,1,1,8.62,20.1689,-11.7797
10803442,1,4,5.93,20.3232,-6.1598
10819021,1,4,8.68,20.4126,-8.6243
10820352,1,4,8.75,20.5756,-7.0942
10820870,1,4,9.22,20.6937,-7.9310
10821149,1,4,8.06,20.6678,-9.5864
10835598,1,1,12.67,20.7366,-11.9505
10835890,1,4,11.03,20.7843,-10.1131
10837041,1,4,10.42,20.9221,-8.7021
10838226,1,4,2.67,21.0053,-8.1847
10838265,1,4,6.00,21.0119,-8.0079
10838592,1,3,8.03,25.3176,-6.0373
10839014,1,3,10.84,25.2931,-8.3983
10839173,1,2,8.50,25.3229,-9.3717
10839729,1,2,5.82,25.4373,-11.3277
10839990,1,2,17.65,25.4322,-9.6366
10841335,1,2,9.08,25.5634,-10.2821
10842216,1,3,8.45,25.6270,-8.1255
10843303,1,2,16.33,25.7229,-10.0958
10862194,1,2,8.37,25.8347,-11.0770
10862913,1,3,8.74,25.8865,-6.7108
10863087,1,3,10.39,25.9385,-6.0447
10863225,1,3,10.26,25.9948,-6.9134
10864146,1,2,10.17,26.1710,-11.2044
10864406,1,2,8.56,26.1361,-9.6098
10879648,1,3,5.75,26.1821,-6.7661
10879912,1,3,10.00,26.2083,-8.0963
10880161,1,2,12.59,26.2517,-9.6463
10880669,1,2,16.50,26.3196,-10.9386
10880783,1,2,8.79,26.3973,-10.2796
10880919,1,2,10.66,26.4117,-9.3833
10881375,1,3,16.01,26.3943,-6.6590
10929818,1,3,10.03,26.4856,-7.9065
11488299,2,4,9.19,17.9305,-25.9579
11489563,2,4,13.33,18.0486,-26.2243
11518046,1,1,8.88,18.1253,-23.9287
11518056,1,1,10.76,18.1184,-24.0032
11518057,1,1,9.56,18.1177,-24.0040
11519779,2,4,11.48,18.2618,-24.7716
11519781,2,4,11.88,18.2490,-24.7679
11528274,2,4,8.75,18.5365,-24.4034
11528365,1,1,10.70,18.6677,-23.9609
11529003,2,4,8.35,18.6122,-27.8089
11555844,2,4,9.60,19.4072,-24.1817
11555893,2,4,9.91,19.5207,-24.5311
11557292,2,4,14.18,19.5291,-27.4841
11557436,2,4,8.63,19.5433,-26.8627
11558146,2,4,15.44,19.7009,-25.4862
11558750,2,4,9.02,19.7143,-28.8693
11568164,2,4,8.51,19.8750,-28.0733
11568422,2,4,11.05,19.8642,-26.3652
11568476,2,4,9.37,19.8940,-25.9381
11568615,2,4,11.28,19.8282,-25.0889
11569593,2,4,12.53,19.9514,-28.8056
11569594,2,4,10.66,19.9662,-28.8086
11569869,2,4,8.16,20.1025,-29.5999
11598511,2,4,8.57,20.4277,-26.6683
11599080,2,4,8.90,20.5410,-24.3662
11613069,2,4,12.84,20.5409,-26.9080
11613593,2,4,15.97,20.6708,-29.8806
11614280,2,4,14.23,20.7154,-25.9390
11614297,2,4,10.66,20.6839,-25.7854
11614485,2,4,11.62,20.7132,-24.6650
11637334,2,4,8.92,21.0932,-28.0499
11637549,2,4,12.75,21.0089,-29.5487
11638054,2,4,9.09,21.1827,-27.1424
11645419,2,4,8.70,21.1341,-25.3197
11645757,2,4,12.48,21.3632,-24.5820
11645758,2,4,12.89,21.3648,-24.5822
11645994,2,4,14.74,21.3538,-26.0161
11646278,2,4,18.05,21.3082,-27.4900
11646496,2,4,8.18,21.3655,-28.7823
11646610,2,4,15.49,21.2764,-29.5072
11647020,2,4,16.06,21.3890,-27.8847
11648089,2,4,9.92,21.5508,-26.2946
11648090,2,4,9.68,21.5371,-26.2962
11649826,2,4,8.35,21.9009,-25.3327
11650529,2,4,9.07,21.7967,-29.7367
11650843,2,4,7.24,22.0314,-28.0508
11652076,2,4,9.10,22.0742,-27.5710
11652229,2,4,8.56,22.1378,-28.5933
11652846,2,4,12.41,22.1933,-27.5873
11652849,2,4,10.64,22.1951,-27.5641
11652986,2,4,13.44,22.2284,-26.7121
11653014,2,4,9.88,22.1971,-26.5500
11688264,2,4,8.12,22.1942,-24.3405
11688606,2,4,5.43,22.4287,-25.6177
24186999,1,4,13.09,14.5281,-7.5896
24207200,1,4,5.60,14.6907,-5.8834
24207247,1,4,9.25,14.6496,-6.1495
24208171,1,4,4.78,14.6825,-11.3801
24208577,1,4,8.64,14.7395,-9.8734
24225890,1,4,9.71,14.9136,-11.9337
24226684,1,4,9.03,15.0242,-7.4413
24226766,1,4,12.69,15.0869,-6.8584
24227072,1,4,12.79,15.1048,-6.8396
24227217,1,4,18.12,15.2203,-7.7363
24247955,1,4,5.60,15.3932,-6.7995
24247970,1,4,11.00,15.4290,-6.8776
24247972,1,4,11.74,15.4328,-6.8851
24248404,1,4,8.43,15.3683,-9.4303
24248926,1,4,8.46,15.4816,-11.5630
24249170,1,4,16.95,15.5672,-10.2512
24250134,1,4,8.33,15.6017,-6.7058
24250351,1,4,8.35,15.6146,-8.0257
24250771,1,4,9.91,15.6308,-10.0722
24250773,1,4,11.09,15.6318,-10.0754
24251953,1,4,12.40,15.8225,-7.4908
24252344,1,4,14.14,15.8526,-6.5376
24268748,1,4,18.02,15.9753,-11.4656
24270013,1,4,11.35,16.1587,-7.5078
24270405,1,4,8.45,16.1842,-10.0587
24295724,1,4,12.10,16.2579,-10.8969
24884883,1,2,13.53,27.0296,-10.7699
24908871,1,3,12.94,27.0154,-5.9295
24908875,1,3,16.33,27.0936,-5.9269
24908944,1,3,11.39,27.0832,-6.4077
24908945,1,3,11.13,27.0850,-6.4115
24909374,1,2,8.16,27.0579,-9.2404
24910325,1,2,12.87,27.3546,-10.2576
24910326,1,2,12.52,27.3606,-10.2603
24910401,1,2,6.15,27.3461,-10.7042
24910593,1,2,8.19,27.4387,-11.9059
24910738,1,2,4.39,27.3952,-10.6871
24921216,1,3,10.71,27.4279,-7.5216
24921351,1,3,8.42,27.5045,-6.7164
24921603,1,3,6.54,27.5660,-6.7038
24921718,1,3,10.95,27.5336,-7.4229
24922044,1,2,15.68,27.6087,-9.7076
24923308,1,3,11.27,27.7710,-6.1200
24923821,1,2,10.56,27.8177,-9.1221
24924016,1,2,2.77,27.8654,-10.3353
24925021,1,3,5.36,27.9075,-6.8742
24925732,1,2,8.97,28.0159,-9.5814
24926306,1,2,11.55,28.2148,-10.5695
24926308,1,2,11.27,28.2177,-10.5629
24926326,1,2,8.48,28.1338,-10.4616
24926329,1,2,15.11,28.2065,-10.4528
24926727,1,2,9.52,28.1273,-8.1979
24927235,1,3,9.59,28.2884,-6.2851
24927833,1,2,13.55,28.2610,-9.9388
24941598,1,2,11.55,28.7174,-7.8369
24941601,1,2,12.20,28.6462,-7.7932
24942376,1,2,10.33,28.7771,-8.4399
24954856,1,2,8.25,28.8846,-8.6016
24955141,1,3,16.32,28.8716,-6.8274
24955396,1,3,8.59,29.2796,-6.7378
24978373,1,2,5.68,29.2874,-10.2442
24979702,1,2,5.47,29.6922,-11.3016
24979811,1,2,9.22,29.5963,-10.4661
24980244,1,2,12.69,29.6778,-7.6325
24980421,1,3,16.91,29.6709,-6.4782
25001358,1,2,10.28,30.0541,-8.6815
25001474,1,2,10.30,29.9753,-9.5046
25002134,1,2,13.73,30.1515,-10.1298
25002411,1,2,2.73,30.1124,-8.5240
25003158,1,2,11.71,30.4348,-10.2897
25003448,1,2,12.75,30.4060,-8.1171
25003871,1,3,8.79,30.4919,-6.1183
25004100,1,2,12.71,30.4621,-7.4499
25004643,1,2,13.09,30.5447,-11.1587
25004866,1,2,11.44,30.6089,-11.1682
25030847,1,2,11.54,30.6247,-9.1940
25030985,1,2,13.49,30.6562,-8.5966
25031408,1,2,17.05,30.6032,-7.2117
25031798,1,3,10.51,30.6256,-6.0668
25031800,1,3,10.95,30.5968,-6.0654
25034169,1,2,8.46,30.8113,-10.4292
25062277,1,2,10.58,31.0096,-7.0700
25062534,1,2,8.21,30.9268,-8.4997
25063314,4,2,9.17,59.8954,-71.1685
25064632,4,2,17.25,60.0257,-66.9210
25078523,4,2,17.63,60.4849,-70.5946
25078924,4,2,10.71,60.9310,-65.9728
25080230,4,2,11.51,60.8230,-70.0698
25080437,4,2,10.76,60.8207,-70.7612
25081629,4,2,14.10,61.1867,-68.9049
25081729,4,2,11.90,61.2299,-68.5370
25116119,4,2,9.71,61.2767,-66.8057
25116373,4,2,8.07,61.2365,-65.9500
25116563,4,2,10.79,61.5050,-66.5541
25117273,4,2,9.19,61.3880,-69.4004
25117741,4,2,11.18,61.5952,-71.2161
25117804,4,2,14.88,61.4648,-71.4448
25117837,4,2,14.70,61.4247,-71.5487
25118083,4,2,12.88,61.7410,-71.5638
25118084,4,2,10.42,61.7460,-71.5633
25118797,4,2,9.29,61.9398,-69.0526
25118964,4,2,12.03,61.9334,-68.4196
25131889,4,2,12.13,62.2077,-67.1806
25131892,4,2,11.42,62.2069,-67.1822
25132265,4,2,9.04,62.1424,-68.5117
25132314,4,2,8.03,62.1286,-68.7022
25132694,4,2,9.21,61.9839,-70.2252
25132999,4,2,10.81,62.0298,-71.4495
25133286,4,2,13.58,62.2986,-71.2948
25133604,4,2,13.20,62.3284,-70.0039
25134376,4,2,8.94,62.4961,-67.3280
25134377,4,2,8.32,62.5144,-67.3263
25152787,4,2,14.40,63.0522,-71.5831
25153167,4,2,13.57,63.0755,-70.1657
25155310,4,2,10.61,63.3752,-69.2264
25155698,4,2,8.29,63.4129,-70.5068
25155713,4,2,10.57,63.3202,-70.5551
25155984,4,2,9.75,63.3166,-71.5565
25195864,4,2,10.46,63.7538,-69.5367
25195904,4,2,16.39,63.8437,-69.6936
25196356,4,2,8.49,63.7788,-71.1330
25398840,1,1,12.19,22.6186,-13.4212
25399365,1,1,11.44,22.6235,-16.4058
28116948,2,4,8.46,23.7381,-22.8875
28117051,1,1,12.64,23.8396,-22.2443
28117369,1,1,8.35,23.7979,-20.2619
28128147,1,1,8.77,24.0621,-21.6280
28128509,1,1,15.75,23.9929,-19.4734
29759042,4,2,14.31,64.1999,-66.8369
29759268,4,2,17.00,64.3321,-67.5442
29762078,4,2,8.62,64.5395,-67.2440
