#
# Full target list for orbit 209, sector 99
# Created Wed Dec  3 19:22:25 EST 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
779276,1,3,11.67,134.7439,-5.2442
779824,1,3,14.02,134.8065,-3.9934
816793,1,3,15.54,134.8049,-0.9794
816939,1,3,8.04,134.7755,-0.6239
817823,1,3,8.53,134.9238,-1.6121
820148,1,3,8.09,135.0688,-4.9368
820363,1,3,9.41,135.0610,-4.4690
821838,1,3,11.94,135.0627,-0.9182
860419,1,3,11.50,135.2026,-4.1268
862047,1,3,12.02,135.2039,-4.1264
863860,1,3,8.13,135.5781,-0.1506
885808,1,1,8.18,127.0842,-16.7207
890962,1,4,8.39,127.0433,-13.2339
892149,1,3,13.48,135.5720,-4.1154
894262,1,3,9.05,135.8710,-3.3582
916498,1,3,8.54,136.0392,-2.9829
918893,1,3,15.71,136.0557,-2.8757
919245,1,3,8.19,136.0754,-3.7485
972858,1,3,8.79,136.1860,-1.1292
1003831,1,1,10.67,130.2951,-16.0364
1004005,1,1,8.29,130.2753,-16.2091
1005021,1,1,8.10,130.2256,-17.3392
1031929,1,1,9.53,130.4047,-16.6474
1033135,1,1,3.98,130.4306,-15.9441
1038216,1,4,6.32,130.5407,-11.9661
1038605,1,4,9.22,130.4858,-12.4995
1039707,1,1,8.01,130.4855,-13.9191
1084245,1,1,12.29,130.9265,-25.1197
1103432,1,1,12.83,130.5814,-17.1894
1107885,1,1,15.12,130.7000,-13.7872
1137448,1,1,8.11,131.1866,-25.1352
1138567,1,1,8.19,131.0743,-24.2408
1139748,1,1,16.43,131.2500,-24.5678
1190934,1,1,8.42,136.0163,-16.8852
1191321,1,1,5.25,135.9374,-17.4967
1193387,1,1,8.25,136.0468,-15.2042
1194496,1,1,7.99,136.1669,-13.2557
1228170,1,1,5.56,137.1856,-16.2778
1232360,1,1,10.82,137.3145,-12.6049
1232485,1,1,4.95,137.2981,-12.3577
1258971,1,1,8.31,137.5572,-15.0139
1259961,1,1,8.52,137.5822,-13.1686
1260235,2,4,12.24,131.4076,-26.5031
1261860,1,1,6.01,131.4550,-25.3880
1267523,2,4,5.79,131.5419,-26.6128
1338424,1,1,16.48,137.9746,-13.6089
1340650,1,1,8.18,137.9871,-17.5539
1349312,2,4,9.03,131.6220,-26.8736
1352449,1,1,13.84,131.6102,-24.5912
1359495,1,2,3.98,139.9430,-11.9748
1360104,1,2,16.18,140.0925,-13.2589
1399933,1,2,5.86,140.2318,-15.6186
1401516,1,2,8.34,140.2168,-12.5614
1402874,1,2,8.54,140.3452,-13.8580
1441866,1,2,10.12,142.7139,-16.4037
1441869,1,2,11.90,142.7147,-16.3966
1442449,1,2,16.55,142.6490,-15.2592
1445971,1,2,8.16,146.7623,-16.8198
1446147,1,2,5.15,146.8084,-17.2059
1472576,1,2,16.31,146.8962,-13.9349
1474501,1,2,17.43,147.0486,-14.6621
1474551,1,2,11.58,147.0692,-14.7958
1474552,1,2,11.35,147.0674,-14.7964
1474831,1,2,8.21,147.0154,-15.4208
1503583,1,1,8.07,131.9091,-24.3938
1522726,1,2,8.30,149.3879,-13.2135
1524976,2,3,9.76,153.5418,-17.1685
1538422,1,4,8.41,130.9912,-3.2178
