#
# Full target list for orbit 213, sector 101
# Created Wed Feb 11 13:46:04 EST 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1628071,1,3,3.99,188.0144,-16.1964
1650025,1,3,9.40,188.2020,-16.5770
5630042,1,4,16.25,178.9281,-23.5659
5647251,1,4,11.60,178.9385,-18.9111
5648410,1,4,9.03,178.9977,-20.6372
5649509,1,4,15.63,179.0627,-23.8627
5714469,1,4,13.73,179.2004,-22.4894
5797560,1,3,8.94,187.2754,-22.7289
5816844,1,3,14.71,187.3468,-18.1355
5867325,1,3,14.63,187.6044,-19.5914
5868840,1,3,3.95,187.5725,-23.6964
5868998,1,3,13.94,187.7819,-23.7738
5869755,1,3,8.10,187.6968,-21.6422
5870216,1,3,8.10,187.7615,-20.3143
5877537,1,3,8.71,187.8007,-18.9965
5878609,1,3,11.30,187.8257,-22.1921
5881491,1,3,8.53,188.1510,-18.3494
5911169,1,3,5.47,188.1356,-21.2125
5911256,1,3,16.36,188.0777,-21.5048
5914116,1,3,17.87,193.2634,-18.4645
5915129,1,3,17.04,193.3437,-20.1816
5915144,1,3,8.13,193.2909,-20.2147
5966772,1,3,10.48,193.3980,-23.1200
5966788,1,3,8.18,193.2776,-23.1663
5970086,1,3,5.11,193.6257,-20.0981
5982485,1,3,8.14,193.7774,-19.4751
5984440,1,3,8.07,193.8494,-21.7496
5985469,1,3,9.26,193.9732,-23.5965
6012158,1,3,9.02,194.1645,-21.0702
9277748,1,3,4.55,190.8046,-24.9906
9279365,1,3,15.59,190.8789,-25.4322
9331851,1,2,4.29,191.0020,-28.3242
9334938,1,3,8.10,191.1490,-26.9055
9337741,1,2,8.29,191.3342,-29.7818
9339369,1,2,8.66,191.2306,-28.4015
9384703,1,3,9.49,191.5920,-25.2874
9385460,1,3,12.53,191.7028,-24.4274
9389532,1,3,8.12,191.8031,-25.9930
9436181,1,3,6.46,191.9732,-24.8514
9436243,1,3,5.89,191.9719,-25.0156
9438270,1,2,5.59,191.9250,-29.7952
9439284,1,2,12.54,192.0836,-27.8072
9439286,1,2,12.07,192.0810,-27.8051
9439380,1,2,4.81,192.1081,-27.5978
9467408,1,2,8.10,192.2941,-28.8552
9469264,1,3,9.00,192.3891,-24.3135
9481811,1,3,8.18,192.7685,-26.4514
9560142,1,2,13.04,193.0999,-29.2487
9560564,1,2,11.13,193.1710,-28.4146
9560567,1,2,9.73,193.1703,-28.4112
9560965,1,2,14.69,193.1013,-27.6966
9561716,1,3,5.68,193.1846,-26.0034
9565470,1,2,8.15,193.3550,-29.3185
9591460,1,3,8.38,193.5049,-25.7537
14614418,1,4,13.39,173.9574,-29.1561
14661267,1,4,8.10,174.0382,-29.1778
14661418,1,4,12.48,174.0100,-29.5434
14663544,1,4,5.65,174.1897,-24.4394
14664559,1,4,8.76,174.3530,-26.4757
14680532,1,4,12.80,174.3712,-28.1619
14683365,1,4,8.42,174.5176,-27.3323
14684028,1,4,14.75,174.6198,-29.1153
14715294,1,4,13.12,174.7522,-29.8421
14717198,1,4,5.62,174.7521,-24.7229
14717912,1,4,14.31,174.7926,-25.3488
15356717,2,4,12.48,185.1070,-47.9006
15356720,2,4,14.24,185.1157,-47.9033
15359619,2,4,10.26,185.0780,-48.9459
15363163,2,4,12.53,185.1081,-50.0860
15365585,2,4,8.27,185.1193,-50.7791
15367231,2,4,7.51,185.0804,-51.2187
15370489,2,4,8.44,185.1127,-51.9740
15371740,2,4,9.58,185.1839,-52.2570
15444490,2,4,8.79,185.3182,-53.2959
15445551,2,4,10.35,185.3247,-52.8408
15446998,2,4,10.59,185.2833,-52.2064
15449742,2,4,15.98,185.2424,-50.9102
15452001,2,4,9.15,185.3908,-49.6251
15520413,2,4,8.62,185.3532,-49.0089
15521702,2,4,13.85,185.2943,-48.2223
