#
# Full target list for orbit 217, sector 103
# Created Tue Mar 24 16:20:19 EDT 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1456471,1,2,8.55,246.0852,-51.1414
1871365,1,2,8.42,246.0240,-50.3703
2322864,1,2,8.36,246.1053,-48.3844
2323229,1,2,9.92,246.0518,-49.1287
2743109,1,2,7.98,246.2429,-48.6016
2924643,1,3,12.81,243.4954,-38.7525
2926575,1,3,11.26,243.6097,-38.1334
2929308,1,3,12.45,243.5841,-37.2131
2929964,1,3,11.16,243.6418,-36.9797
2998220,1,3,10.78,243.6991,-39.1204
2999849,1,3,7.66,243.6588,-39.5870
3084057,1,3,13.69,243.8398,-41.8551
3084844,1,3,8.45,243.9046,-41.6499
3178710,1,2,14.37,246.1566,-49.7427
3239564,1,3,8.03,244.7416,-41.6660
3243257,1,3,8.50,244.8116,-40.8210
3412422,1,3,10.30,244.9398,-36.7628
3424849,1,3,17.16,244.8705,-40.1168
3528956,1,3,16.76,244.9830,-41.0177
3649916,1,3,6.00,245.0610,-39.6299
3650509,1,3,6.98,245.0513,-39.5007
3650784,1,3,6.22,245.1358,-39.4307
3657908,1,3,14.66,245.0064,-37.5226
3728481,1,3,10.17,245.2244,-38.6903
3731746,1,3,17.30,245.2203,-39.4608
3828928,1,3,14.14,245.1468,-41.5419
3834439,1,3,17.28,245.3907,-41.1438
3834874,1,3,17.16,245.3988,-41.0460
3926262,1,3,9.66,245.3007,-40.5059
3938364,1,3,10.60,245.4292,-37.7636
4030832,1,1,9.11,246.1889,-53.4644
4040541,1,1,15.63,246.1912,-53.7367
4050156,1,3,8.00,245.3812,-36.2072
4050661,1,3,16.40,245.3993,-36.0582
4061225,1,3,9.67,245.5691,-38.7110
4307367,1,3,14.62,245.6915,-37.7327
4307559,1,3,12.35,245.5956,-37.6791
4313704,1,3,14.16,245.8014,-35.9188
4392712,1,3,5.70,245.7811,-37.4249
4394070,1,3,13.95,245.8110,-37.7969
4400550,1,3,11.28,245.8917,-39.2295
4402406,1,3,10.62,245.7442,-39.5575
4404604,1,3,10.25,245.8730,-39.9671
4471586,1,2,8.52,246.3558,-51.8736
4534239,1,3,9.10,245.8095,-40.5483
5331536,1,2,10.74,246.4420,-49.0413
5741908,1,2,8.20,246.6448,-48.1253
5746604,1,2,13.60,246.6485,-48.4877
6185136,1,2,16.81,246.6325,-49.4882
6631253,1,2,9.33,246.6557,-50.7137
7038369,1,2,9.54,246.5881,-51.7990
7043322,1,2,14.78,246.6521,-51.9419
7129726,4,4,9.09,4.2239,-43.5406
7143811,4,4,9.02,4.1097,-47.8684
7146022,4,4,7.00,4.6221,-46.5320
7146534,4,4,5.28,4.6778,-43.2356
7146752,4,4,14.89,4.7311,-42.0521
7147484,4,4,5.35,4.8356,-46.4990
7147915,4,4,9.35,5.0277,-46.7359
7148510,4,4,8.03,4.9072,-43.0821
7150628,4,4,13.86,5.2973,-42.7612
7152332,4,4,8.32,5.5810,-44.6492
7153462,4,4,9.10,5.7527,-45.4865
7725924,1,3,16.20,233.9228,-35.0773
7949784,1,3,8.44,234.2138,-35.1760
7950617,1,3,14.30,234.3168,-35.6692
7951228,1,3,13.91,234.4707,-35.8748
7951703,1,3,17.57,234.3598,-35.5971
7952882,1,3,13.04,234.3679,-34.8771
8012514,1,3,17.30,234.5645,-35.0609
8012520,1,3,16.07,234.5642,-35.0621
8159414,1,3,10.78,234.8656,-34.7716
8159415,1,3,12.58,234.8677,-34.7718
8162742,1,3,11.16,234.9140,-35.1631
8163258,1,3,11.02,234.9431,-34.8509
8163483,1,3,8.46,234.9706,-34.6570
8285625,1,3,13.04,235.2937,-34.9130
8373635,1,3,12.30,235.4088,-34.4954
8373638,1,3,12.27,235.4120,-34.4970
8373961,1,3,12.61,235.3410,-34.6711
8417638,1,3,13.09,235.3526,-35.5494
8418378,1,3,12.03,235.5336,-35.9647
8419033,1,3,10.33,235.4878,-35.5893
8420443,1,3,8.00,235.4715,-34.8891
8511113,1,3,4.91,235.6707,-34.7106
8513057,1,3,8.01,235.6221,-35.7607
9247779,1,2,8.61,246.8911,-48.7608
9252368,1,2,10.40,247.0112,-48.6161
9252390,1,2,14.29,246.8949,-48.7628
11390674,1,2,13.52,247.2157,-51.6233
11856739,1,2,9.03,247.1265,-49.3515
11856757,1,2,11.81,247.1755,-49.4144
11866782,1,2,12.67,247.1563,-49.1614
11870198,1,2,12.74,247.1571,-49.1608
12271447,1,2,18.55,247.0451,-48.6489
12747481,1,2,8.82,247.3114,-48.9553
13173449,1,2,5.85,247.3445,-51.5685
13182985,1,2,8.17,247.3657,-50.0353
14471019,1,2,13.07,247.4794,-51.8019
14572482,1,2,8.11,243.9664,-47.5741
14698209,1,3,5.81,244.0377,-43.1256
14782377,1,3,13.10,244.0033,-42.4741
14791349,1,3,16.82,244.1289,-42.9474
14796478,1,3,16.18,244.1802,-43.6921
14935645,1,2,16.41,244.0781,-45.0558
14939457,1,2,9.48,244.1483,-45.5442
15161212,1,2,4.13,244.5727,-46.4499
15166556,1,2,8.80,244.5971,-45.8404
15263641,1,2,13.62,244.6902,-44.6780
15346334,1,2,16.21,247.4363,-49.0706
15639897,1,2,8.92,263.6594,-47.3274
16233564,1,2,8.05,263.6997,-47.3669
16264917,1,2,13.45,247.6431,-49.4142
16661754,1,2,16.48,247.6644,-51.4702
16669266,1,2,16.39,247.6282,-51.6043
17120248,1,2,16.28,247.6049,-52.7933
17519911,1,2,13.50,247.8277,-52.8176
17524877,1,2,8.15,247.8232,-53.0805
17528840,1,2,10.19,247.9204,-51.8301
18410615,1,2,15.51,247.9513,-48.8169
18827544,1,2,11.50,247.9777,-48.4288
21520117,1,2,16.76,248.1933,-48.9746
21522516,1,2,10.98,248.1664,-49.7038
21527567,1,2,5.73,248.3012,-49.5893
21938862,1,2,16.01,248.1815,-48.1604
22351385,1,2,11.28,248.4188,-48.9689
23240109,1,2,14.28,248.3863,-52.3806
23240345,1,2,8.98,248.4574,-52.6243
23240716,1,2,5.83,248.3997,-53.2006
24985783,1,2,9.32,248.5209,-48.9396
25438778,1,2,8.28,248.7115,-48.9974
25443511,1,2,8.02,248.7186,-47.9898
26292113,1,2,8.02,248.8507,-51.1113
26710806,1,2,7.27,248.8334,-53.6473
27116725,1,2,16.01,249.0151,-52.5591
28317917,1,3,14.02,247.0569,-38.4166
28324536,1,3,4.83,247.0604,-37.1801
28534859,1,3,16.53,247.1230,-39.9028
28535117,1,3,13.20,247.2222,-39.9522
28625452,1,3,8.18,247.3059,-41.1118
28626498,1,3,16.56,247.3148,-40.9644
28725672,1,3,16.15,247.3050,-37.6060
28880779,1,2,14.56,249.1285,-50.7810
28931161,1,3,17.04,247.5183,-40.3580
29032885,1,3,17.14,247.6355,-41.9183
29144356,1,3,8.01,247.5596,-40.0380
29149209,1,3,9.09,247.6668,-39.2180
29243246,1,3,17.00,247.6699,-37.6125
29253292,1,3,8.54,247.7732,-36.1060
29321953,1,2,16.11,249.1826,-51.4402
29362377,1,3,8.27,247.7985,-38.3832
29461634,1,3,11.51,247.8082,-40.1372
29461636,1,3,11.59,247.8086,-40.1379
29462212,1,3,10.76,247.8271,-40.2307
29562411,1,3,16.01,247.7355,-41.8852
29572009,1,3,16.39,247.9287,-40.8195
29575355,1,3,16.53,247.9770,-40.3515
29576257,1,3,5.87,247.9182,-40.2250
29576345,1,3,9.29,247.8754,-40.2110
29644486,1,3,16.01,247.8594,-39.3995
