#
# Full target list for orbit 223, sector 106
# Created Wed Jun  3 13:17:33 EDT 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
589445,4,3,10.55,71.6466,-29.5237
589448,4,3,10.11,71.6506,-29.5206
589826,4,3,6.02,71.6072,-28.0873
589906,4,3,8.52,71.6602,-27.7681
590274,4,3,7.47,71.7066,-26.3025
592638,4,3,8.21,71.7569,-29.7614
593228,4,3,9.22,71.8470,-27.8420
593230,4,3,8.28,71.8449,-27.8404
593428,4,3,14.44,71.8753,-27.1212
594723,4,3,13.14,72.0972,-24.8380
595087,4,3,12.63,72.0055,-26.0498
595279,4,3,9.08,72.0788,-26.8538
595564,4,3,14.53,71.9883,-27.7830
608932,4,3,8.30,72.1556,-24.9420
609330,4,3,16.72,72.2651,-24.2104
610232,4,3,8.81,72.3151,-27.1760
610481,4,3,11.95,72.3650,-28.0126
610482,4,3,12.65,72.3582,-28.0144
611150,4,3,14.16,72.4402,-29.4107
612870,4,3,12.87,72.6371,-24.2225
613374,4,3,8.31,72.6208,-26.0279
614129,4,3,8.75,72.5915,-28.6029
614556,4,3,8.04,72.6756,-29.7783
615133,4,3,8.10,72.7662,-27.5198
615165,4,3,13.25,72.7666,-27.4301
624458,4,3,12.23,72.8596,-26.3454
624460,4,3,12.75,72.8584,-26.3476
626529,4,3,16.47,72.9737,-25.8208
627018,4,3,12.11,72.9427,-24.0029
627296,4,3,8.52,73.0980,-24.7611
663735,4,3,12.82,73.1663,-27.3068
671393,4,3,12.04,73.4005,-28.5931
672614,4,3,14.48,73.4768,-27.0962
672624,4,3,8.12,73.5056,-27.0563
674490,4,3,14.56,73.6409,-27.0282
674797,4,3,9.15,73.6071,-28.1663
675445,4,3,8.55,73.7062,-29.5618
681678,4,3,6.47,73.8759,-25.7276
682491,4,3,7.11,73.9262,-28.5656
682778,4,3,15.18,73.8997,-29.4827
683071,4,3,8.38,74.0372,-29.4635
684070,4,3,10.26,74.0875,-25.8819
684071,4,3,12.84,74.0893,-25.8791
709290,4,3,13.54,74.0322,-25.0694
709603,4,3,8.25,74.0518,-24.1466
710187,4,3,8.67,74.1013,-25.6415
710783,4,3,12.66,74.1485,-27.6802
711914,4,3,14.35,74.3059,-28.1313
712284,4,3,17.07,74.2654,-26.8349
736554,4,3,17.11,74.4114,-26.3439
736837,4,3,14.81,74.4059,-27.3822
737327,4,3,9.15,74.3700,-29.1630
740069,4,3,8.19,74.6323,-26.9271
767526,4,3,5.70,74.6384,-28.8878
767943,4,3,8.07,74.8762,-29.3352
768070,4,3,11.19,74.7621,-28.8918
770004,4,3,8.03,74.8995,-25.3694
770554,4,3,15.97,74.9343,-27.2431
770660,4,3,8.18,74.9015,-27.6095
770819,4,3,12.03,74.9214,-28.2226
770820,4,3,11.25,74.9217,-28.2264
778358,4,3,10.65,75.2093,-28.0650
778665,4,3,17.05,75.1660,-29.0297
778852,4,3,13.70,75.2268,-29.6894
1167254,4,3,11.31,70.9347,-32.9853
1167538,4,3,10.01,70.9976,-31.9067
1168117,4,3,15.97,71.1218,-30.3625
1196437,4,2,15.84,71.1137,-35.2964
1196529,4,2,8.56,71.1049,-35.7310
1196779,4,2,8.64,71.1745,-35.0329
1197247,4,3,15.99,71.1695,-32.9973
1197421,4,3,15.56,71.2735,-32.3182
1198195,4,3,8.06,71.4063,-30.6626
1218002,4,2,14.84,71.4137,-35.7100
1219543,4,3,15.14,71.4705,-32.7292
1222410,4,3,8.88,71.6509,-33.5285
1223574,4,2,8.97,71.8170,-35.6987
1224672,4,3,9.05,71.8501,-33.1590
1224695,4,3,11.97,71.8484,-33.1227
1233347,4,3,14.82,71.7285,-30.1279
1233421,4,3,5.41,71.9568,-30.0197
1235623,4,3,8.07,72.1040,-32.8703
1251436,4,3,5.71,72.2991,-34.3120
1252771,4,3,15.97,72.5566,-30.4323
1252996,4,3,8.62,72.5569,-31.2083
1272684,4,3,17.71,72.6105,-33.3467
1273249,4,3,10.07,72.6749,-31.2751
1274216,4,3,8.81,72.8280,-31.9782
1274876,4,3,8.16,72.7027,-34.2310
1274935,4,3,11.65,72.8131,-34.4183
1308855,4,3,5.75,72.8678,-34.9064
1309019,4,3,13.77,72.9006,-34.2262
1309335,4,3,12.15,72.9211,-32.9981
1309343,4,3,12.56,72.9353,-32.9791
1312638,4,3,10.30,73.1814,-34.4375
1333933,4,3,13.96,73.3553,-32.8003
1333943,4,3,8.96,73.2682,-32.8371
1334395,4,3,16.45,73.3359,-34.5797
1334706,4,3,8.92,73.3930,-35.7272
1335010,4,3,13.09,73.5335,-35.0145
1335183,4,3,16.21,73.5244,-34.4182
1353822,4,3,12.38,73.5433,-30.6094
1354894,4,3,16.24,73.6686,-34.4467
1357036,4,3,9.74,73.7973,-30.0143
1357038,4,3,12.41,73.7993,-30.0129
1357792,4,3,12.60,73.8293,-32.2059
1364042,4,3,11.73,73.9110,-33.7987
1365293,4,3,11.14,74.0785,-33.6362
1366128,4,3,13.54,73.9870,-30.9114
1367860,4,3,12.70,74.1433,-34.5401
1367862,4,3,12.48,74.1422,-34.5407
1395782,4,3,12.49,74.2565,-35.6262
1395853,4,3,11.36,74.2535,-35.4035
1395857,4,3,10.90,74.2640,-35.3918
1396359,4,3,8.14,74.2803,-33.6832
1396655,4,3,14.19,74.3372,-32.7183
1396903,4,3,9.15,74.3125,-31.8854
1398139,4,3,13.97,74.4398,-31.8488
1398159,4,3,16.68,74.4150,-31.9220
1398422,4,3,8.48,74.4811,-32.8135
1398498,4,3,5.96,74.4360,-33.0691
1399339,4,3,16.85,74.5701,-35.9082
1399775,4,3,8.96,74.6429,-34.3636
1437448,4,3,8.86,74.5886,-33.6858
1438316,4,3,8.02,74.5613,-30.9593
1439071,4,3,11.94,74.7555,-30.9997
1439586,4,3,11.97,74.6882,-32.5918
1439587,4,3,11.17,74.6886,-32.5930
1440684,4,3,8.11,74.8257,-35.6707
1441057,4,3,12.50,74.9136,-34.4484
1441539,4,3,12.98,74.8076,-32.7172
1441682,4,3,5.58,74.8303,-32.2390
1447223,4,3,12.03,74.8548,-30.9323
1449640,4,3,11.92,75.1716,-35.2027
1449937,4,3,13.87,75.2022,-34.2134
1450147,4,3,16.44,75.1027,-33.5116
1450543,4,3,17.03,75.1336,-32.1347
1450635,4,3,8.22,75.2109,-31.8758
1450658,4,3,7.96,75.1013,-31.8133
1516727,4,3,9.31,75.3177,-30.0777
1517285,4,3,12.11,75.2426,-31.7794
1517288,4,3,10.68,75.2421,-31.7815
1517398,4,3,16.30,75.3062,-32.1061
1518944,4,3,8.69,75.3630,-34.8044
1520702,4,3,11.36,75.5677,-30.6821
1520948,4,3,5.96,75.5312,-31.3493
1521078,4,3,4.95,75.5950,-31.7707
1525809,4,3,14.93,75.5710,-33.0721
1525835,4,3,14.62,75.5903,-33.1629
1526470,4,3,15.30,75.6320,-35.2386
1527618,4,3,8.29,75.7583,-32.6209
1528696,4,3,13.17,75.7953,-30.3995
1529697,4,3,12.28,75.7828,-33.7657
1534458,4,3,13.94,75.9911,-34.9971
1535810,4,3,12.85,75.9979,-30.8910
7129303,2,4,13.08,4.0394,-42.6517
7129726,2,4,9.09,4.2239,-43.5406
7143811,2,4,9.02,4.1097,-47.8684
7146022,2,4,7.00,4.6221,-46.5320
7146534,2,4,5.28,4.6778,-43.2356
7146752,2,4,14.89,4.7311,-42.0521
7147484,2,4,5.35,4.8356,-46.4990
7147915,2,4,9.35,5.0277,-46.7359
7148510,2,4,8.03,4.9072,-43.0821
7150628,2,4,13.86,5.2973,-42.7612
7151484,2,4,9.88,5.4020,-46.0953
7152332,2,4,8.32,5.5810,-44.6492
7153462,2,4,9.10,5.7527,-45.4865
7186577,2,4,8.92,5.9540,-46.4057
7204744,2,4,12.08,6.2428,-43.1007
7205332,3,2,17.05,32.0020,-43.7691
7218781,3,2,8.13,32.0954,-46.3732
