#
# Full target list for orbit 225, sector 107
# Created Wed Jul  1 19:18:27 EDT 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
589445,3,3,10.55,71.6466,-29.5237
589448,3,3,10.11,71.6506,-29.5206
590274,3,4,7.47,71.7066,-26.3025
592638,3,3,8.21,71.7569,-29.7614
593428,3,4,14.44,71.8753,-27.1212
594723,3,4,13.14,72.0972,-24.8380
595087,3,4,12.63,72.0055,-26.0498
595279,3,4,9.08,72.0788,-26.8538
608932,3,4,8.30,72.1556,-24.9420
609330,4,1,16.72,72.2651,-24.2104
610232,3,4,8.81,72.3151,-27.1760
611150,3,3,14.16,72.4402,-29.4107
612870,4,1,12.87,72.6371,-24.2225
613374,3,4,8.31,72.6208,-26.0279
614129,3,3,8.75,72.5915,-28.6029
614556,3,3,8.04,72.6756,-29.7783
624458,4,1,12.23,72.8596,-26.3454
624460,4,1,12.75,72.8584,-26.3476
626529,4,1,16.47,72.9737,-25.8208
627018,4,1,12.11,72.9427,-24.0029
627296,4,1,8.52,73.0980,-24.7611
663341,4,1,8.59,73.1451,-25.9952
663735,4,1,12.82,73.1663,-27.3068
671393,3,3,12.04,73.4005,-28.5931
672060,3,3,8.91,73.4518,-28.9854
672614,4,1,14.48,73.4768,-27.0962
672624,4,1,8.12,73.5056,-27.0563
674490,4,1,14.56,73.6409,-27.0282
675445,3,3,8.55,73.7062,-29.5618
681678,4,1,6.47,73.8759,-25.7276
682491,4,2,7.11,73.9262,-28.5656
682778,4,2,15.18,73.8997,-29.4827
683071,4,2,8.38,74.0372,-29.4635
683294,4,2,9.68,74.0699,-28.6696
684070,4,1,10.26,74.0875,-25.8819
684071,4,1,12.84,74.0893,-25.8791
709290,4,1,13.54,74.0322,-25.0694
710187,4,1,8.67,74.1013,-25.6415
711914,4,2,14.35,74.3059,-28.1313
712284,4,1,17.07,74.2654,-26.8349
712951,4,1,9.03,74.2530,-24.5722
736554,4,1,17.11,74.4114,-26.3439
737327,4,2,9.15,74.3700,-29.1630
738036,4,2,8.44,74.5469,-28.0356
740069,4,1,8.19,74.6323,-26.9271
767526,4,2,5.70,74.6384,-28.8878
767943,4,2,8.07,74.8762,-29.3352
768070,4,2,11.19,74.7621,-28.8918
770004,4,1,8.03,74.8995,-25.3694
770819,4,2,12.03,74.9214,-28.2226
770820,4,2,11.25,74.9217,-28.2264
778358,4,2,10.65,75.2093,-28.0650
778665,4,2,17.05,75.1660,-29.0297
778852,4,2,13.70,75.2268,-29.6894
1167254,3,3,11.31,70.9347,-32.9853
1167538,3,3,10.01,70.9976,-31.9067
1168117,3,3,15.97,71.1218,-30.3625
1196437,3,3,15.84,71.1137,-35.2964
1196529,3,3,8.56,71.1049,-35.7310
1196779,3,3,8.64,71.1745,-35.0329
1197247,3,3,15.99,71.1695,-32.9973
1197421,3,3,15.56,71.2735,-32.3182
