#
# Full target list for orbit 227, sector 108
# Created Wed Aug  5 21:12:38 EDT 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
589445,3,2,10.55,71.6466,-29.5237
589448,3,2,10.11,71.6506,-29.5206
589826,3,2,6.02,71.6072,-28.0873
589906,3,2,8.52,71.6602,-27.7681
590274,3,2,7.47,71.7066,-26.3025
592638,3,2,8.21,71.7569,-29.7614
593228,3,2,9.22,71.8470,-27.8419
593230,3,2,8.28,71.8449,-27.8403
593428,3,2,14.44,71.8753,-27.1212
594723,3,1,13.14,72.0972,-24.8380
595279,3,2,9.08,72.0788,-26.8538
595564,3,2,14.53,71.9883,-27.7830
608932,3,1,8.30,72.1556,-24.9420
609330,3,1,16.72,72.2651,-24.2104
610232,3,2,8.81,72.3151,-27.1760
610481,3,2,11.95,72.3650,-28.0126
610482,3,2,12.65,72.3582,-28.0144
611150,3,2,14.16,72.4402,-29.4107
612870,3,1,12.87,72.6371,-24.2225
614129,3,2,8.75,72.5915,-28.6029
614556,3,2,8.04,72.6756,-29.7783
615133,3,2,8.10,72.7662,-27.5198
615165,3,2,13.25,72.7666,-27.4301
624458,3,2,12.23,72.8596,-26.3454
624460,3,2,12.75,72.8584,-26.3476
627018,3,1,12.11,72.9427,-24.0029
627296,3,1,8.52,73.0980,-24.7611
663735,3,2,12.82,73.1663,-27.3068
671393,3,2,12.04,73.4005,-28.5931
672060,3,2,8.91,73.4518,-28.9854
672614,3,2,14.48,73.4768,-27.0962
672624,3,2,8.12,73.5056,-27.0563
674490,3,2,14.56,73.6409,-27.0282
675445,3,2,8.55,73.7062,-29.5618
682491,3,2,7.11,73.9262,-28.5656
682778,3,2,15.18,73.8997,-29.4827
683071,3,2,8.38,74.0372,-29.4635
709290,3,1,13.54,74.0322,-25.0694
709603,3,1,8.25,74.0518,-24.1466
710187,3,1,8.67,74.1013,-25.6415
710783,3,2,12.66,74.1485,-27.6802
711914,3,2,14.35,74.3059,-28.1313
712284,3,2,17.07,74.2654,-26.8349
736837,3,2,14.81,74.4059,-27.3822
737327,3,2,9.15,74.3700,-29.1630
740069,3,2,8.19,74.6323,-26.9271
767526,3,2,5.70,74.6384,-28.8878
767943,3,2,8.07,74.8762,-29.3352
768070,3,2,11.19,74.7621,-28.8918
770004,3,1,8.03,74.8995,-25.3694
770554,3,2,15.97,74.9343,-27.2431
770660,3,2,8.18,74.9015,-27.6095
770819,3,2,12.03,74.9214,-28.2226
770820,3,2,11.25,74.9217,-28.2264
778358,3,2,10.65,75.2093,-28.0650
778665,3,2,17.05,75.1660,-29.0297
778852,3,2,13.70,75.2268,-29.6894
1025507,1,2,13.17,33.6706,-8.0387
1028586,1,2,12.90,33.7040,-6.1544
1028594,1,2,7.95,33.7181,-6.1060
1028614,1,2,9.28,33.6506,-5.9423
1028751,1,2,8.28,33.7316,-6.6505
1028794,1,2,11.59,33.8055,-6.9842
1028795,1,2,12.87,33.8182,-6.9877
1028816,1,2,8.44,33.8390,-7.1263
1028829,1,2,12.46,33.8409,-7.1721
1030004,1,2,6.53,33.8679,-9.4666
1030078,1,2,8.33,33.9241,-9.0131
1030783,1,2,9.09,34.0352,-7.4675
1031299,1,2,10.22,33.9960,-9.4869
1031383,1,2,6.34,34.0681,-9.8215
1031405,1,2,8.88,34.0195,-9.8757
1031421,1,2,16.05,34.0713,-9.9204
1032642,1,2,12.66,34.1136,-10.4995
1032644,1,2,11.77,34.1124,-10.4993
1034048,1,2,12.23,34.0993,-6.3623
1034389,1,2,4.69,34.2467,-6.4229
1045526,1,2,17.26,34.3354,-6.9412
1045737,1,2,12.19,34.4961,-6.1988
1068428,1,2,8.65,35.5754,-11.1223
1068955,1,2,16.27,35.5913,-8.2053
1069299,1,2,9.28,35.6181,-6.1664
1098205,1,2,8.84,35.7708,-8.5981
1098494,1,2,5.94,35.6769,-10.2023
1098952,1,2,9.96,35.9037,-10.9375
1114066,1,2,8.82,36.1615,-11.8302
1114115,1,2,10.72,36.3902,-11.7844
1114345,1,2,8.49,36.2990,-10.4737
1117332,1,2,8.71,36.3502,-8.2325
1119071,1,2,8.08,36.6235,-10.5178
1119096,1,2,10.41,36.5281,-10.3784
