nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 20060837,88.7186,-39.9577,4.0,0,,,,,6,8.3,ok
TIC 149988523,90.5391,-60.0968,4.0,0,,,,,44,10.3,ok
TIC 143206598,90.3179,-33.912,4.02,0,,,,,5,6.4,ok
TIC 140692280,73.7973,-74.9365,4.07,0,,,,,42,10.5,ok
TIC 20069221,88.8749,-37.1208,4.09,0,,,,,6,8.4,ok
TIC 309401053,124.5787,-65.6131,4.1,0,,,,,22,11.1,ok
TIC 13061590,75.5415,-26.2755,4.11,0,,,,,3,4.2,ok
TIC 149542947,86.1928,-65.7355,4.14,0,,,,,33,10.8,ok
TIC 278987417,101.8279,-55.5398,4.14,0,,,,,37,10.7,ok
TIC 77263680,70.1394,-41.8642,4.14,0,,,,,5,6.0,ok
TIC 229087301,69.0798,-3.3525,4.14,0,,,,,3,4.3,ok
TIC 167088607,95.6599,-69.9838,4.15,0,,,,,40,10.5,ok
TIC 237956133,101.7193,-51.2662,4.15,0,,,,,15,10.8,ok
TIC 299096773,71.3757,-3.2547,4.17,0,,,,,3,4.2,ok
TIC 24702035,81.2573,-10.329,4.18,0,,,,,4,5.2,ok
TIC 283729844,63.4849,9.2636,4.18,0,,,,,4,4.5,ok
TIC 245904110,69.54,12.5108,4.19,0,,,,,7,8.3,ok
TIC 114924130,72.5487,-16.2169,4.19,0,,,,,3,4.2,ok
TIC 255756043,99.6569,-48.2201,4.21,0,,,,,10,11.7,ok
TIC 381949122,76.3774,-57.472,4.22,0,,,,,45,10.2,ok
TIC 4255638,81.1204,-0.8905,4.22,0,,,,,3,4.2,ok
TIC 141280255,82.9736,-76.3393,4.23,0,,,,,42,10.4,ok
TIC 60879864,66.5871,15.6182,4.23,0,,,,,6,6.7,ok
TIC 260605873,97.3683,-56.8526,4.24,0,,,,,44,10.5,ok
TIC 245823237,67.7802,15.1047,4.26,0,,,,,7,8.5,ok
TIC 450103814,73.699,7.7789,4.29,0,,,,,3,4.2,ok
TIC 382198789,81.5802,-58.9123,4.32,0,,,,,43,10.9,ok
TIC 30960976,79.8799,-25.1244,4.33,0,,,,,4,5.3,ok
TIC 270678026,87.7218,-52.1093,4.33,0,,,,,17,11.2,ok
TIC 399669624,72.653,8.9,4.34,0,,,,,3,4.3,ok
TIC 283793973,63.8837,8.8922,4.36,0,,,,,5,6.3,ok
TIC 178776015,65.7737,-24.8922,4.36,0,,,,,3,4.9,ok
TIC 38680734,65.4733,-63.3854,4.38,0,,,,,45,10.3,ok
TIC 423480264,71.2674,-21.2835,4.38,0,,,,,2,3.2,ok
